geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-3.6646177 40.4334047),,,stop_position,,,,,,,,,,,,,,-3.6646177,40.4334047
POINT (-3.7032528 40.476357),,,stop_position,,,,,,,,,,,,,,-3.7032528,40.476357
POINT (-3.7454793 40.4752847),,,stop_position,,,,,,,,,,,,,,-3.7454793,40.4752847
POINT (-3.776111 40.4524731),,,stop_position,,,,,,,,,,yes,,,,-3.776111,40.4524731
POINT (-3.742022 40.4378795),Ctra. Castilla - Club De Campo,,stop_position,,,,,,,,,,,,,,-3.742022,40.4378795
POINT (-3.6922281 40.4258155),Colón,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.6922281,40.4258155
POINT (-3.6865794 40.4252673),Serrano,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.6865794,40.4252673
POINT (-3.6885382 40.4357117),,,stop_position,,,,,,,,,,,,,,-3.6885382,40.4357117
POINT (-3.6912014 40.4376518),Gregorio Marañón,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.6912014,40.4376518
POINT (-3.6921719 40.4410503),,,stop_position,,,,,,,,,,,,,,-3.6921719,40.4410503
POINT (-3.6911783 40.4436902),,,stop_position,,,,,,,,,,,,,,-3.6911783,40.4436902
POINT (-3.6906623 40.4523258),Santiago Bernabéu,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.6906623,40.4523258
POINT (-3.6999479 40.4177772),Sevilla,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.6999479,40.4177772
POINT (-3.6949281 40.4190696),Banco de España,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.6949281,40.4190696
POINT (-3.6864209 40.4204766),Retiro,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.6864209,40.4204766
POINT (-3.7190967 40.4209771),Príncipe Pío,,stop_position,stop,,,,,Metro de Madrid,,,,yes,,,,-3.7190967,40.4209771
POINT (-3.7097314 40.4240727),Plaza de España,,stop_position,stop,,,,,Metro de Madrid,,,,limited,,,,-3.7097314,40.4240727
POINT (-3.6965617 40.4283179),Alonso Martínez,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.6965617,40.4283179
POINT (-3.6976417 40.4227327),Chueca,,stop_position,stop,,,,,Metro de Madrid,,,,no,,,,-3.6976417,40.4227327
POINT (-3.6970862 40.4190055),,,stop_position,,,,,,,,,,,,,,-3.6970862,40.4190055
POINT (-3.6869445 40.4732275),,,stop_position,,,,,,,,,,,,,,-3.6869445,40.4732275
POINT (-3.6899628 40.4594822),Cuzco,,stop_position,stop,,,,,Metro de Madrid,,,,,,,,-3.6899628,40.4594822
POINT (-3.6355359 40.4644441),,,stop_position,,,,,,,,,,,,,,-3.6355359,40.4644441
