geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-4.7993721 37.8861535),Cantábrico,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7993721,37.8861535
POINT (-4.8256264 37.861507),Aucorsa,,platform,,bus_stop,,,,,,,,,,,,-4.8256264,37.861507
POINT (-4.7654925 37.892496),Sagunto (Centro Salud) D.C.,,platform,,platform,,,,,,,,,,,,-4.7654925,37.892496
POINT (-4.7670397 37.8941689),Caravaca de la Cruz,,platform,,bus_stop,,,,,,,,,,,,-4.7670397,37.8941689
POINT (-4.7650419 37.8925994),Sagunto (Centro de Salud),,platform,,bus_stop,,,,,,,,,,,,-4.7650419,37.8925994
POINT (-4.768608 37.894283),Agrupación Córdoba,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.768608,37.894283
POINT (-4.809271 37.914883),Arrayanes,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.809271,37.914883
POINT (-4.793711 37.908981),Avenida Brillante (Hospital San Juan de Dios) DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.793711,37.908981
POINT (-4.7940044 37.9096313),Avenida Brillante (Hospital San Juan de Dios),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7940044,37.9096313
POINT (-4.795076 37.910957),Avenida Brillante (Toledo) DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.795076,37.910957
POINT (-4.795194 37.911278),Avenida Brillante (Toledo),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.795194,37.911278
POINT (-4.7755319 37.8682742),Avenida Granada DC,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7755319,37.8682742
POINT (-4.7755922 37.8681044),Avenida Granada,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7755922,37.8681044
POINT (-4.7671279 37.8813767),Campo Madre de Dios (Agustín Moreno),,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7671279,37.8813767
POINT (-4.819672 37.880737),Carretera de Palma de Río,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.819672,37.880737
POINT (-4.846011 37.84964),Cortijo Quintos,,platform,,bus_stop,,,,AUCORSA,,,,,,,,-4.846011,37.84964
POINT (-4.7948127 37.8923679),Carretera Trassierra 2ª DC,,platform,,bus_stop,,,,Aucorsa,,,,yes,,,,-4.7948127,37.8923679
POINT (-4.7674805 37.8805051),Cuesta de la Pólvora,,platform,,bus_stop,,,,Aucorsa,,,,,,,,-4.7674805,37.8805051
