geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (2.1919876 41.4123761),Guipúscoa - Bilbao,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.1919876,41.4123761
POINT (2.2019718 41.4198703),Guipúscoa - Cantàbria,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.2019718,41.4198703
POINT (2.2018016 41.4200331),Guipúscoa - Cantàbria,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.2018016,41.4200331
POINT (2.2084715 41.4247545),Guipúscoa - Extremadura,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.2084715,41.4247545
POINT (2.2057891 41.4227176),Metro La Pau,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.2057891,41.4227176
POINT (2.2055988 41.4228792),Metro La Pau,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.2055988,41.4228792
POINT (2.1983519 41.4174398),Guipúscoa - Selva de Mar,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.1983519,41.4174398
POINT (2.1997157 41.4181664),Guipúscoa - Treball,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.1997157,41.4181664
POINT (2.1975218 41.4165261),Guipúscoa - Julián Besteiro,,stop_position,,bus_stop,,,,TMB,,,,,,,,2.1975218,41.4165261
POINT (2.11887 41.4216102),Pl Tibidabo,,platform,,bus_stop,,,,Transports Metropolitans de Barcelona,,,,,,,,2.11887,41.4216102
POINT (2.1550525 41.3964593),Via Augusta - Diagonal,,platform,,bus_stop,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1550525,41.3964593
POINT (2.1745777 41.3954676),Pg de Sant Joan - Diputació,,platform,,platform,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1745777,41.3954676
POINT (2.1736649 41.3937613),Metro Tetuan,,platform,,bus_stop,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1736649,41.3937613
POINT (2.1785342 41.3766861),Portal de la Pau,,platform,,bus_stop,,,,Transports Metropolitans de Barcelona,,,,,,,,2.1785342,41.3766861
