geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-5.9675653 37.39229),Solea Av. (El Greco),,platform,,,,,,Tussam,,,,,,,,-5.9675653,37.39229
POINT (-5.9613647 37.3940845),Jerusalén (Junta Municipal de Distrito),,platform,,,,,,Tussam,,,,,,,,-5.9613647,37.3940845
POINT (-5.9651887 37.3945046),Solea Av. (Parroquia del Pilar),,stop_position,,,,,,Tussam,,,,,,,,-5.9651887,37.3945046
POINT (-5.9652447 37.3945517),Solea Av. (Parroquia del Pilar),,platform,,,,,,Tussam,,,,,,,,-5.9652447,37.3945517
POINT (-5.9595503 37.3953463),Jerusalén (Tesalónica),,stop_position,,,,,,Tussam,,,,,,,,-5.9595503,37.3953463
POINT (-5.9596546 37.3954262),Jerusalén (Tesalónica),,platform,,,,,,Tussam,,,,,,,,-5.9596546,37.3954262
POINT (-5.9603029 37.3967787),Tesalónica (Gitanillo de Triana),,platform,,,,,,Tussam,,,,,,,,-5.9603029,37.3967787
POINT (-5.9602469 37.3968242),Tesalónica (Gitanillo de Triana),,stop_position,,,,,,,,,,,,,,-5.9602469,37.3968242
POINT (-5.9599087 37.3985188),Pedro Romero (Frascuelo),,platform,,,,,,Tussam,,,,,,,,-5.9599087,37.3985188
POINT (-6.0003972 37.3873694),Aparcamiento del Arenal,parking,,,,,,,,,,,,,,,-6.0003972,37.3873694
POINT (-5.9708945 37.3142585),Carretera Isla Menor (Instituto La Grasa),,platform,,bus_stop,,,,,,,,,,,,-5.9708945,37.3142585
POINT (-5.9689017 37.315981),Avenida Bellavista (Nueva Bellavista),,platform,,bus_stop,,,,TUSSAM;INTERBUS DAMAS S.A.,,,,,,,,-5.9689017,37.315981
POINT (-5.9692263 37.3162327),Avenida Bellavista (Nueva Bellavista),,platform,,bus_stop,,,,,,,,,,,,-5.9692263,37.3162327
POINT (-5.9690296 37.318882),Avenida Bellavista (Hospital de Valme),,platform,,bus_stop,,,,,,,,,,,,-5.9690296,37.318882
POINT (-5.9687209 37.3190923),Avenida Bellavista (Hospital de Valme);Hospital de Valme Frente,,platform,,bus_stop,,,,TUSSAM;INTERBUS DAMAS S.A.,,,,,,,,-5.9687209,37.3190923
POINT (-5.968486 37.3209745),Avenida Bellavista (Miguel Ángel),,platform,,bus_stop,,,,,,,,,,,,-5.968486,37.3209745
POINT (-5.9687113 37.320966),Avenida Bellavista (Colegio Lora Tamayo),,platform,,bus_stop,,,,,,,,,,,,-5.9687113,37.320966
POINT (-5.9684377 37.3242082),Avenida Bellavista (Asensio y Toledo),,platform,,bus_stop,,,,TUSSAM;INTERBUS DAMAS S.A.,,,,,,,,-5.9684377,37.3242082
POINT (-5.9686952 37.3242977),Avenida Bellavista (Asencio y Toledo),,platform,,platform,,,,INTERBUS DAMAS S.A.,,,,,,,,-5.9686952,37.3242977
POINT (-5.9693148 37.3268615),Avenida Bellavista (Eduardo Miura),,platform,,bus_stop,,,,,,,,,,,,-5.9693148,37.3268615
POINT (-5.9684456 37.3284802),Glorieta Presos de Los Merinales,,platform,,bus_stop,,,,,,,,,,,,-5.9684456,37.3284802
POINT (-5.9690385 37.3269724),Avenida Bellavista (Venta Antequera),,platform,,bus_stop,,,,,,,,,,,,-5.9690385,37.3269724
POINT (-5.9687167 37.3285443),Avenida Bellavista (Edificio Vistabella),,platform,,bus_stop,,,,,,,,,,,,-5.9687167,37.3285443
POINT (-5.9607903 37.4011264),Avenida Kansas City (Tesalonica),,platform,,,,,,,,,,no,,,,-5.9607903,37.4011264
POINT (-6.0068638 37.4104444),Américo Vespucio (F. de Comunicación),,platform,,bus_stop,,,,,,,,,,,,-6.0068638,37.4104444
POINT (-5.9683015 37.3159472),,parking,,,,,,,,,,,,,,,-5.9683015,37.3159472
POINT (-5.9814186 37.3611043),Manuel Siurot (Hospital V.Rocío),,platform,,bus_stop,,,,Tussam,,,,yes,,,,-5.9814186,37.3611043
POINT (-5.9267582 37.3857132),Autovía de Málaga (C. del Automovilismo),,platform,,,,,,,,,,,,,,-5.9267582,37.3857132
POINT (-6.0091448 37.3898481),Cristo de La Expiración (Patrocinio),,platform,,bus_stop,,,,TUSSAM,,,,,,,,-6.0091448,37.3898481
POINT (-6.0099722 37.390798),Jiménez de Quesada (Puerta Triana),,platform,,,,,,,,,,,,,,-6.0099722,37.390798
POINT (-5.9517535 37.3939526),Montes Sierra (Santa Clara de Cuba),,platform,,,,,,,,,,,,,,-5.9517535,37.3939526
POINT (-5.947284 37.3975698),Montes Sierra (SE-30),,platform,,,,,,,,,,,,,,-5.947284,37.3975698
POINT (-5.9884125 37.3662483),,parking,,,,,,,,,,,,,,,-5.9884125,37.3662483
POINT (-5.9915123 37.3741129),Parking Puerto de Sevilla,parking,,,,,,,,,,,,,,,-5.9915123,37.3741129
POINT (-5.9873582 37.3806769),,,,subway_entrance,,,,,,,,,yes,,,,-5.9873582,37.3806769
POINT (-5.993765 37.3847175),Archivo de Indias,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.993765,37.3847175
POINT (-5.9952535 37.3883527),Plaza Nueva,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9952535,37.3883527
POINT (-5.9869981 37.3808463),Prado San Sebastián,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9869981,37.3808463
POINT (-5.9924001 37.3821731),Puerta Jerez,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9924001,37.3821731
POINT (-5.9791808 37.378623),San Bernardo,,stop_position,tram_stop,,,,,Tussam,,,,,,,,-5.9791808,37.378623
POINT (-5.9108912 37.3844656),Aux. Autovía Málaga (Canal Bj. Guadalquivir),,stop_position,,,,,,Tussam,,,,,,,,-5.9108912,37.3844656
POINT (-5.9095693 37.385738),Pero Mingo (Canal Bj. Guadalquivir),,stop_position,,,,,,Tussam,,,,,,,,-5.9095693,37.385738
POINT (-5.8996107 37.3833049),Plaza las Acacias (Iglesia San Antonio),,stop_position,,,,,,Tussam,,,,,,,,-5.8996107,37.3833049
