geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-2.9692426 43.2722173),Zazpilanda / Pinadia,,platform,,bus_stop,,,,,,,,,,,,-2.9692426,43.2722173
POINT (-2.9714611 43.2708487),Santer,bar,,,,,wlan,,,,,,,,,,-2.9714611,43.2708487
POINT (-2.9243638 43.2579219),Casual Hostal Gurea,,,,,2,wlan,,,,,,no,Calle Bidebarrieta / Bidebarrieta kalea,14,48005,-2.9243638,43.2579219
POINT (-2.9460955 43.2792307),Berriz / Tiro Zelaia,,stop_position,,,,,,,,,,,,,,-2.9460955,43.2792307
POINT (-2.9718125 43.2762189),,,,,,,wlan,,,,,,,Calle Astillero,,48013,-2.9718125,43.2762189
POINT (-2.9572172 43.2656854),Ribera de Deustu 20,,platform,,bus_stop,,,,Bilbobus,,,,,,,,-2.9572172,43.2656854
POINT (-2.9579212 43.2656623),Ribera de Deustu 28,,platform,,bus_stop,,,,Bilbobus,,,,,,,,-2.9579212,43.2656623
POINT (-2.961353 43.2680012),Ribera de Deustu 57,,platform,,bus_stop,,,,,,,,,,,,-2.961353,43.2680012
POINT (-2.9615833 43.2680475),Ribera de Deustu 59,,platform,,bus_stop,,,,,,,,,,,,-2.9615833,43.2680475
POINT (-2.9168164 43.2578549),Amadeo Deprit / Dolaretxe,,platform,,bus_stop,,,,,,,,,,,,-2.9168164,43.2578549
POINT (-2.9170084 43.2500383),Indalecio Prieto 16,,stop_position,,,,,,,,,,,,,,-2.9170084,43.2500383
POINT (-2.9615787 43.2668911),Sirgueras 3,,platform,,bus_stop,,,,,,,,,,,,-2.9615787,43.2668911
POINT (-2.9600367 43.2657409),Sirgueras 3,,platform,,bus_stop,,,,,,,,,,,,-2.9600367,43.2657409
POINT (-2.9589509 43.265055),San Nikolas Olabeaga (27),,platform,,bus_stop,,,,,,,,,,,,-2.9589509,43.265055
POINT (-2.9506196 43.2624633),,parking,,,,,,,,,,,,,,,-2.9506196,43.2624633
POINT (-2.935443 43.2582005),General Concha 26,,platform,,bus_stop,,,,,,,,,,,,-2.935443,43.2582005
POINT (-2.9380763 43.2590176),KEBAB INDAUTXU BILBAO,fast_food,,,,,wlan,,,indian;turkish;arab;burger;kebab;pizza;spanish,,24/7,,Calle Iparraguirre / Iparraguirre kalea,51,48010,-2.9380763,43.2590176
POINT (-2.9624233 43.2633793),Basurtu-Kastrexana / Altamira,,stop_position,,,,,,,,,,,,,,-2.9624233,43.2633793
POINT (-2.924724 43.2591089),Petit Palace Arana,,,,,3,yes,Petit Palace Hotels,Hotelatelier,,,24/7,yes,Calle Bidebarrieta / Bidebarrieta kalea,2,48005,-2.924724,43.2591089
POINT (-2.9194525 43.2552698),Zabalbide 32,,stop_position,,,,,,,,,,,,,,-2.9194525,43.2552698
POINT (-2.9545458 43.2687748),Akelarre,,,,,,wlan,,,,,,,,,,-2.9545458,43.2687748
POINT (-2.935503 43.26371),San Jose plaza (Elcano 5),,stop_position,,,,,,,,,,,,,,-2.935503,43.26371
POINT (-2.9104461 43.2547074),Enrique Ibarreta 2,,stop_position,,,,,,,,,,,,,,-2.9104461,43.2547074
POINT (-2.9256791 43.2613738),Zubia Urban Rooms,,,,,1,,,,,,,,Calle Amistad / Adiskidetasun kalea,5,48001,-2.9256791,43.2613738
POINT (-2.9118859 43.2569072),Zumalacárregui / (Makua),,stop_position,,,,,,,,,,,,,,-2.9118859,43.2569072
POINT (-2.9154446 43.2615801),Zumalacárregui 105,,stop_position,,,,,,,,,,,,,,-2.9154446,43.2615801
POINT (-2.9351877 43.2578033),Alameda San Mamés 8,,platform,,bus_stop,,,,,,,,,,,,-2.9351877,43.2578033
POINT (-2.9455772 43.2621741),Urquijo 92,,platform,,bus_stop,,,,BilboBus,,,,,,,,-2.9455772,43.2621741
POINT (-2.9272543 43.2614423),Plaza Biribila / Gran Vía,,stop_position,,,,,,,,,,,,,,-2.9272543,43.2614423
POINT (-2.9444869 43.2650245),Gran Vía 85,,platform,,bus_stop,,,,,,,,,,,,-2.9444869,43.2650245
POINT (-2.90039 43.259464),"Kepa Enbeita ""Urretxindorra""",,platform,,bus_stop,,,,,,,,,,,,-2.90039,43.259464
POINT (-2.900316 43.2593229),Pau Casals 16,,platform,,bus_stop,,,,,,,,,,,,-2.900316,43.2593229
POINT (-2.8989382 43.2608712),Larratundu 21,,platform,,bus_stop,,,,,,,,,,,,-2.8989382,43.2608712
POINT (-2.9302706 43.2617623),Mango,,,,,,no,Mango,,,,Mo-Sa 10:00-21:00; Su off,yes,Gran Vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,15,,-2.9302706,43.2617623
POINT (-2.9301438 43.2617335),Mango,,,,,,no,Mango,,,,Mo-Fr 10:00-21:00; Sa 10:00-14:00,yes,Gran Vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia,13,,-2.9301438,43.2617335
POINT (-2.9144963 43.2592131),Bar Amatxo,bar,,,,,no,,,,,,,Begoñako Andra Mari kalea,45,48006,-2.9144963,43.2592131
POINT (-2.9476386 43.2516403),Camilo Villabaso 27,,platform,,bus_stop,,,,Bilbobus,,,,,,,,-2.9476386,43.2516403
POINT (-2.9385495 43.2610912),Hotel Ercilla,,,,,4,wlan,,,,,,,Calle Ercilla / Ercilla kalea,34,,-2.9385495,43.2610912
POINT (-2.9274943 43.2613582),Abando,,stop_position,stop,,,,,Metro Bilbao S.A.,,,,yes,,,,-2.9274943,43.2613582
POINT (-2.9415946 43.2612214),Indautxu,,stop_position,,,,,,Metro Bilbao S.A.,,,,yes,,,,-2.9415946,43.2612214
POINT (-2.9474081 43.2624945),Santimami/San Mamés,,stop_position,stop,,,,,Metro Bilbao S.A.,,,,yes,,,,-2.9474081,43.2624945
