geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-0.9041122 41.6549876),Avenida de Navarra 33,,stop_position,,bus_stop,,,,,,,,,,,,-0.9041122,41.6549876
POINT (-0.8781852 41.6454072),"Cesáreo Alierta, 22",,stop_position,,,,,,,,,,,,,,-0.8781852,41.6454072
POINT (-0.9097046 41.6567946),,parking,,,,,,,,,,,,,,,-0.9097046,41.6567946
POINT (-0.8822719 41.640284),Avenida Tenor Fleta 33,,stop_position,,bus_stop,,,,,,,,,,,,-0.8822719,41.640284
POINT (-0.8794525 41.6387366),Avenida Tenor Fleta 62,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8794525,41.6387366
POINT (-0.8797122 41.6389939),Avenida Tenor Fleta 57,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8797122,41.6389939
POINT (-0.8777563 41.6378598),Avenida Tenor Fleta 82,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8777563,41.6378598
POINT (-0.8773486 41.6377802),Avenida Tenor Fleta 89,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8773486,41.6377802
POINT (-0.8740195 41.6389219),Camino Puente Virrey / Pablo Remacha,,stop_position,,,,,,,,,,,,,,-0.8740195,41.6389219
POINT (-0.8741762 41.639658),Avda. San José 97,,platform,,bus_stop,,,,,,,,,,,,-0.8741762,41.639658
POINT (-0.8824756 41.6403021),Avenida Tenor Fleta 34,,stop_position,,,,,,,,,,,,,,-0.8824756,41.6403021
POINT (-0.8854681 41.6418228),Avenida Tenor Fleta 2,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8854681,41.6418228
POINT (-0.9051396 41.6420206),Violante de Hungría / Escuela de Idiomas,,platform,,bus_stop,,,,,,,,yes,,,,-0.9051396,41.6420206
POINT (-0.8803233 41.630259),,,stop_position,,,,,,,,,,,,,,-0.8803233,41.630259
POINT (-0.8885741 41.6632387),Valle de Broto / Avenida José Atarés,,stop_position,,,,,,,,,,,,,,-0.8885741,41.6632387
POINT (-0.8885722 41.6677101),G. Avellaneda / Rosalía de Castro,,stop_position,,bus_stop,,,,,,,,yes,,,,-0.8885722,41.6677101
POINT (-0.8856511 41.633633),Paseo Cristóbal Colón 2,,platform,,bus_stop,,,,,,,,yes,,,,-0.8856511,41.633633
POINT (-0.9113955 41.6442448),Madre Teresa de Calcuta 3,,stop_position,,,,,,,,,,,,,,-0.9113955,41.6442448
POINT (-0.9111349 41.6542384),Celso Emilio Ferreiro / Celanova,,stop_position,,,,,,,,,,,,,,-0.9111349,41.6542384
