geometry,name,amenity,public_transport,railway,highway,stars,internet_access,brand,operator,cuisine,rooms,opening_hours,wheelchair,addr:street,addr:housenumber,addr:postcode,lon,lat
POINT (-0.3812275 39.4742601),DJango,restaurant,,,,,wlan,,,,,,yes,,,,-0.3812275,39.4742601
POINT (-0.380755 39.4742045),Conde de Parcent,parking,,,,,,,,,,,yes,,,,-0.380755,39.4742045
POINT (-0.3808686 39.4751061),Carda - Moro Zeit,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3808686,39.4751061
POINT (-0.3677426 39.4716561),Porta de la Mar,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3677426,39.4716561
POINT (-0.3877646 39.4737633),Ferran el Catòlic - S. Ignacio de Loyola,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3877646,39.4737633
POINT (-0.3675734 39.4717761),,parking,,,,,,,,,,,,,,,-0.3675734,39.4717761
POINT (-0.3324961 39.460357),Edifici del Rellotge,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3324961,39.460357
POINT (-0.328549 39.4656252),Dr. Lluch - Vicent Gallart,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.328549,39.4656252
POINT (-0.3283056 39.4672337),Mediterrani,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3283056,39.4672337
POINT (-0.3279747 39.4694008),Dr. Lluch,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3279747,39.4694008
POINT (-0.3276495 39.4716646),Cabanyal,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3276495,39.4716646
POINT (-0.3273769 39.4734693),Dr. Lluch - Vicent Guillot,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3273769,39.4734693
POINT (-0.3265469 39.4761671),Cavite - Riu Tajo,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3265469,39.4761671
POINT (-0.3266808 39.4790725),Cavite - Vicent la Roda,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3266808,39.4790725
POINT (-0.3266953 39.4815287),Cavite - Font d'en Carròs,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3266953,39.4815287
POINT (-0.3265674 39.4831684),Malva-rosa - Cavite,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3265674,39.4831684
POINT (-0.3278537 39.4838113),la Malva-rosa - Mendizábal,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3278537,39.4838113
POINT (-0.3281232 39.4791018),la Malva-rosa - Sant Rafael,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3281232,39.4791018
POINT (-0.328137 39.4774459),la Malva-rosa - Sant Joan de Déu,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.328137,39.4774459
POINT (-0.327803 39.4762116),la Malva-rosa - Riu Tajo,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.327803,39.4762116
POINT (-0.3288096 39.4720216),Pintor Ferrandis - Progrés,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3288096,39.4720216
POINT (-0.3317085 39.4722531),Pintor Ferrandis - Àngels,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3317085,39.4722531
POINT (-0.3294355 39.4719649),Pintor Ferrandis - Josep Benlliure,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3294355,39.4719649
POINT (-0.3318723 39.4723763),Església dels Àngels - Pintor Ferrandis,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3318723,39.4723763
POINT (-0.3324357 39.468428),Mercat del Cabanyal,,platform,,bus_stop,,,,Empresa Municipal de Transportes de Valencia,,,,,,,,-0.3324357,39.468428
