geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7088396 40.410562),Los Andes,convenience,,,,,,,,,,,,-3.7088396,40.410562,-412868,4498504,los andes,1185
POINT (-3.709006 40.4103858),Primaprix,supermarket,,,,,,Calle de Toledo,77,28005,Primaprix,,,-3.709006,40.4103858,-412887,4498484,primaprix,1185
POINT (-3.7088348 40.4100488),Solofirme,,restaurant,,,,,Calle de López Silva,,,,,chinese,-3.7088348,40.4100488,-412867,4498447,solofirme,1185
POINT (-3.7086337 40.4096809),Mesón del Rastro,,restaurant,,,,,,,,,,regional,-3.7086337,40.4096809,-412845,4498406,mesón del rastro,1185
POINT (-3.7087205 40.4097854),Asador de pollos Navarro,,fast_food,,,,,Calle de López Silva,7,28005,,,,-3.7087205,40.4097854,-412855,4498417,asador de pollos navarro,1185
POINT (-3.7087961 40.4099964),Entre dedales,tailor,,,,,,Calle de López Silva,,,,,,-3.7087961,40.4099964,-412863,4498441,entre dedales,1185
POINT (-3.7088527 40.4100989),Papelería/Reprodución,copyshop,,,,,,Calle de López Silva,3,28005,,,,-3.7088527,40.4100989,-412869,4498452,papelería/reprodución,1185
POINT (-3.7030513 40.4174103),KFC,,fast_food,,,,,,,,KFC,,chicken,-3.7030513,40.4174103,-412224,4499266,kfc,1276
POINT (-3.7031723 40.4165281),PaPizza,,fast_food,,,,,Calle de Carretas,3,28012,,,pizza,-3.7031723,40.4165281,-412237,4499168,papizza,1242
POINT (-3.692512 40.4353934),Museo Sorolla,,,museum,,,,Paseo del General Martínez Campos,37,,,,,-3.692512,40.4353934,-411050,4501268,museo sorolla,760
POINT (-3.7661296 40.38798),Passaparola,,restaurant,,,,,,,,,,italian;pizza,-3.7661296,40.38798,-419246,4495990,passaparola,234
POINT (-3.7655914 40.3880427),Chic Pepe's,,bar,,,,,,,,,,,-3.7655914,40.3880427,-419186,4495997,chic pepe's,234
POINT (-3.7660957 40.3878815),Guang Zhou,,restaurant,,,,,Calle de Guareña,10,,,,chinese,-3.7660957,40.3878815,-419242,4495979,guang zhou,234
POINT (-3.7103502 40.449787),Burger King,,fast_food,,,,,,,,Burger King,,burger,-3.7103502,40.449787,-413036,4502870,burger king,767
POINT (-3.7106556 40.4494119),La Plaza de DIA,supermarket,,,,,,,,,La Plaza de DIA,,,-3.7106556,40.4494119,-413070,4502829,la plaza de dia,767
POINT (-3.7099411 40.4491453),Anytime Fitness,,,,,,fitness_centre,,,,Anytime Fitness,,,-3.7099411,40.4491453,-412991,4502799,anytime fitness,767
POINT (-3.7104696 40.4494287),The Drunken Duck,,pub,,,,,,,,,,,-3.7104696,40.4494287,-413049,4502830,the drunken duck,767
POINT (-3.7660562 40.3877528),Casa Coronel,,restaurant,,,,,,,,,,,-3.7660562,40.3877528,-419237,4495965,casa coronel,234
POINT (-3.7069073 40.3701833),,,veterinary,,,,,,,,,,,-3.7069073,40.3701833,-412653,4494009,,113
