geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.7216252 40.4307447),Simón Office,stationery,,,,,,Calle de Ferraz,94,28008,,,,-3.7216252,40.4307447,-414291,4500751,simón office,993
POINT (-3.7215985 40.4307171),Natur House,nutrition_supplements,,,,,,Calle de Ferraz,94,28008,Natur House,,,-3.7215985,40.4307171,-414288,4500747,natur house,993
POINT (-3.721455 40.4305688),La Rosaleda,,bar,,,,,Calle de Ferraz,92,28008,,,,-3.721455,40.4305688,-414272,4500731,la rosaleda,993
POINT (-3.7216663 40.4304878),Marina Peláez,hairdresser,,,,,,Calle de Ferraz,61,28008,,,,-3.7216663,40.4304878,-414296,4500722,marina peláez,993
POINT (-3.7215479 40.4303646),Frutas y Verduras,greengrocer,,,,,,Calle de Ferraz,59,28008,,,,-3.7215479,40.4303646,-414283,4500708,frutas y verduras,993
POINT (-3.7215291 40.4303451),Sat Servicio Técnico,electronics,,,,,,Calle de Ferraz,59,28008,,,,-3.7215291,40.4303451,-414281,4500706,sat servicio técnico,993
POINT (-3.7214701 40.4302836),Natural Ferraz,health_food,,,,,,Calle de Ferraz,59,28008,,,,-3.7214701,40.4302836,-414274,4500699,natural ferraz,993
POINT (-3.7213349 40.4304458),Rosales,,clinic,,physiotherapist,,,Calle de Ferraz,90,28008,,,,-3.7213349,40.4304458,-414259,4500717,rosales,993
POINT (-3.721342 40.4301523),,convenience,,,,,,Calle de Ferraz,57,28008,,,,-3.721342,40.4301523,-414260,4500685,,993
POINT (-3.7211319 40.4301844),Quiosco Ferraz 86,newsagent,,,,,,Calle de Ferraz,,28008,,,,-3.7211319,40.4301844,-414236,4500688,quiosco ferraz 86,993
POINT (-3.7210797 40.4301826),Saco's,,bar,,,,,Calle de Ferraz,86,28008,,,,-3.7210797,40.4301826,-414231,4500688,saco's,993
POINT (-3.7210624 40.4301648),Kiosco Padrino,newsagent,,,,,,Calle de Ferraz,86,28008,,,,-3.7210624,40.4301648,-414229,4500686,kiosco padrino,993
POINT (-3.721019 40.4301204),Interdomicilio,yes,,,,employment_agency,,Calle de Ferraz,86,28008,,,,-3.721019,40.4301204,-414224,4500681,interdomicilio,993
POINT (-3.7216995 40.4296486),Kitprinter 3d,electronics,,,,,,Calle de Altamirano,37,28008,,,,-3.7216995,40.4296486,-414300,4500628,kitprinter 3d,993
POINT (-3.7213699 40.4297845),,,,,,company,,Calle de Altamirano,33,28008,,,,-3.7213699,40.4297845,-414263,4500644,,993
POINT (-3.721282 40.4298208),,,,,,company,,Calle de Altamirano,33,28008,,,,-3.721282,40.4298208,-414253,4500648,,993
POINT (-3.7208578 40.4299617),,,,,,yes,,Calle de Ferraz,84,28008,,,,-3.7208578,40.4299617,-414206,4500663,,993
POINT (-3.7207878 40.4298883),Café Bar Thomas,,bar,,,,,Calle de Ferraz,84,28008,,,,-3.7207878,40.4298883,-414198,4500655,café bar thomas,993
POINT (-3.7210752 40.4298794),LKSA,,restaurant,,,,,Calle de Ferraz,53,28008,,,,-3.7210752,40.4298794,-414230,4500654,lksa,993
