geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,hdbscan_5_5,hdbscan_5_5_merged,hdbscan_5_5_merged
POINT (-3.7103837 40.41178),La Tomasa,,pub,,,,,,,,,,,-3.7103837,40.41178,1179,11,11
POINT (-3.7106292 40.4118652),El Bonanno,,pub,,,,,Plaza del Humilladero,4,28005,,,,-3.7106292,40.4118652,1179,11,11
POINT (-3.7105933 40.412068),Que trabaje Rita,,restaurant,,,,,,,,,,,-3.7105933,40.412068,1179,11,11
POINT (-3.7109337 40.4118925),Cervecería San Andrés,,pub,,,,,,,,,,,-3.7109337,40.4118925,1179,11,11
POINT (-3.7117469 40.4131593),Tío Timón,,restaurant,,,,,Costanilla de San Andrés,8,28005,,,regional,-3.7117469,40.4131593,-1,-1,-1
POINT (-3.7127335 40.4137154),Taquería del Alamillo,,restaurant,,,,,,,,,,,-3.7127335,40.4137154,-1,-1,-1
POINT (-3.7126525 40.4135438),"Librería ""Arranca Thelma""",books,,,,,,,,,,,,-3.7126525,40.4135438,1075,906,906
POINT (-3.7129344 40.4130638),Bar Barocco,,bar,,,,,,,,,,,-3.7129344,40.4130638,1071,12,12
POINT (-3.7077499 40.4726288),,,pharmacy,,pharmacy,,,,,,,,,-3.7077499,40.4726288,-1,-1,-1
POINT (-3.7039056 40.4773454),,,pharmacy,,pharmacy,,,Calle de Ginzo de Limia,23,28029,,,,-3.7039056,40.4773454,477,13,13
POINT (-3.7060053 40.4807164),,,pharmacy,,pharmacy,,,,,,,,,-3.7060053,40.4807164,469,4,4
POINT (-3.7120611 40.4764767),,,pharmacy,,pharmacy,,,Calle de La Bañeza,3,28029,,,,-3.7120611,40.4764767,489,773,773
POINT (-3.6951618 40.5454203),Facultad de Ciencias,,university,,,,,,,,,,,-3.6951618,40.5454203,16,637,637
POINT (-3.6966059 40.5449246),Facultad de Ciencias Económicas y Empresariales,,university,,,,,Avenida de Francisco Tomás y Valiente,,,,,,-3.6966059,40.5449246,16,637,637
POINT (-3.6939836 40.4547254),Irish Rover,,pub,,,,,Avenida de Brasil,7,28020,,,,-3.6939836,40.4547254,746,14,14
POINT (-3.6967219 40.4634507),Centro de Especialidades José Marvá,,clinic,,clinic,,,Calle de Bravo Murillo,317,28020,,,,-3.6967219,40.4634507,865,15,15
POINT (-3.6890368 40.4556239),Lolita's,,pub,,,,,,,,,,,-3.6890368,40.4556239,617,810,810
POINT (-3.6754942 40.4634167),,,pharmacy,,pharmacy,,,,,,,,,-3.6754942,40.4634167,531,16,16
POINT (-3.690935 40.4719534),Lda. Marta Pérez Álvarez,,pharmacy,,pharmacy,,,Calle de Matilde Landa,7,28029,,,,-3.690935,40.4719534,-1,-1,-1
POINT (-3.6941494 40.4716608),Pueblos Unidos,,,,,ngo,,Calle de los Mártires de la Ventilla,103,28029,,,,-3.6941494,40.4716608,673,823,823
POINT (-3.6884698 40.4840464),,grocery,,,,,,,,,,,,-3.6884698,40.4840464,-1,-1,-1
POINT (-3.6887887 40.4847655),,,post_box,,,,,,,,Correos,Correos,,-3.6887887,40.4847655,372,17,17
POINT (-3.6852544 40.485413),Casa Ginés,,restaurant,,,,,,,,,,,-3.6852544,40.485413,377,18,18
POINT (-3.6875356 40.4844235),,,pharmacy,,pharmacy,,,Calle de Isidro Fernández,11,28034,,,,-3.6875356,40.4844235,-1,-1,-1
POINT (-3.6905678 40.4858413),,,pharmacy,,pharmacy,,,Calle de Virgen de Aránzazu,11,28034,,,,-3.6905678,40.4858413,372,17,17
POINT (-3.6926733 40.4857882),Mesón Gallego,,restaurant,,,,,,,,,,,-3.6926733,40.4857882,364,19,19
POINT (-3.6920333 40.4855645),Queen Burger Gourmet,,restaurant,,,,,Calle de San Modesto,34,28034,,,burger,-3.6920333,40.4855645,364,19,19
POINT (-3.6924531 40.4862924),tele-bocata,,restaurant,,,,,,,,,,,-3.6924531,40.4862924,364,19,19
POINT (-3.6922933 40.4860327),El Rincón de Salva II,,pub,,,,,,,,,,,-3.6922933,40.4860327,364,19,19
POINT (-3.6868649 40.4843585),,,restaurant,,,,,,,,,,,-3.6868649,40.4843585,376,20,20
POINT (-3.6870451 40.4844368),,,restaurant,,,,,,,,,,,-3.6870451,40.4844368,376,20,20
POINT (-3.6863802 40.4848128),,,pub,,,,,,,,,,,-3.6863802,40.4848128,-1,-1,-1
POINT (-3.6853156 40.4854456),La Muralla,,pub,,,,,,,,,,,-3.6853156,40.4854456,377,18,18
POINT (-3.6863931 40.4859346),Bar Acueducto,,pub,,,,,,,,,,,-3.6863931,40.4859346,-1,-1,-1
POINT (-3.689688 40.4869313),Oficina de Correos,,post_office,,,,,Calle de Virgen de Aránzazu,31,28034,Correos,Correos,,-3.689688,40.4869313,372,17,17
POINT (-3.6862337 40.4858578),Floralbir,florist,,,,,,,,,,,,-3.6862337,40.4858578,-1,-1,-1
POINT (-3.6865262 40.4859986),Exp. nº 326,tobacco,,,,,,,,,,,,-3.6865262,40.4859986,-1,-1,-1
POINT (-3.6871567 40.484238),Peluquería caballeros Florencio,hairdresser,,,,,,,,,,,,-3.6871567,40.484238,376,20,20
POINT (-3.6895993 40.485544),Casa Mouriño,,restaurant,,,,,,,,,,,-3.6895993,40.485544,372,17,17
POINT (-3.6903822 40.4860809),chinos alimentación,convenience,,,,,,,,,,,,-3.6903822,40.4860809,372,17,17
POINT (-3.6883678 40.485625),Carnicería Pollería José Martin,butcher,,,,,,Calle de San Dacio,23,28034,,,,-3.6883678,40.485625,372,17,17
POINT (-3.6852389 40.4845853),,kiosk,,,,,,,,,,,,-3.6852389,40.4845853,377,18,18
POINT (-3.68482 40.4849065),Tapería de Fuencarral,,restaurant,,,,,,,,,,,-3.68482,40.4849065,377,18,18
POINT (-3.6854466 40.4850146),,,veterinary,,,,,,,,,,,-3.6854466,40.4850146,377,18,18
POINT (-3.6902926 40.4857917),"Bar ""La Toledana""",,pub,,,,,,,,,,,-3.6902926,40.4857917,372,17,17
POINT (-3.6901398 40.4859586),"Habitaciones ""Aránzazu""",,,hostel,,,,,,,,,,-3.6901398,40.4859586,372,17,17
POINT (-3.6902918 40.4854304),Dia,supermarket,,,,,,Calle Virgen de Aránzazu,3,28034,Dia,,,-3.6902918,40.4854304,372,17,17
POINT (-3.6900576 40.4865637),Globalpiso,seafood,,,,,,,,,,,,-3.6900576,40.4865637,372,17,17
POINT (-3.6903559 40.4865441),Exp. nº 148,tobacco,,,,,,,,,,,,-3.6903559,40.4865441,372,17,17
POINT (-3.6907459 40.4859643),,bakery,,,,,,,,,,,,-3.6907459,40.4859643,372,17,17
POINT (-3.6890846 40.487335),Positivo gastrobar,,pub,,,,,,,,,,,-3.6890846,40.487335,372,17,17
POINT (-3.6895729 40.487095),Las Torres,,pub,,,,,,,,,,,-3.6895729,40.487095,372,17,17
POINT (-3.7173167 40.4473599),La friolera,,pub,,,,,,,,,,,-3.7173167,40.4473599,588,21,21
POINT (-3.7176804 40.4474125),,kiosk,,,,,,,,,,,,-3.7176804,40.4474125,588,21,21
POINT (-3.716618 40.4485397),,,post_box,,,,,,,,Correos,Correos,,-3.716618,40.4485397,-1,-1,-1
POINT (-3.7149013 40.4463777),Condemar,,cafe,,,,,,,,,,,-3.7149013,40.4463777,-1,-1,-1
POINT (-3.7144127 40.4466867),,,pharmacy,,,,,Calle del Conde de la Cimera,2,28040,,,,-3.7144127,40.4466867,-1,-1,-1
POINT (-3.714308 40.4468248),Taberna la Tortuga,,restaurant,,,,,,,,,,,-3.714308,40.4468248,-1,-1,-1
POINT (-3.7141298 40.4465597),,butcher,,,,,,,,,,,,-3.7141298,40.4465597,742,841,841
POINT (-3.7136781 40.4467104),Estanco,tobacco,,,,,,,,,,,,-3.7136781,40.4467104,742,841,841
POINT (-3.7156961 40.4480906),,,pharmacy,,pharmacy,,,Calle Beatriz de Bobadilla,11,28040,,,,-3.7156961,40.4480906,-1,-1,-1
POINT (-3.7127513 40.4483577),Metropolitano,,,,,,sports_centre,,,,,,,-3.7127513,40.4483577,-1,-1,-1
POINT (-3.7119678 40.4471184),Dia,supermarket,,,,,,Calle de Juan Montalvo,21,28040,Dia,,,-3.7119678,40.4471184,-1,-1,-1
POINT (-3.6903193 40.4875148),Bar Derby,,pub,,,,,,,,,,,-3.6903193,40.4875148,372,17,17
POINT (-3.6898562 40.4873888),Frutería,supermarket,,,,,,,,,,,,-3.6898562,40.4873888,372,17,17
POINT (-3.6897821 40.4874481),La Caixa,,atm,,,,,,,,La Caixa,La Caixa,,-3.6897821,40.4874481,372,17,17
POINT (-3.6892489 40.4868023),Restaurante otavaleño,,restaurant,,,,,,,,,,equatorian,-3.6892489,40.4868023,372,17,17
POINT (-3.6887967 40.4864013),M-KOR,supermarket,,,,,,,,,,,,-3.6887967,40.4864013,372,17,17
POINT (-3.6892715 40.4858345),Taller T y J,car_repair,,,,,,,,,,,,-3.6892715,40.4858345,372,17,17
POINT (-3.6894525 40.4858434),MultiPan's,bakery,,,,,,,,,,,,-3.6894525,40.4858434,372,17,17
POINT (-3.6897017 40.4861194),Caixabank,,atm,,,,,,,,Caixabank,Caixabank,,-3.6897017,40.4861194,372,17,17
POINT (-3.6898293 40.4859977),"Pollos ""El Sabroso""",,fast_food,,,,,,,,,,,-3.6898293,40.4859977,372,17,17
POINT (-3.6901201 40.4860185),Ferretería JA,hardware,,,,,,,,,,,,-3.6901201,40.4860185,372,17,17
POINT (-3.6890489 40.4870215),Ferretería de Aluminio Carmetal,hardware,,,,,,,,,,,,-3.6890489,40.4870215,372,17,17
POINT (-3.6893842 40.4865081),"Supermercado ""GAMA""",supermarket,,,,,,,,,,,,-3.6893842,40.4865081,372,17,17
POINT (-3.6893885 40.4866367),Clínica Dental,,dentist,,dentist,,,,,,,,,-3.6893885,40.4866367,372,17,17
POINT (-3.6892626 40.4864428),"Frutería ""María del Mar""",greengrocer,,,,,,,,,,,,-3.6892626,40.4864428,372,17,17
POINT (-3.6905682 40.4861016),dentista,,dentist,,dentist,,,,,,,,,-3.6905682,40.4861016,372,17,17
POINT (-3.6899996 40.4856407),Clínica Dental Dra. Ceballos,,clinic,,clinic,,,,,,,,,-3.6899996,40.4856407,372,17,17
POINT (-3.6896661 40.4855764),"Pensión ""Mónica""",,,hostel,,,,,,,,,,-3.6896661,40.4855764,372,17,17
POINT (-3.6895029 40.4854963),Restaurante Fereva,,restaurant,,,,,,,,,,,-3.6895029,40.4854963,372,17,17
POINT (-3.6883279 40.4839533),"Panadería pastelería ""Marines""",bakery,,,,,,,,,,,,-3.6883279,40.4839533,-1,-1,-1
POINT (-3.68723 40.4845081),"Pan y bebidas ""José María""",bakery,,,,,,,,,,,,-3.68723,40.4845081,376,20,20
POINT (-3.6868917 40.4849503),"Bar ""annais""",,pub,,,,,,,,,,,-3.6868917,40.4849503,376,20,20
POINT (-3.6877452 40.4851104),Food Basics,supermarket,,,,,,,,,Food Basics,,,-3.6877452,40.4851104,-1,-1,-1
POINT (-3.6988043 40.477954),,,pharmacy,,pharmacy,,,Calle de Melchor Fernández Almagro,12,28029,,,,-3.6988043,40.477954,425,22,22
POINT (-3.6994592 40.4759151),,,pharmacy,,pharmacy,,,Calle de Villa de Marín,4,28029,,,,-3.6994592,40.4759151,-1,-1,-1
POINT (-3.6937516 40.4877305),,kiosk,,,,,,,,,,,,-3.6937516,40.4877305,366,19,19
POINT (-3.6927429 40.4860015),Servired,,atm,,,,,,,,BBVA,BBVA,,-3.6927429,40.4860015,364,19,19
POINT (-3.6691465 40.422598),Museo Casa de la Moneda,,,museum,,,,Calle del Doctor Esquerdo,36,28009,,,,-3.6691465,40.422598,-1,-1,-1
POINT (-3.7297735 40.4486523),Cafetería Filosofía,,restaurant,,,,,,,,,,,-3.7297735,40.4486523,86,23,23
POINT (-3.7059758 40.4766852),,,pharmacy,,pharmacy,,,Plaza de Padrón,1,28029,,,,-3.7059758,40.4766852,483,24,24
POINT (-3.6852867 40.4841061),Centro de Salud Virgen Begoña,,clinic,,clinic,,,,,,,,,-3.6852867,40.4841061,-1,-1,-1
POINT (-3.6911438 40.4074382),,,pharmacy,,pharmacy,,,,,,,,,-3.6911438,40.4074382,-1,-1,-1
POINT (-3.6926831 40.4096055),McDonald's,,fast_food,,,,,Calle de Atocha,127,28012,McDonald's,,burger,-3.6926831,40.4096055,-1,-1,-1
POINT (-3.6917429 40.4093955),Quiosco Prado,kiosk,,,,,,,,,,,,-3.6917429,40.4093955,-1,-1,-1
POINT (-3.6928352 40.4098332),NH Nacional,,,hotel,,,,Paseo del Prado,48,28014,,,,-3.6928352,40.4098332,1073,25,25
POINT (-3.6956565 40.4104639),Pizza Capasso,,fast_food,,,,,,,,,,,-3.6956565,40.4104639,-1,-1,-1
POINT (-3.6966965 40.4109882),Gujarat,,pub,,,,,,,,,,,-3.6966965,40.4109882,1132,915,915
POINT (-3.6967784 40.4110395),Alcampo,supermarket,,,,,,,,,Alcampo,,,-3.6967784,40.4110395,1132,915,915
POINT (-3.6968537 40.4110728),,variety_store,,,,,,,,,,,,-3.6968537,40.4110728,1132,915,915
POINT (-3.6979403 40.4116383),Diego,,bar,,,,,,,,,,,-3.6979403,40.4116383,1195,26,26
POINT (-3.6978097 40.4115676),Fuente de la Fama,,restaurant,,,,,,,,,,,-3.6978097,40.4115676,1195,26,26
POINT (-3.6961428 40.4109761),Casa Pajuelo,deli,,,,,,,,,,,,-3.6961428,40.4109761,-1,-1,-1
POINT (-3.6957127 40.4108575),Casablanca,,pub,,,,,,,,,,,-3.6957127,40.4108575,1135,27,27
POINT (-3.69567 40.4112109),A Cañada,,restaurant,,,,,Calle de Fúcar,20,,,,,-3.69567,40.4112109,1135,27,27
POINT (-3.6956831 40.4117497),Lda. María Carmen Lejeune Dopico,,pharmacy,,pharmacy,,,Calle de Fúcar,10,28014,,,,-3.6956831,40.4117497,1135,27,27
