geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,hdbscan_5_5,hdbscan_5_5_merged,hdbscan_5_5_merged
POINT (-3.7092363 40.4213738),Vietnam Mekong,,restaurant,,,,,Calle de Isabel La Católica,11,28013,,,vietnamese,-3.7092363,40.4213738,1224,390,390
POINT (-3.702205 40.4232711),BarCo,,music_venue,,,,,Calle del Barco,34,28004,,,,-3.702205,40.4232711,-1,-1,-1
POINT (-3.7022593 40.4237468),La Bicicleta,,cafe,,,,,Plaza de San Ildefonso,9,28004,,,,-3.7022593,40.4237468,1343,246,246
POINT (-3.7623418 40.3960621),Bar Ibiza,,bar,,,,,Calle de Escalona,69,28024,,,,-3.7623418,40.3960621,247,712,712
POINT (-3.6469973 40.4081671),Clínica Crosecon Fisioterapia,,,,physiotherapist,,,Calle del Camino de los Vinateros,108,28030,,,,-3.6469973,40.4081671,328,735,735
POINT (-3.6988268 40.4205209),+ K Copas,,bar,,,,,Calle de las Infantas,13,28004,,,,-3.6988268,40.4205209,-1,-1,-1
POINT (-3.6719463 40.4321964),Mulaya,clothes,,,,,,,,,,,,-3.6719463,40.4321964,-1,-1,-1
POINT (-3.6672641 40.4108887),Clínica Dental Astros - Dentanet,,dentist,,dentist,,,Calle de los Astros,14 - Bajo A,28007,,,,-3.6672641,40.4108887,691,425,425
POINT (-3.646888 40.407583),Caixabank,,bank,,,,,Avenida de Moratalaz,157,28030,Caixabank,Caixabank,,-3.646888,40.407583,328,735,735
POINT (-3.6470811 40.4075044),La cocina de San Román,bakery,,,,,,Avenida de Moratalaz,155,28030,,,,-3.6470811,40.4075044,328,735,735
POINT (-3.6475156 40.4073257),Domino's,,fast_food,,,,,Avenida de Moratalaz,149,28030,Domino's,,pizza,-3.6475156,40.4073257,328,735,735
POINT (-3.6476498 40.4072746),La taberna de Doña Jimena,,restaurant,,,,,Avenida de Moratalaz,149,28030,,,,-3.6476498,40.4072746,328,735,735
POINT (-3.6479756 40.4071357),Caixabank,,bank,,,,,Avenida de Moratalaz,143,28030,Caixabank,,,-3.6479756,40.4071357,328,735,735
POINT (-3.6481835 40.407053),Hogar & Hobby,doityourself,,,,,,Avenida de Moratalaz,141,28030,,,,-3.6481835,40.407053,328,735,735
POINT (-3.6488809 40.4067773),Lotería,lottery,,,,,,Avenida de Moratalaz,135,28030,,,,-3.6488809,40.4067773,328,735,735
POINT (-3.6383813 40.468231),A´ Fenestella,,restaurant,,,,,Calle de Torquemada,25,,,,italian,-3.6383813,40.468231,201,321,321
POINT (-3.7059379 40.4240125),Sobrado,,restaurant,,,,,Calle del Pez,30,28004,,,,-3.7059379,40.4240125,1311,3,3
POINT (-3.7062465 40.4242729),Picnic,,bar,,,,,Calle de Minas,1,28004,,,,-3.7062465,40.4242729,1311,3,3
POINT (-3.7050849 40.4239558),La Copla,,restaurant,,,,,Calle de Jesús del Valle,1,28004,,,,-3.7050849,40.4239558,1307,3,3
POINT (-3.706718 40.424372),El Rincón de Pez,,restaurant,,,,,Calle del Pez,38,28004,,,,-3.706718,40.424372,1311,3,3
POINT (-3.7064905 40.4242494),Pez Tortilla,,restaurant,,,,,Calle del Pez,36,28004,,,,-3.7064905,40.4242494,1311,3,3
POINT (-3.7071179 40.4243541),El Pez Gato,,bar,,,,,Calle del Pez,40,28004,,,,-3.7071179,40.4243541,1311,3,3
POINT (-3.7036899 40.4285994),La Tía Juana,,restaurant,,,,,Calle de Manuela Malasaña,15,28004,,,mexican,-3.7036899,40.4285994,1319,284,284
POINT (-3.7084668 40.4206176),Hotel Santo Domingo,,,hotel,,,,Plaza de Santo Domingo,13,28013,,Mercure,,-3.7084668,40.4206176,-1,-1,-1
POINT (-3.7081031 40.4214124),Hotel Emperador,,,hotel,,,,Gran Vía,53,28013,,,,-3.7081031,40.4214124,-1,-1,-1
POINT (-3.7085252 40.4270811),La Taquería de Birra,,restaurant,,,,,Plaza de las Comendadoras,2,28015,,,mexican,-3.7085252,40.4270811,1297,426,426
POINT (-3.7115182 40.3910996),Clínica Veterinaria Jura Real,,veterinary,,,,,Calle del Marqués de Jura Real,28,28019,,,,-3.7115182,40.3910996,-1,-1,-1
POINT (-3.7113017 40.3911895),Goal Dental,,dentist,,dentist,,,Calle del Marqués de Jura Real,28,28019,,,,-3.7113017,40.3911895,-1,-1,-1
POINT (-3.7098722 40.3916687),Dia,supermarket,,,,,,Calle del Marqués de Jura Real,21,28019,Dia,,,-3.7098722,40.3916687,567,427,427
POINT (-3.646281 40.407842),GAES,hearing_aids,,,,,,Avenida de Moratalaz,181,28030,GAES,,,-3.646281,40.407842,328,735,735
POINT (-3.6467418 40.4081038),Centro Especial de Empleo,,,,,employment_agency,,Calle del Camino de los Vinateros,108,28030,,,,-3.6467418,40.4081038,328,735,735
POINT (-3.7073053 40.4186044),Líbere Madrid Palacio Real,,,hotel,,,,Travesía de los Trujillos,3,28013,,,,-3.7073053,40.4186044,-1,-1,-1
POINT (-3.7083317 40.4209011),Petit Palace San Bernardo,,,hotel,,,,Calle de San Bernardo,3,28013,,High Tech & Petit Palace,,-3.7083317,40.4209011,1263,213,213
POINT (-3.7081655 40.4198315),Dehesa Santa María,,restaurant,,,,,Costanilla de los Ángeles,15,28013,,,,-3.7081655,40.4198315,-1,-1,-1
POINT (-3.7084029 40.4156264),Valle del Tiétar,,restaurant,,,,,Calle Ciudad Rodrigo,5,28012,,,regional,-3.7084029,40.4156264,-1,-1,-1
POINT (-3.7083143 40.4156141),Casa Rúa,,restaurant,,,,,Calle Ciudad Rodrigo,3,28012,,,regional,-3.7083143,40.4156141,-1,-1,-1
POINT (-3.7080496 40.4157731),Arrabal,,restaurant,,,,,Plaza Mayor,23,28012,,,,-3.7080496,40.4157731,-1,-1,-1
POINT (-3.7081543 40.4155385),Cafetería Magerit,,restaurant,,,,,Plaza Mayor,22,28012,,,regional,-3.7081543,40.4155385,-1,-1,-1
POINT (-3.7081185 40.4151033),Bar Tineo,,restaurant,,,,,Plaza Mayor,14,28012,,,,-3.7081185,40.4151033,1229,179,179
POINT (-3.7081117 40.4150447),Café Zarra,,restaurant,,,,,Plaza Mayor,13,28012,,,,-3.7081117,40.4150447,1229,179,179
POINT (-3.7076879 40.41496),Cervecería Éboli,,restaurant,,,,,Plaza Mayor,4-5,28012,,,regional,-3.7076879,40.41496,-1,-1,-1
POINT (-3.7646267 40.3886992),La Ley Seca,,pub,,,,,,,,,,,-3.7646267,40.3886992,-1,-1,-1
POINT (-3.7658629 40.3908667),Sokoa,,pub,,,,,,,,,,,-3.7658629,40.3908667,-1,-1,-1
POINT (-3.6460331 40.4097101),Ciclos Moratalaz,bicycle,,,,,,,,,,,,-3.6460331,40.4097101,-1,-1,-1
POINT (-3.7082108 40.4760503),Bike Factory,bicycle,,,,,,,,,,,,-3.7082108,40.4760503,482,428,428
POINT (-3.6914825 40.4566203),Reagroup,car_repair,,,,,,,,,,,,-3.6914825,40.4566203,747,214,214
POINT (-3.6995744 40.4571697),Shaddai,hairdresser,,,,,,,,,,,,-3.6995744,40.4571697,904,429,429
POINT (-3.6919974 40.456374),Dynamic Look,hairdresser,,,,,,,,,,,,-3.6919974,40.456374,747,214,214
POINT (-3.6949829 40.4562381),Oficina de Correos,,post_office,,,,,Calle de Orense,55,28020,Oficina de Correos,Correos,,-3.6949829,40.4562381,755,848,848
POINT (-3.7013316 40.4573414),Vodafone,mobile_phone,,,,,,,,,Vodafone,,,-3.7013316,40.4573414,914,885,885
POINT (-3.6925434 40.4556942),Xerox,hardware,,,,,,,,,,,,-3.6925434,40.4556942,747,214,214
POINT (-3.6994251 40.4569296),Hogar Universo,convenience,,,,,,Calle de San Germán,41,28020,,,,-3.6994251,40.4569296,-1,-1,-1
POINT (-3.7065971 40.4241414),1862 Dry Bar,,bar,,,,,Calle del Pez,27,28004,,,,-3.7065971,40.4241414,1311,3,3
POINT (-3.7072805 40.4242479),Dos Passos,,cafe,,,,,Calle de San Bernardo,42,28015,,,,-3.7072805,40.4242479,1311,3,3
POINT (-3.7073691 40.4233222),Aquí Santoña,,pub,,,,,Calle de San Bernardo,28,28015,,,,-3.7073691,40.4233222,1308,213,213
POINT (-3.7074947 40.4227337),Pressto,dry_cleaning,,,,,,Calle de San Bernardo,20,28015,,,,-3.7074947,40.4227337,1306,213,213
POINT (-3.7075398 40.4225065),Carrefour Express,supermarket,,,,,,Calle de San Bernardo,18,28015,Carrefour Express,,,-3.7075398,40.4225065,1306,213,213
POINT (-3.7078499 40.4222044),Mesón O'Luar,,restaurant,,,,,Calle de San Bernardo,17,28015,,,regional,-3.7078499,40.4222044,1306,213,213
POINT (-3.7076973 40.4219842),Kaiten Sushi,,restaurant,,,,,Calle de San Bernardo,10,28015,,,japanese;chinese;thai;asian,-3.7076973,40.4219842,1306,213,213
POINT (-3.7077193 40.4219011),Paraíso del Jamón,,restaurant,,,,,Calle de San Bernardo,8,28015,,,regional,-3.7077193,40.4219011,-1,-1,-1
POINT (-3.7079058 40.4219919),Subway,,fast_food,,,,,Calle de San Bernardo,13,28015,Subway,,sandwich,-3.7079058,40.4219919,1306,213,213
POINT (-3.7080532 40.420364),Cafetería Oskar,,restaurant,,,,,Calle de Silva,2,28013,,,,-3.7080532,40.420364,1262,412,412
POINT (-3.7079726 40.4203349),Domingo's,,restaurant,,,,,Calle de Jacometrezo,,28013,,,,-3.7079726,40.4203349,1262,412,412
POINT (-3.7078991 40.4200761),O' Faro Finisterre,,restaurant,,,,,Calle de Jacometrezo,15,28013,,,regional,-3.7078991,40.4200761,-1,-1,-1
POINT (-3.7078402 40.4200045),La Abadía,,restaurant,,,,,Calle de Jacometrezo,15,28013,,,regional,-3.7078402,40.4200045,1272,930,930
POINT (-3.7078185 40.4199733),Shisha,,restaurant,,,,,Calle de Jacometrezo,15,28013,,,kebab,-3.7078185,40.4199733,1272,930,930
POINT (-3.7077186 40.4198828),Topolino,,restaurant,,,,,Calle Preciados,50,28013,,,italian,-3.7077186,40.4198828,1272,930,930
POINT (-3.707584 40.4197098),Café Varela,,restaurant,,,,,Calle Preciados,37,28013,,,,-3.707584,40.4197098,1272,930,930
POINT (-3.7076436 40.4194778),Nan Nan,,restaurant,,,,,Calle de las Veneras,7,28013,,,hotpot,-3.7076436,40.4194778,1272,930,930
POINT (-3.707627 40.4194528),La Deportiva,,restaurant,,,,,Calle de las Veneras,7,28013,,,spanish,-3.707627,40.4194528,1272,930,930
POINT (-3.7075029 40.4193115),Mareas Vivas,,restaurant,,,,,Calle de las Veneras,3,28013,,,regional,-3.7075029,40.4193115,1272,930,930
POINT (-3.7080184 40.416244),La Caja de Vinos,alcohol,,,,,,Calle de San Felipe Neri,2,28013,,,,-3.7080184,40.416244,1225,35,35
POINT (-3.7071852 40.4186679),Esencia al Cuadrado,,restaurant,,,,,Travesía de los Trujillos,2,28013,,,,-3.7071852,40.4186679,-1,-1,-1
POINT (-3.6492865 40.4096463),Herbolario El Árbol,herbalist,,,,,,,,,,,,-3.6492865,40.4096463,-1,-1,-1
POINT (-3.7070124 40.4243629),Exp. nº 161,tobacco,,,,,,Calle del Pez,40,28004,,,,-3.7070124,40.4243629,1311,3,3
POINT (-3.7063988 40.4242108),Malvón,,fast_food,,,,,Calle del Pez,36,28004,Malvón,,empanada,-3.7063988,40.4242108,1311,3,3
POINT (-3.7064036 40.4240603),Dis Fruta,greengrocer,,,,,,Calle del Pez,27,28004,,,,-3.7064036,40.4240603,1311,3,3
POINT (-3.7777176 40.3804038),Clínica Melisa,,clinic,,clinic,,,Calle de Aldeanueva de la Vera,16,28044,,,,-3.7777176,40.3804038,-1,-1,-1
POINT (-3.6773431 40.4218961),Asesoría DHA - Debe Haber Asociaciones S.L.,,,,,association,,Calle de Lope de Rueda,21,28009,,,,-3.6773431,40.4218961,895,879,879
POINT (-3.7139508 40.396569),Dia,supermarket,,,,,,,,,Dia,,,-3.7139508,40.396569,-1,-1,-1
POINT (-3.6446752 40.4054393),Gustavo Carreño Estilismo,hairdresser,,,,,,Calle de la Cañada,37,28030,,,,-3.6446752,40.4054393,309,386,386
POINT (-3.7082837 40.3940817),Lidl,supermarket,,,,,,Calle de Antonio López,78,28019,Lidl,,,-3.7082837,40.3940817,-1,-1,-1
POINT (-3.7080915 40.3939933),Caixabank,,bank,,,,,Calle de Antonio López,80,28019,Caixabank,Caixabank,,-3.7080915,40.3939933,564,294,294
POINT (-3.7088454 40.3943453),Loterías y Apuestas del Estado,lottery,,,,,,Calle de Antonio López,72,28019,Loterías y Apuestas del Estado,Loterías y Apuestas del Estado,,-3.7088454,40.3943453,565,294,294
POINT (-3.7052743 40.408935),Val Souza Estilistas,hairdresser,,,,,,Calle de los Cabestreros,17,28012,,,,-3.7052743,40.408935,1039,901,901
POINT (-3.7085423 40.3945158),Caixabank,,bank,,,,,Calle de Antonio López,61,28019,Caixabank,,,-3.7085423,40.3945158,565,294,294
POINT (-3.7098406 40.3951276),Don Fruta,greengrocer,,,,,,Calle de Antonio López,51,28019,,,,-3.7098406,40.3951276,-1,-1,-1
POINT (-3.7114315 40.3958664),La Casa Agency,,,,,estate_agent,,Calle de Antonio López,39,28019,,,,-3.7114315,40.3958664,572,294,294
POINT (-3.7027143 40.454167),Inside,clothes,,,,,,,,,Inside,,,-3.7027143,40.454167,928,15,15
POINT (-3.7025933 40.4545863),Tien 21,electronics,,,,,,,,,,,,-3.7025933,40.4545863,928,15,15
POINT (-3.703178 40.4541639),MR.DIY,variety_store,,,,,,,,,,,,-3.703178,40.4541639,-1,-1,-1
POINT (-3.7026562 40.4543879),Servired,,atm,,,,,,,,,Bankia,,-3.7026562,40.4543879,928,15,15
POINT (-3.7025906 40.4546924),La Antigua de Estrecho,,cafe,,,,,,,,,,,-3.7025906,40.4546924,-1,-1,-1
POINT (-3.7027513 40.4535649),Soloptical,optician,,,,,,,,,,,,-3.7027513,40.4535649,922,15,15
POINT (-3.7026646 40.4543545),Servired,,atm,,,,,,,,,Bankia,,-3.7026646,40.4543545,928,15,15
POINT (-3.7032368 40.4545552),Bolsos Peyo,bag,,,,,,,,,,,,-3.7032368,40.4545552,931,15,15
POINT (-3.7030575 40.4544025),Pilar Prieto,clothes,,,,,,,,,,,,-3.7030575,40.4544025,931,15,15
POINT (-3.7030005 40.4546293),Kebab Real Estambul,,fast_food,,,,,,,,,,turkish,-3.7030005,40.4546293,931,15,15
POINT (-3.7027421 40.453856),VR,shoes,,,,,,,,,,,,-3.7027421,40.453856,922,15,15
POINT (-3.7618321 40.3965866),Carrefour Market,supermarket,,,,,,Calle de Escalona,,28024,Carrefour Market,Carrefour,,-3.7618321,40.3965866,247,712,712
POINT (-3.7650943 40.3937323),Alcampo,supermarket,,,,,,Calle de Maqueda,30,28024,Alcampo,,,-3.7650943,40.3937323,-1,-1,-1
POINT (-3.7651152 40.393844),Burger King,,fast_food,,,,,Calle de Maqueda,30,28024,Burger King,,burger,-3.7651152,40.393844,-1,-1,-1
POINT (-3.7649321 40.3936369),Holiday Gym Aluche,,,,,,sports_centre,Calle de Maqueda,30,28024,,,,-3.7649321,40.3936369,-1,-1,-1
POINT (-3.6750221 40.4672162),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-3.6750221,40.4672162,370,16,16
POINT (-3.6990756 40.4133029),Barehua,,cafe,,,,,Calle del León,23,28014,,,,-3.6990756,40.4133029,1213,265,265
POINT (-3.7083007 40.4128842),Taberna del Capitán Alatriste,,restaurant,,,,,Calle de Grafal,7,28005,,,madrileña,-3.7083007,40.4128842,-1,-1,-1
POINT (-3.7019599 40.4197789),Hotel Praktik Metropol,,,hotel,,,,Calle de la Montera,47,28013,,,,-3.7019599,40.4197789,1157,44,44
POINT (-3.709858 40.4240471),Asador de Hongkongnes,,restaurant,,,,,Calle de los Reyes,12,28015,,,chinese,-3.709858,40.4240471,1180,919,919
POINT (-3.712389 40.4249618),Tako Away,,fast_food,,,,,Calle de la Princesa,3,,,,mexican,-3.712389,40.4249618,-1,-1,-1
POINT (-3.6983114 40.4260668),La Potxola,,restaurant,,,,,Calle de San Mateo,19,28004,,,regional,-3.6983114,40.4260668,1076,6,6
POINT (-3.7093085 40.4177056),Asador Real,,restaurant,,,,,Plaza de Isabel II,1,28013,,,regional,-3.7093085,40.4177056,-1,-1,-1
POINT (-3.7113161 40.4246662),La Chalana,,restaurant,,,,,Calle de San Leonardo,12,28015,,,regional,-3.7113161,40.4246662,-1,-1,-1
POINT (-3.7088156 40.425725),Sweet Studio,,cafe,,,,,Calle de Noviciado,16,28015,,,,-3.7088156,40.425725,1318,430,430
POINT (-3.7650042 40.3819233),Cervecería Bremen,,bar,,,,,Calle del Sanguiño,6,28044,,,,-3.7650042,40.3819233,-1,-1,-1
POINT (-3.7642026 40.3830165),Ferrokey,hardware,,,,,,Calle del Damasquillo,1,28044,,,,-3.7642026,40.3830165,228,307,307
POINT (-3.6936595 40.4127017),,newsagent,,,,,,,,,,,,-3.6936595,40.4127017,1072,904,904
POINT (-3.6949679 40.4149224),Vips,,restaurant,,,,,Plaza de Cánovas del Castillo,5,28014,Vips,,international,-3.6949679,40.4149224,876,873,873
POINT (-3.6935147 40.412373),,vacant,,,,,,Paseo del Prado,24,28014,,,,-3.6935147,40.412373,1072,904,904
POINT (-3.616143 40.4274821),,kiosk,,,,,,,,,,,,-3.616143,40.4274821,169,687,687
POINT (-3.7107589 40.4175851),Agra Palace,,restaurant,,,,,Calle de Vergara,7,,,,indian,-3.7107589,40.4175851,1190,920,920
POINT (-3.6161443 40.4271947),,shoes,,,,,,,,,,,,-3.6161443,40.4271947,169,687,687
POINT (-3.6165839 40.426991),Los Niños de la Victoria,,cafe,,,,,,,,,,,-3.6165839,40.426991,169,687,687
POINT (-3.6167821 40.4271711),Sila,,cafe,,,,,,,,,,,-3.6167821,40.4271711,169,687,687
POINT (-3.6174506 40.4268885),,,veterinary,,,,,,,,,,,-3.6174506,40.4268885,169,687,687
POINT (-3.6173124 40.4269262),Julio's,,cafe,,,,,,,,,,,-3.6173124,40.4269262,169,687,687
POINT (-3.6171488 40.4269354),,tobacco,,,,,,,,,,,,-3.6171488,40.4269354,169,687,687
POINT (-3.6168766 40.4269436),,,cafe,,,,,,,,,,,-3.6168766,40.4269436,169,687,687
POINT (-3.6171676 40.4265989),Caixabank,,bank,,,,,,,,Caixabank,Caixabank,,-3.6171676,40.4265989,169,687,687
POINT (-3.7004085 40.4200737),Destinia.com,travel_agency,,,,travel_agent,,Gran Vía,22D,28013,,,,-3.7004085,40.4200737,-1,-1,-1
POINT (-3.6743929 40.4259668),Baretu,,bar,,,,,Calle de Hermosilla,101,28006,,,,-3.6743929,40.4259668,-1,-1,-1
POINT (-3.6736439 40.4259307),Running Sushi in Osaka,,restaurant,,,,,Calle de Hermosilla,103,28006,,,sushi,-3.6736439,40.4259307,-1,-1,-1
POINT (-3.6747333 40.4260366),Joya Oriental,,restaurant,,,,,Calle de Hermosilla,101,28006,,,chinese,-3.6747333,40.4260366,-1,-1,-1
POINT (-3.6741666 40.4260123),Banco Santander,,bank,,,,,Calle de Hermosilla,101,28006,Banco Santander,Santander,,-3.6741666,40.4260123,-1,-1,-1
POINT (-3.6761618 40.426074),Casa Picote,,bar,,,,,Calle de Hermosilla,91,28001,,,,-3.6761618,40.426074,-1,-1,-1
POINT (-3.6764864 40.4260869),Esmirna Kebab,,fast_food,,,,,Calle de Hermosilla,91,28001,,,kebab,-3.6764864,40.4260869,-1,-1,-1
POINT (-3.677279 40.4258908),Casa,furniture,,,,,,Calle de Hermosilla,80,28001,Casa,,,-3.677279,40.4258908,-1,-1,-1
POINT (-3.6778157 40.4261485),,vacant,,,,,,Calle de Hermosilla,77,28001,,,,-3.6778157,40.4261485,-1,-1,-1
POINT (-3.6779298 40.4261519),Banco Sabadell,,bank,,,,,Calle de Hermosilla,75,28001,Banco Sabadell,,,-3.6779298,40.4261519,902,431,431
POINT (-3.6770154 40.4261),Grosso Napoletano,,restaurant,,,,,Calle de Hermosilla,85,28001,,,pizza,-3.6770154,40.4261,-1,-1,-1
POINT (-3.6784422 40.4259651),Casa Poli,,restaurant,,,,,Calle del General Pardiñas,28,28001,,,regional,-3.6784422,40.4259651,902,431,431
POINT (-3.6793198 40.4261851),Bar Camorrillo,,restaurant,,,,,Calle de Hermosilla,67,28001,,,regional,-3.6793198,40.4261851,902,431,431
POINT (-3.6787937 40.4261557),Tacoos,,restaurant,,,,,Calle de Hermosilla,73,28001,,,regional,-3.6787937,40.4261557,902,431,431
POINT (-3.6790647 40.4259802),Ministerio de Empleo y Seguridad Social,,,,,government,,Calle de Hermosilla,66,28001,,,,-3.6790647,40.4259802,902,431,431
POINT (-3.6792243 40.426184),Cerclé Studio,,,,,,fitness_centre,Calle de Hermosilla,69,28001,,,,-3.6792243,40.426184,902,431,431
POINT (-3.6798695 40.4262099),Abanca,,bank,,,,,Calle del Príncipe de Vergara,32,28001,,,,-3.6798695,40.4262099,-1,-1,-1
POINT (-3.6802628 40.4262345),Mil Van,mobile_phone,,,,,,Calle del Príncipe de Vergara,29,28001,,,,-3.6802628,40.4262345,-1,-1,-1
POINT (-3.6802933 40.426059),,,pharmacy,,pharmacy,,,Calle del Príncipe de Vergara,27,28001,,,,-3.6802933,40.426059,-1,-1,-1
POINT (-3.68181 40.4261049),Aromas,,restaurant,,,,,Calle de Hermosilla,48,28001,,,,-3.68181,40.4261049,949,431,431
POINT (-3.683255 40.4263865),DéFiLé Café,,restaurant,,,,,Calle de Hermosilla,39,28001,,,,-3.683255,40.4263865,-1,-1,-1
POINT (-3.6820574 40.4261201),Estay,,restaurant,,,,,Calle de Hermosilla,46,28001,,,regional,-3.6820574,40.4261201,949,431,431
POINT (-3.6815626 40.4261072),Granier,bakery,cafe,,,,,Calle de Castelló,39,28001,Granier,,,-3.6815626,40.4261072,949,431,431
POINT (-3.6838196 40.4264156),Mas Q Menos,,pub,,,,,Calle de Velázquez,44,28001,MásQMenos,,tapas,-3.6838196,40.4264156,-1,-1,-1
POINT (-3.6807566 40.4260456),,,cafe,,,,,Calle de Hermosilla,58,28001,,,,-3.6807566,40.4260456,-1,-1,-1
POINT (-3.682848 40.4261465),El Café de Hermosilla,,cafe,,,,,Calle de Hermosilla,40,28001,,,,-3.682848,40.4261465,-1,-1,-1
POINT (-3.6853756 40.4264939),El Pimiento Verde,,restaurant,,,,,Calle de Lagasca,43,28001,,,spanish,-3.6853756,40.4264939,940,432,432
POINT (-3.6854696 40.4264897),Tótem Hotel Madrid,,,hotel,,,,Calle de Hermosilla,23,28001,,NH,,-3.6854696,40.4264897,940,432,432
POINT (-3.6869484 40.4265569),Kave Home,furniture,,,,,,Calle de Hermosilla,13,28001,Kave Home,Kave Home,,-3.6869484,40.4265569,-1,-1,-1
POINT (-3.6865218 40.4265529),& Other Stories,clothes,,,,,,Calle de Hermosilla,15,28001,& Other Stories,,,-3.6865218,40.4265529,-1,-1,-1
POINT (-3.7028378 40.4237936),Casa Fidel,,restaurant,,,,,Calle de El Escorial,6,28004,,,regional,-3.7028378,40.4237936,-1,-1,-1
POINT (-3.6661561 40.4257483),Grupo Scout Espisar 652,,,,,educational_institution,,Paseo del Marqués de Zafra,16,28028,,,,-3.6661561,40.4257483,-1,-1,-1
POINT (-3.7058077 40.4221166),La Rayúa,,restaurant,,,,,Calle de la Luna,3,28004,,,regional,-3.7058077,40.4221166,1328,413,413
POINT (-3.7071306 40.4185756),Tetería Dubai,,cafe,,,,,Travesía de los Trujillos,1,28013,,,,-3.7071306,40.4185756,-1,-1,-1
POINT (-3.7075337 40.4183956),Califa,,restaurant,,,,,Calle de los Trujillos,3,28013,,arabian,,-3.7075337,40.4183956,-1,-1,-1
POINT (-3.707336 40.4188883),Casa Parrondo,,restaurant,,,,,Calle de los Trujillos,,28013,,,regional,-3.707336,40.4188883,-1,-1,-1
POINT (-3.7074466 40.4189847),Casa Valiño,,restaurant,,,,,Calle de los Trujillos,9,28013,,,regional,-3.7074466,40.4189847,1272,930,930
POINT (-3.7073218 40.4190175),Igo Ramen,,restaurant,,,,,Calle de las Navas de Tolosa,9,28013,,,noodle,-3.7073218,40.4190175,-1,-1,-1
POINT (-3.7074757 40.4187834),El Zagal,,restaurant,,,,,Calle de los Trujillos,7,28013,,,regional,-3.7074757,40.4187834,1272,930,930
POINT (-3.7075016 40.418605),Strong,,bar,,,,,Calle de los Trujillos,7,28013,,,,-3.7075016,40.418605,-1,-1,-1
POINT (-3.7074887 40.4186817),Hot Pot de Sichuan,vacant,restaurant,,,,,Calle de los Trujillos,7,28013,,,,-3.7074887,40.4186817,-1,-1,-1
POINT (-3.7076313 40.4178177),El Escarpín,,restaurant,,,,,Calle de las Hileras,17,28013,,,regional,-3.7076313,40.4178177,-1,-1,-1
POINT (-3.7074771 40.417991),Juan Men,,restaurant,,,,,Calle de las Hileras,19,28013,,,chinese,-3.7074771,40.417991,-1,-1,-1
POINT (-3.7076269 40.4176751),La Coquette,,bar,,,,,Calle de las Hileras,14,28013,,,,-3.7076269,40.4176751,1243,36,36
POINT (-3.7081706 40.4169967),El Cogollo de la Descarga,,restaurant,,,,,Calle de las Hileras,6,28013,,,regional,-3.7081706,40.4169967,-1,-1,-1
POINT (-3.7080652 40.4173148),Colors Coffee Shop,,cafe,,,,,Calle de las Hileras,9,28013,,,,-3.7080652,40.4173148,-1,-1,-1
POINT (-3.7082922 40.4170477),Taquería Mi Ciudad,,restaurant,,,,,Calle de las Hileras,5,28013,,,mexican,-3.7082922,40.4170477,1237,418,418
POINT (-3.7055554 40.4118692),Like at home Madrid,,,guest_house,,,,Calle del Duque de Alba,3,28012,,,,-3.7055554,40.4118692,1153,917,917
POINT (-3.7101805 40.4239319),Nemrut,,restaurant,,,,,Calle de los Reyes,16,28015,,,kebab,-3.7101805,40.4239319,1180,919,919
POINT (-3.7097835 40.4240782),Jin Ling,,restaurant,,,,,Calle de los Reyes,12,28015,,,chinese,-3.7097835,40.4240782,1180,919,919
POINT (-3.7097211 40.4241019),Shi Shang,,restaurant,,,,,Calle de los Reyes,10,28015,,,chinese,-3.7097211,40.4241019,1180,919,919
POINT (-3.7100657 40.4237667),Taberna Rincón de Reyes,,restaurant,,,,,Calle de los Reyes,21,28015,,,regional,-3.7100657,40.4237667,1180,919,919
POINT (-3.7057144 40.4221339),Chun Li dumpling house,,restaurant,,,,,Calle de la Luna,12,28004,,,chinese,-3.7057144,40.4221339,1328,413,413
POINT (-3.7131039 40.4259213),Kai Thai,,restaurant,,,,,Calle de la Princesa,13,28008,,,thai,-3.7131039,40.4259213,1121,913,913
POINT (-3.7129917 40.4257671),The Good Burger,,fast_food,,,,,Calle de la Princesa,13,28008,The Good Burger,,burger,-3.7129917,40.4257671,1121,913,913
POINT (-3.7129361 40.4256909),Foster Hollywood,,restaurant,,,,,Calle de la Princesa,13,28008,,,burger,-3.7129361,40.4256909,1121,913,913
POINT (-3.712753 40.4254435),100 Montaditos,,restaurant,,,,,Calle de la Princesa,7,28008,100 Montaditos,,sandwich,-3.712753,40.4254435,1121,913,913
POINT (-3.7071394 40.424505),Molsan,,,guest_house,,,,Calle del Pez,40,28004,,,,-3.7071394,40.424505,1311,3,3
POINT (-3.707024 40.424505),Hostal Salomé,,,guest_house,,,,Calle del Pez,40,28004,,,,-3.707024,40.424505,-1,-1,-1
POINT (-3.7066713 40.4249537),Cazador,,bar,,,,,Calle de Pozas,7,28004,,,,-3.7066713,40.4249537,-1,-1,-1
POINT (-3.7066589 40.424559),Ferrero,,bar,,,,,Calle de Pozas,3,28004,,,,-3.7066589,40.424559,-1,-1,-1
POINT (-3.7058394 40.4249537),,vacant,,,,,,Calle de Minas,18,28004,,,,-3.7058394,40.4249537,-1,-1,-1
