geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Murcia_hdbscan_5_5
POINT (-1.0720303263969937 37.97343063289462),E.E.I. La Naranja,,school,,,,,Calle Escuelas,4,30570.0,,,,-1.0720303263969937,37.97343063289462,-119338,4227202,e.e.i. la naranja,23
POINT (-1.0735938058863486 37.97196088454909),Auditorio Y Centro De Artés Escénicas de Beniaján Sebastián Gálvez Arce,,theatre,,,,,Calle Antonia Maymon,6,30570.0,,,,-1.0735938058863486,37.97196088454909,-119512,4227039,auditorio y centro de artés escénicas de beniaján sebastián gálvez arce,23
POINT (-1.070872399999999 37.97529364999999),Alcaldía de Beniaján,,,,,government,,,,,,,,-1.070872399999999,37.97529364999999,-119210,4227410,alcaldía de beniaján,23
POINT (-1.138436968641218 37.99660278343103),Tesorería General de la Seguridad Social,,,,,government,,,,,,,,-1.138436968641218,37.99660278343103,-126731,4229782,tesorería general de la seguridad social,-1
POINT (-1.0782573312605586 37.96513564658526),,,,,,,park,,,,,,,-1.0782573312605586,37.96513564658526,-120032,4226279,,22
POINT (-1.1280680403977739 37.9693968012341),Hospital Mesa del Castillo,,hospital,,hospital,,,Ronda Sur,20,30010.0,,"Hospital Mesa del Castillo, S.L.",,-1.1280680403977739,37.9693968012341,-125577,4226753,hospital mesa del castillo,67
POINT (-1.1353029484550563 37.9679761108827),Amusal,,,,,association,,Ronda Sur,50,30010.0,,,,-1.1353029484550563,37.9679761108827,-126382,4226595,amusal,-1
POINT (-1.1311240177548776 37.97094993478499),Polideportivo Santiago El Mayor,,,,,,sports_centre,Calle Morera,27,30010.0,,,,-1.1311240177548776,37.97094993478499,-125917,4226926,polideportivo santiago el mayor,-1
POINT (-1.132433596958327 37.97158228776502),Centro de Salud Murcia Sur,,clinic,,clinic,,,Avenida General Ortín,2,30010.0,,SMS - Servicio Murciano de Salud,,-1.132433596958327,37.97158228776502,-126063,4226997,centro de salud murcia sur,70
POINT (-1.1282416738113037 37.971019893131135),EMPI - Escuela Murcia de Primera Infancia,,school,,,,,Calle Morera,,30012.0,,,,-1.1282416738113037,37.971019893131135,-125596,4226934,empi - escuela murcia de primera infancia,67
POINT (-1.1230361151225672 37.970751625032506),Jardín Margarita Sánchez,,,,,,park,,,,,,,-1.1230361151225672,37.970751625032506,-125016,4226904,jardín margarita sánchez,72
