geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Zaragoza_hdbscan_5_5
POINT (-0.9256867 41.6516524),Panadería Nela,bakery,,,,,,Calle de Antonio de Leyva,44,50011.0,,,,-0.9256867,41.6516524,-103047,4636662,panadería nela,109
POINT (-0.9256035 41.6515421),Charcutería José Luis,butcher,,,,,,Calle de Antonio de Leyva,57,50011.0,,,,-0.9256035,41.6515421,-103038,4636650,charcutería josé luis,109
POINT (-0.925739 41.6515471),Loterías y Apuestas del Estado,lottery,,,,,,Calle de Antonio de Leyva,59,50011.0,Loterías y Apuestas del Estado,,,-0.925739,41.6515471,-103053,4636650,loterías y apuestas del estado,109
POINT (-0.9258758 41.651478),Peluquería Brillo y Color,hairdresser,,,,,,Calle Huesa del Común,1,,,,,-0.9258758,41.651478,-103068,4636643,peluquería brillo y color,109
POINT (-0.9260139 41.6516443),El Rincón,confectionery,,,,,,Calle de Antonio de Leyva,48,50011.0,El Rincón,,,-0.9260139,41.6516443,-103084,4636661,el rincón,109
POINT (-0.9261681 41.6515592),Estanco 96,tobacco,,,,,,Calle de Antonio de Leyva,65,50011.0,,,,-0.9261681,41.6515592,-103101,4636652,estanco 96,109
POINT (-0.9264658 41.6515221),Modas Ana,clothes,,,,,,Calle de Antonio de Leyva,71,50011.0,,,,-0.9264658,41.6515221,-103134,4636647,modas ana,109
POINT (-0.9264337 41.6516634),Nai-Clean,laundry,,,,,,Calle de Antonio de Leyva,56,50011.0,,,,-0.9264337,41.6516634,-103131,4636663,nai-clean,109
POINT (-0.926545 41.6515501),Bar La Unión,,bar,,,,,Calle de Antonio de Leyva,73,50011.0,,,,-0.926545,41.6515501,-103143,4636651,bar la unión,109
POINT (-0.9267113 41.6515702),Panadería Hermanos Torres,bakery,,,,,,Calle de Antonio de Leyva,75,50011.0,,,,-0.9267113,41.6515702,-103162,4636653,panadería hermanos torres,109
POINT (-0.9268682 41.6516654),Gestoría Soto,,,,,accountant,,Calle de Antonio de Leyva,60,50011.0,,,,-0.9268682,41.6516654,-103179,4636663,gestoría soto,109
POINT (-0.9273671 41.6516644),Doner Kebab Zaragoza,,fast_food,,,,,Calle de Antonio de Leyva,68,50011.0,,,,-0.9273671,41.6516644,-103235,4636663,doner kebab zaragoza,109
POINT (-0.9255552 41.6502484),Centro Municipal de Servicios Sociales,,,,,government,,Calle Emilio Laguna Azorín,28,50011.0,,,,-0.9255552,41.6502484,-103033,4636506,centro municipal de servicios sociales,-1
POINT (-0.9228194 41.6494688),Rastrillo Solidario,houseware,,,,,,Calle Emilio Laguna Azorín,28,50011.0,,,,-0.9228194,41.6494688,-102728,4636419,rastrillo solidario,-1
POINT (-0.9211122 41.6491261),Materiales construcción Pellicer,hardware,,,,,,Calle de Mosén Jose Bosqued,6,50011.0,,,,-0.9211122,41.6491261,-102538,4636381,materiales construcción pellicer,99
POINT (-0.9212007 41.6490379),Obradores Ferrer,bakery,,,,,,Calle de Mosén Jose Bosqued,6,50011.0,,,,-0.9212007,41.6490379,-102548,4636371,obradores ferrer,99
