geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Zaragoza_hdbscan_5_5
POINT (-0.8992936 41.6490424),Tien21,electronics,,,,,,,,,,,,-0.8992936,41.6490424,-100109,4636371,tien21,-1
POINT (-0.917682 41.6442586),Pérez-Ezquerra,,pharmacy,,pharmacy,,,Plaza Azteca,,50012.0,,,,-0.917682,41.6442586,-102156,4635839,pérez-ezquerra,-1
POINT (-0.8966738 41.638636),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8966738,41.638636,-99818,4635213,ibercaja,235
POINT (-0.9069655 41.6609331),Mercadona,supermarket,,,,,,Avenida de la Autonomía,,50003.0,Mercadona,,,-0.9069655,41.6609331,-100963,4637695,mercadona,-1
POINT (-0.8909493 41.6679743),"Sanz Peruga, María Pilar",,pharmacy,,pharmacy,,,Calle Clara Campoamor,7,50018.0,,,,-0.8909493,41.6679743,-99180,4638479,"sanz peruga, maría pilar",-1
POINT (-0.8737866 41.652125),Taberna Urbana,,pub,,,,,,,,,,,-0.8737866,41.652125,-97270,4636715,taberna urbana,-1
POINT (-0.9015141 41.66247),Ríos Mitchell Bermejo De Torres Solanot,,pharmacy,,pharmacy,,,Calle de Bonn,10,50003.0,,,,-0.9015141,41.66247,-100357,4637866,ríos mitchell bermejo de torres solanot,107
POINT (-0.8996528 41.6613584),Alcampo,supermarket,,,,,,,,,Alcampo,,,-0.8996528,41.6613584,-100149,4637742,alcampo,107
POINT (-0.8942389 41.6318444),,,,viewpoint,,,,,,,,,,-0.8942389,41.6318444,-99547,4634457,,84
POINT (-0.9056599 41.6396189),BonÀrea,supermarket,,,,,,Calle de los Condes de Aragón,12,50009.0,BonÀrea,,,-0.9056599,41.6396189,-100818,4635322,bonàrea,-1
POINT (-0.9068976 41.6388654),Eroski,supermarket,,,,,,,,,Eroski,,,-0.9068976,41.6388654,-100956,4635238,eroski,-1
POINT (-0.9064232 41.6382058),Banco Sabadell,,bank,,,,,,,,Banco Sabadell,Sabadell,,-0.9064232,41.6382058,-100903,4635165,banco sabadell,127
POINT (-0.9078461 41.6391895),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.9078461,41.6391895,-101061,4635275,ibercaja,-1
POINT (-0.9080181 41.6393821),"Hernández Vitoria, Luis",,pharmacy,,pharmacy,,,Avenida de Juan Carlos I,41-43,50009.0,,,,-0.9080181,41.6393821,-101081,4635296,"hernández vitoria, luis",130
POINT (-0.9060872 41.6426228),40/15,,cafe,,,,,,,,,,,-0.9060872,41.6426228,-100866,4635657,40/15,-1
POINT (-0.8881719 41.6427539),Bonaparte,,restaurant,,,,,Avenida Francisco de Goya,17,,,,,-0.8881719,41.6427539,-98871,4635671,bonaparte,294
POINT (-0.8891362 41.6458892),Alafa,hairdresser,,,,,,,,,,,,-0.8891362,41.6458892,-98979,4636020,alafa,274
POINT (-0.8969864 41.6407392),El Tuno,,restaurant,,,,,,,,,,,-0.8969864,41.6407392,-99853,4635447,el tuno,-1
POINT (-0.871244 41.6360964),Colegio Publico Calixto Ariño,,school,,,,,Calle de José Galiay,2,,,,,-0.871244,41.6360964,-96987,4634930,colegio publico calixto ariño,102
POINT (-0.8704525 41.6367448),La Salle Montemolín,,school,,,,,,,,,La Salle,,-0.8704525,41.6367448,-96899,4635002,la salle montemolín,102
POINT (-0.8887719 41.656743),San Blas 97,,cafe,,,,,,,,,,,-0.8887719,41.656743,-98938,4637229,san blas 97,-1
POINT (-0.8905462 41.6579474),,,taxi,,,,,,,,,,,-0.8905462,41.6579474,-99136,4637363,,-1
POINT (-0.891647 41.6579696),Alcampo,supermarket,,,,,,,,,Alcampo,,,-0.891647,41.6579696,-99258,4637365,alcampo,-1
POINT (-0.8903953 41.65808),Bar Mateo,,cafe,,,,,,,,,,,-0.8903953,41.65808,-99119,4637377,bar mateo,-1
POINT (-0.907944 41.6555026),,,taxi,,,,,,,,,,,-0.907944,41.6555026,-101072,4637091,,-1
POINT (-0.9191085 41.6504352),McDonald's,,fast_food,,,,,Vía Hispanidad,87-89,50017.0,McDonald's,,burger,-0.9191085,41.6504352,-102315,4636526,mcdonald's,-1
POINT (-0.9019593 41.6397303),J85,,pub,,,,,,,,,,,-0.9019593,41.6397303,-100406,4635335,j85,112
POINT (-0.9018827 41.6399035),Basic-Fit,,,,,,fitness_centre,,,,Basic-Fit,,,-0.9018827,41.6399035,-100398,4635354,basic-fit,112
POINT (-0.902852 41.6392027),Centro de Salud la Romareda,,clinic,,,,,,,,,,,-0.902852,41.6392027,-100505,4635276,centro de salud la romareda,-1
POINT (-0.8972605 41.6387598),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.8972605,41.6387598,-99883,4635227,bbva,-1
POINT (-0.8983307 41.6495529),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.8983307,41.6495529,-100002,4636428,mercadona,232
POINT (-0.8991039 41.649696),,,bank,,,,,,,,,CAI,,-0.8991039,41.649696,-100088,4636444,,231
POINT (-0.8994625 41.6493221),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8994625,41.6493221,-100128,4636403,ibercaja,-1
POINT (-0.8984491 41.6490696),Laboral kutxa,,bank,,,,,,,,,Caja Laboral,,-0.8984491,41.6490696,-100015,4636374,laboral kutxa,-1
POINT (-0.8711056 41.6597125),Estación Norte,,,hostel,,,,,,,,,,-0.8711056,41.6597125,-96971,4637559,estación norte,90
POINT (-0.8713128 41.6591837),Cumbre,,,hostel,,,,,,,,,,-0.8713128,41.6591837,-96995,4637500,cumbre,90
POINT (-0.8740899 41.6589599),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.8740899,41.6589599,-97304,4637475,mercadona,93
POINT (-0.8999949 41.6375949),Simply Market,supermarket,,,,,,,,,Simply Market,,,-0.8999949,41.6375949,-100187,4635097,simply market,121
POINT (-0.8875618 41.6498736),Puerta del Carmen,,,attraction,,,,,,,,,,-0.8875618,41.6498736,-98803,4636464,puerta del carmen,-1
POINT (-0.8743043 41.6374519),Alcampo,supermarket,,,,,,,,,Alcampo,,,-0.8743043,41.6374519,-97328,4635081,alcampo,-1
POINT (-0.8939812 41.6406116),Telepizza,,fast_food,,,,,Plaza de San Francisco,5,,Telepizza,,pizza,-0.8939812,41.6406116,-99518,4635433,telepizza,-1
POINT (-0.8957269 41.6417627),C. Cardenal Xavierre,,,guest_house,,,,Plaza de San Francisco,15,50006.0,,,,-0.8957269,41.6417627,-99712,4635561,c. cardenal xavierre,-1
POINT (-0.8941793 41.6413498),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8941793,41.6413498,-99540,4635515,ibercaja,-1
POINT (-0.8867816 41.6400595),Ibercaja,,bank,,,,,,,,Ibercaja,,,-0.8867816,41.6400595,-98717,4635371,ibercaja,-1
POINT (-0.8806731 41.6392182),Casamayor Lalana Ruiz Álvarez,,pharmacy,,pharmacy,,,Avenida del Tenor Fleta,50,50007.0,,,,-0.8806731,41.6392182,-98037,4635278,casamayor lalana ruiz álvarez,204
POINT (-0.8752161 41.6386997),Ibercaja,,bank,,,,,,,,Ibercaja,,,-0.8752161,41.6386997,-97429,4635220,ibercaja,200
POINT (-0.8935525 41.6783342),Bar Xirgu,,cafe,,,,,,,,,,,-0.8935525,41.6783342,-99470,4639632,bar xirgu,-1
POINT (-0.8736559 41.6455145),PCBox,computer,,,,,,,,50008.0,,,,-0.8736559,41.6455145,-97255,4635979,pcbox,185
POINT (-0.8743308 41.6373334),"González Vadillo, María Concepción",,pharmacy,,pharmacy,,,Camino del Puente Virrey,45,50008.0,,,,-0.8743308,41.6373334,-97331,4635068,"gonzález vadillo, maría concepción",-1
POINT (-0.8751935 41.6349309),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8751935,41.6349309,-97427,4634801,ibercaja,-1
POINT (-0.8754351 41.6385336),"Torrijo Rodríguez, Mercedes",,pharmacy,,pharmacy,,,Avenida de San José,117-119,50013.0,,,,-0.8754351,41.6385336,-97453,4635202,"torrijo rodríguez, mercedes",200
POINT (-0.8778317 41.6366593),Primaprix,supermarket,,,,,,,,,Primaprix,,,-0.8778317,41.6366593,-97720,4634993,primaprix,-1
POINT (-0.877931 41.6362526),Plaza,,cafe,,,,,,,,,,,-0.877931,41.6362526,-97731,4634948,plaza,-1
POINT (-0.8774764 41.6349759),Dia,supermarket,,,,,,,,,Dia,,,-0.8774764,41.6349759,-97681,4634806,dia,-1
POINT (-0.8782101 41.6342723),Ibercaja,,bank,,,,,,,,Ibercaja,Ibercaja,,-0.8782101,41.6342723,-97762,4634727,ibercaja,-1
POINT (-0.8803652 41.6331261),"Senante Lop, María Isabel",,pharmacy,,pharmacy,,,Plaza Canal Imperial,1,50007.0,,,,-0.8803652,41.6331261,-98002,4634600,"senante lop, maría isabel",120
POINT (-0.881182 41.6343979),Clínica Veterinaria San Fernando,,veterinary,,,,,,,,,,,-0.881182,41.6343979,-98093,4634741,clínica veterinaria san fernando,-1
POINT (-0.8795775 41.6352789),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8795775,41.6352789,-97915,4634839,ibercaja,207
POINT (-0.8788715 41.6348354),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.8788715,41.6348354,-97836,4634790,bbva,206
POINT (-0.8836463 41.6644662),,,post_box,,,,,,,,Correos,Correos,,-0.8836463,41.6644662,-98368,4638088,,53
POINT (-0.8793133 41.6606945),Cafetería Macanaz,,cafe,,,,,,,,,,,-0.8793133,41.6606945,-97885,4637669,cafetería macanaz,-1
POINT (-0.8780315 41.6610583),La Plaza de DIA,supermarket,,,,,,,,,La Plaza de DIA,,,-0.8780315,41.6610583,-97742,4637709,la plaza de dia,-1
POINT (-0.8966548 41.6450495),El Emir,,cafe,,,,,,,,,,,-0.8966548,41.6450495,-99816,4635927,el emir,267
POINT (-0.8812922 41.6399523),Aulazenter,,school,,,,,Avenida de Tenor Fleta,51,50008.0,,,,-0.8812922,41.6399523,-98105,4635359,aulazenter,-1
POINT (-0.8917083 41.6410021),,,post_box,,,,,,,,Correos,Correos,,-0.8917083,41.6410021,-99265,4635476,,309
POINT (-0.8998548 41.6448734),"Alfonso Alfonso, Marciano",,pharmacy,,,,,Calle de Corona de Aragon,53,50009.0,,,,-0.8998548,41.6448734,-100172,4635907,"alfonso alfonso, marciano",-1
POINT (-0.9001695 41.645128),Café Bar Montesol,,cafe,,,,,,,,,,,-0.9001695,41.645128,-100207,4635936,café bar montesol,-1
POINT (-0.8907511 41.641049),"Clavería Muniesa, Manuel",,pharmacy,,pharmacy,,,Calle San Juan de la Cruz,23,50006.0,,,,-0.8907511,41.641049,-99158,4635482,"clavería muniesa, manuel",245
POINT (-0.881433 41.6570086),La Imperial,,cafe,,,,,,,,,,,-0.881433,41.6570086,-98121,4637258,la imperial,-1
POINT (-0.8949492 41.6466733),Fitness Park,,,,,,fitness_centre,,,,,,,-0.8949492,41.6466733,-99626,4636108,fitness park,241
POINT (-0.8730132 41.642124),"Díez Villarroel, María Luisa",,pharmacy,,pharmacy,,,Avenida de San José,61,50013.0,,,,-0.8730132,41.642124,-97184,4635601,"díez villarroel, maría luisa",191
POINT (-0.8717478 41.6436042),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.8717478,41.6436042,-97043,4635766,mercadona,178
POINT (-0.8713224 41.6430381),"Bujanda Díaz De Cerio, María Ángeles",,pharmacy,,pharmacy,,,Calle Santuario de Cabañas,5,50013.0,,,,-0.8713224,41.6430381,-96996,4635703,"bujanda díaz de cerio, maría ángeles",-1
POINT (-0.8703791 41.6415524),Francisco,hairdresser,,,,,,,,,,,,-0.8703791,41.6415524,-96891,4635538,francisco,178
POINT (-0.8649725 41.63788),"Izuzquiza Montaner, Ana Rosa",,pharmacy,,pharmacy,,,Calle Principado de Morea,4,50013.0,,,,-0.8649725,41.63788,-96289,4635129,"izuzquiza montaner, ana rosa",-1
POINT (-0.8639556 41.6385325),Colegio Bajo Aragón,,school,,,,,,,,,,,-0.8639556,41.6385325,-96176,4635201,colegio bajo aragón,-1
POINT (-0.867373 41.6409578),McDonald's,,fast_food,,,,,Plaza de Utrillas,6,,McDonald's,,burger,-0.867373,41.6409578,-96556,4635471,mcdonald's,178
POINT (-0.8724829 41.644676),"Gallego Richard, María Carmen",,pharmacy,,pharmacy,,,Avenida de San José,21,50013.0,,,,-0.8724829,41.644676,-97125,4635885,"gallego richard, maría carmen",-1
POINT (-0.8737622 41.6454832),"Checa Poves, María Asunción",,pharmacy,,pharmacy,,,Calle Reina Fabiola,17,50008.0,,,,-0.8737622,41.6454832,-97267,4635975,"checa poves, maría asunción",185
POINT (-0.8796447 41.6552598),Burguer Paco,,fast_food,,,,,,,,,,burger,-0.8796447,41.6552598,-97922,4637064,burguer paco,-1
POINT (-0.8743648 41.6526014),El Fuelle,,restaurant,,,,,Calle Mayor,59,,,,,-0.8743648,41.6526014,-97334,4636768,el fuelle,283
POINT (-0.8785162 41.6537341),Taberna D'aragón,,cafe,,,,,Plaza Ariño,1,,,,,-0.8785162,41.6537341,-97796,4636894,taberna d'aragón,303
POINT (-0.8949199 41.6419671),Loch Ness,,bar,,,,,,,,,,,-0.8949199,41.6419671,-99622,4635584,loch ness,227
POINT (-0.8903267 41.6705747),Cinesa,,cinema,,,,,,,,Cinesa,,,-0.8903267,41.6705747,-99111,4638768,cinesa,-1
POINT (-0.8827113 41.6509574),Palafox,,cinema,,,,,Paseo de la Independencia,12,,,Zarafilms S.A.,,-0.8827113,41.6509574,-98263,4636585,palafox,249
POINT (-0.8853346 41.6503607),Sala Cervantes,,cinema,,,,,,,,,,,-0.8853346,41.6503607,-98555,4636518,sala cervantes,249
POINT (-0.8900469 41.6722999),Hipercor,supermarket,,,,,,Calle de María Zambrano,35,50015.0,Hipercor,,,-0.8900469,41.6722999,-99080,4638960,hipercor,-1
POINT (-0.8943048 41.6567455),Teatro de la Estación,,theatre,,,,,,,,,,,-0.8943048,41.6567455,-99554,4637229,teatro de la estación,154
POINT (-0.9100631 41.6676183),Nuevo Teatro Arbolé,,theatre,,,,,,,,,,,-0.9100631,41.6676183,-101308,4638439,nuevo teatro arbolé,-1
POINT (-0.8779671 41.6538909),Dekasa,houseware,,,,,,,,,,,,-0.8779671,41.6538909,-97735,4636911,dekasa,303
POINT (-0.8781081 41.6530468),Dia,supermarket,,,,,,,,,Dia,,,-0.8781081,41.6530468,-97751,4636817,dia,303
POINT (-0.8779822 41.652869),Ibercaja,,bank,,,,,,,,Ibercaja,IberCaja,,-0.8779822,41.652869,-97737,4636797,ibercaja,-1
POINT (-0.8788064 41.652238),Il Principale,,restaurant,,,,,Calle Verónica,1,50001.0,,,italian,-0.8788064,41.652238,-97829,4636727,il principale,-1
POINT (-0.8864228 41.627404),Casa de la Memoria Histórica Democrática de Zaragoza,,community_centre,,,,,,,,,,,-0.8864228,41.627404,-98677,4633963,casa de la memoria histórica democrática de zaragoza,-1
POINT (-0.8762789 41.6468021),Dfabula,,cafe,,,,,,,,,,,-0.8762789,41.6468021,-97547,4636122,dfabula,-1
POINT (-0.8758895 41.6457827),Tesorería General de la Seguridad Social (Dirección Provincial),,,,,government,,,,,,,,-0.8758895,41.6457827,-97504,4636009,tesorería general de la seguridad social (dirección provincial),179
POINT (-0.8766533 41.6454729),Hotel Boston,,,hotel,,,,Camino de las Torres,28,,,,,-0.8766533,41.6454729,-97589,4635974,hotel boston,-1
POINT (-0.8772657 41.6491198),Dia,supermarket,,,,,,,,,Dia,,,-0.8772657,41.6491198,-97657,4636380,dia,-1
POINT (-0.8709502 41.6510618),Biblioteca Pública María Moliner,,library,,,,,,,,,,,-0.8709502,41.6510618,-96954,4636596,biblioteca pública maría moliner,111
POINT (-0.9204841 41.6490961),AC Hotel Los Enlaces by Marriot,,,hotel,,,,Calle Pilar Miró,1,,,,,-0.9204841,41.6490961,-102468,4636377,ac hotel los enlaces by marriot,99
POINT (-0.8784594 41.6324966),"Prieto Alvarez, Fernando",,pharmacy,,pharmacy,,,Calle de Santa Gema,53,50007.0,,,,-0.8784594,41.6324966,-97790,4634530,"prieto alvarez, fernando",120
POINT (-0.8760041 41.6325937),Martín Martín,convenience,,,,,,,,,Martín Martín,,,-0.8760041,41.6325937,-97517,4634540,martín martín,141
POINT (-0.8839496 41.6376003),"Gil Marchite, Ignacio",,pharmacy,,pharmacy,,,Calle de Don Luis Sallenave,13,50007.0,,,,-0.8839496,41.6376003,-98401,4635098,"gil marchite, ignacio",-1
POINT (-0.9209573 41.6488432),"García Solans, José Ramón",,pharmacy,,pharmacy,,,Calle de Mosén Jose Bosqued,4,50011.0,,,,-0.9209573,41.6488432,-102521,4636349,"garcía solans, josé ramón",99
POINT (-0.9071173 41.6296671),"Velasco Montes, Susana",,pharmacy,,pharmacy,,,Vía Ibérica,12,50009.0,,,,-0.9071173,41.6296671,-100980,4634215,"velasco montes, susana",45
POINT (-0.909122 41.630344),"Mayo Orofino, Silvia",,pharmacy,,pharmacy,,,Calle del Embarcadero,32,50009.0,,,,-0.909122,41.630344,-101203,4634290,"mayo orofino, silvia",45
POINT (-0.9114576 41.6323172),"Domínguez Quiroga, Joaquín",,pharmacy,,pharmacy,,,Calle del Viñedo Viejo,2,50009.0,,,,-0.9114576,41.6323172,-101463,4634510,"domínguez quiroga, joaquín",-1
POINT (-0.9040566 41.6348244),"Muñagorri Arregui, María Isabel",,pharmacy,,pharmacy,,,Calle de Juan II de Aragón,5,50009.0,,,,-0.9040566,41.6348244,-100640,4634789,"muñagorri arregui, maría isabel",-1
POINT (-0.9015117 41.6486652),Colegio Mayor Josefa Segovia,,,guest_house,,,,Calle de Duquesa Villahermosa,,,,,,-0.9015117,41.6486652,-100356,4636329,colegio mayor josefa segovia,139
POINT (-0.8984813 41.6463752),,,post_box,,,,,,,,Correos,Correos,,-0.8984813,41.6463752,-100019,4636074,,-1
POINT (-0.8988717 41.6489046),Los Navarros,,pub,,,,,,,,,,,-0.8988717,41.6489046,-100062,4636356,los navarros,-1
POINT (-0.8989822 41.6485578),Café Berlanga,,cafe,,,,,,,,,,,-0.8989822,41.6485578,-100075,4636317,café berlanga,-1
POINT (-0.9010684 41.6469765),Bar Mana,,pub,,,,,,,,,,,-0.9010684,41.6469765,-100307,4636141,bar mana,-1
POINT (-0.8998345 41.6481744),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.8998345,41.6481744,-100170,4636275,bbva,188
POINT (-0.9165323 41.6508024),Domino's,,fast_food,,,,,Pilar Miró,1,,Domino's,,pizza,-0.9165323,41.6508024,-102028,4636567,domino's,-1
POINT (-0.9317052 41.6286356),Eroski,supermarket,,,,,,,,,Eroski,,,-0.9317052,41.6286356,-103717,4634100,eroski,37
POINT (-0.9149715 41.6136289),La Junquera,,restaurant,,,,,Camino de la Fuente de la Junquera,120,,,,,-0.9149715,41.6136289,-101855,4632429,la junquera,-1
POINT (-0.9139853 41.6151155),Neguri,,restaurant,,,,,,,,,,,-0.9139853,41.6151155,-101745,4632595,neguri,-1
POINT (-0.9000104 41.6506244),"Villacampa Cubelos, Angel Jose",,pharmacy,,pharmacy,,,Camino de La Mosquetera,56,50010.0,,,,-0.9000104,41.6506244,-100189,4636548,"villacampa cubelos, angel jose",113
POINT (-0.8997284 41.653689),Nick Havanna,,pub,,,,,,,,,,,-0.8997284,41.653689,-100158,4636889,nick havanna,-1
POINT (-0.9022746 41.6538593),BBVA,,bank,,,,,,,,BBVA,BBVA,,-0.9022746,41.6538593,-100441,4636908,bbva,143
POINT (-0.9027529 41.6537437),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-0.9027529,41.6537437,-100494,4636895,banco santander,143
POINT (-0.8758515 41.6528577),El Plato Reverde,,restaurant,,,,,,,,,,,-0.8758515,41.6528577,-97500,4636796,el plato reverde,-1
POINT (-0.8832827 41.651996),El Calamar Bravo,,fast_food,,,,,,,,,,squid,-0.8832827,41.651996,-98327,4636700,el calamar bravo,248
POINT (-0.9224605 41.6595205),Carrefour,supermarket,,,,,,,,,Carrefour,,,-0.9224605,41.6595205,-102688,4637538,carrefour,66
POINT (-0.9081194 41.6318373),"Sancho Garralaga, Hortensia",,pharmacy,,pharmacy,,,Calle de La Via,32-34,50009.0,,,,-0.9081194,41.6318373,-101092,4634456,"sancho garralaga, hortensia",45
POINT (-0.8930605 41.6504657),La Ferroviaria,,,guest_house,,,,,,,,,,-0.8930605,41.6504657,-99415,4636530,la ferroviaria,106
POINT (-0.8872801 41.6487555),One 4 One,,,,,coworking,,,,,,,,-0.8872801,41.6487555,-98772,4636339,one 4 one,216
POINT (-0.8918932 41.645937),Marina Hernando Lleyda,,pharmacy,,pharmacy,,,Calle Cortes de Aragon,19,50005.0,,,,-0.8918932,41.645937,-99286,4636026,marina hernando lleyda,259
POINT (-0.8834579 41.650956),Laurel Café,,cafe,,,,,,,,,,,-0.8834579,41.650956,-98347,4636584,laurel café,249
POINT (-0.9454243 41.6344378),Mercadona,supermarket,,,,,,,,,Mercadona,,,-0.9454243,41.6344378,-105245,4634746,mercadona,17
POINT (-0.8969212 41.6501297),Avellan Sarrais Sancho Avellan,,pharmacy,,pharmacy,,,Urbanizacion Parque de Roma,,50010.0,,,,-0.8969212,41.6501297,-99845,4636492,avellan sarrais sancho avellan,-1
POINT (-0.8948076 41.650016),Nuevo Hotel Orús,,,hotel,,,,Escoriaza y Fabro,45,50010.0,,,,-0.8948076,41.650016,-99610,4636480,nuevo hotel orús,-1
POINT (-0.8990074 41.6499689),"Rovira Burgues, Joaquín",,pharmacy,,,,,Calle de Vicente Berdusán,44,50010.0,,,,-0.8990074,41.6499689,-100078,4636475,"rovira burgues, joaquín",231
POINT (-0.8975728 41.6524676),Fundación Atención Temprana,,,,psychotherapist,,,,,,,,,-0.8975728,41.6524676,-99918,4636753,fundación atención temprana,-1
POINT (-0.8977124 41.6522212),,,bank,,,,,,,,,Banco de Valencia,,-0.8977124,41.6522212,-99933,4636725,,-1
POINT (-0.9036739 41.6506369),Farmacia Morte,,pharmacy,,,,,Calle Antonio Sangenis,,50010.0,,,,-0.9036739,41.6506369,-100597,4636549,farmacia morte,-1
POINT (-0.9049129 41.6517505),"Beamonte Rico, Luis",,pharmacy,,pharmacy,,,Calle de Don Pedro de Luna,26,50010.0,,,,-0.9049129,41.6517505,-100735,4636673,"beamonte rico, luis",-1
POINT (-0.9054375 41.6514292),Simply Market,supermarket,,,,,,,,,Simply Market,,,-0.9054375,41.6514292,-100793,4636637,simply market,-1
POINT (-0.9052745 41.6511453),"Rovira Blanes, Ramón",,pharmacy,,pharmacy,,,Calle de las Delicias,30,50010.0,,,,-0.9052745,41.6511453,-100775,4636605,"rovira blanes, ramón",-1
POINT (-0.9044011 41.6493758),,,post_box,,,,,,,,Correos,Correos,,-0.9044011,41.6493758,-100678,4636409,,-1
POINT (-0.9047507 41.6500837),Banco Santander,,bank,,,,,,,,Banco Santander,Santander,,-0.9047507,41.6500837,-100717,4636487,banco santander,-1
POINT (-0.8936002 41.6337903),,,,viewpoint,,,,,,,,,,-0.8936002,41.6337903,-99476,4634674,,-1
POINT (-0.8938249 41.634861),Roto,,restaurant,,,,,,,,,,,-0.8938249,41.634861,-99501,4634793,roto,-1
POINT (-0.9075179 41.6428559),Ibercaja,,bank,,,,,,,,Ibercaja,Ibercaja,,-0.9075179,41.6428559,-101025,4635683,ibercaja,118
POINT (-0.9857912 41.6335911),,,taxi,,,,,,,,,,,-0.9857912,41.6335911,-109738,4634651,,11
POINT (-0.895063 41.641708),Beerland,,restaurant,,,,,Plaza de San Francisco,17,50006.0,,,,-0.895063,41.641708,-99638,4635555,beerland,227
POINT (-0.8975786 41.6297676),Asador Las Ocas,,restaurant,,,,,Parque Jose Antonio Labordeta,,,,,regional,-0.8975786,41.6297676,-99918,4634226,asador las ocas,-1
POINT (-0.890421 41.6454623),Hotel Gran Vía,,,hotel,,,,Gran Vía de Santiago Ramón y Cajal,38,,,,,-0.890421,41.6454623,-99122,4635973,hotel gran vía,269
POINT (-0.8742332 41.6586331),B&B Hotel Zaragoza Centro,,,hotel,,,,,,,Ibis,,,-0.8742332,41.6586331,-97320,4637439,b&b hotel zaragoza centro,93
POINT (-0.8825809 41.6533889),Hotel Oriente,,,hotel,,,,Calle del Coso,11-13,,,,,-0.8825809,41.6533889,-98249,4636855,hotel oriente,-1
POINT (-0.8826047 41.6515875),Hotel Goya,,,hotel,,,,Calle Cinco de Marzo,5,50004.0,,,,-0.8826047,41.6515875,-98252,4636655,hotel goya,-1
POINT (-0.8854799 41.6506314),Hotel Palafox,,,hotel,,,,Calle Marqués de Casa Jiménez,,,,,,-0.8854799,41.6506314,-98572,4636548,hotel palafox,249
POINT (-0.9085528 41.638985),Hotel Reina Petronila,,,hotel,,,,Avenida Ramón Sáinz de Varanda,2,50009.0,,,,-0.9085528,41.638985,-101140,4635252,hotel reina petronila,130
POINT (-0.8788394 41.6513466),Reino de Aragón,,,hotel,,,,Calle del Coso,80,50001.0,Silken Hotels,,,-0.8788394,41.6513466,-97832,4636628,reino de aragón,-1
POINT (-0.8947225 41.6310336),,,,viewpoint,,,,,,,,,,-0.8947225,41.6310336,-99601,4634367,,-1
POINT (-0.8918538 41.642137),Vinos Rubio,,bar,,,,,,,50006.0,,,,-0.8918538,41.642137,-99281,4635603,vinos rubio,310
POINT (-0.8940193 41.6322719),,,,viewpoint,,,,,,,,,,-0.8940193,41.6322719,-99522,4634505,,84
POINT (-0.8943806 41.6456312),Guardería Monigotes,,school,,,,,,,,,,,-0.8943806,41.6456312,-99562,4635992,guardería monigotes,-1
POINT (-0.8891322 41.6430199),Machín Almarcegui - Marsal Machín,,pharmacy,,pharmacy,,,Avenida de Goya,23,50006.0,,,,-0.8891322,41.6430199,-98978,4635701,machín almarcegui - marsal machín,295
POINT (-0.8882661 41.6438015),Mercadona,supermarket,,,,,,Calle del Arzobispo Domenech,,,Mercadona,Mercadona,,-0.8882661,41.6438015,-98882,4635788,mercadona,294
POINT (-0.9011641 41.6401679),Centro de Salud Fernando el Católico,,clinic,,clinic,,,,,,,,,-0.9011641,41.6401679,-100318,4635383,centro de salud fernando el católico,112
POINT (-0.8707247 41.6530304),Centro de Salud,,clinic,,,,,,,,,,,-0.8707247,41.6530304,-96929,4636815,centro de salud,-1
POINT (-0.8629682 41.6904222),Centro de Salud San Gregorio,,clinic,,,,,,,,,,,-0.8629682,41.6904222,-96066,4640978,centro de salud san gregorio,23
POINT (-0.8718896 41.6678384),Centro de Salud Picarral,,clinic,,clinic,,,,,,,,,-0.8718896,41.6678384,-97059,4638464,centro de salud picarral,61
POINT (-0.8948964 41.6442005),Ibercaja,,bank,,,,,,,,Ibercaja,Ibercaja,,-0.8948964,41.6442005,-99620,4635832,ibercaja,-1
POINT (-0.8918768 41.6445697),Ibercaja,,bank,,,,,,,,Ibercaja,,,-0.8918768,41.6445697,-99284,4635873,ibercaja,262
POINT (-0.894436 41.6433409),Taberna la piedra,,restaurant,,,,,Calle Cortes de Aragón,64,,,,,-0.894436,41.6433409,-99569,4635737,taberna la piedra,-1
POINT (-0.8954939 41.6445241),Domino's,,fast_food,,,,,Calle de San Antonio María Claret,40-42,,Domino's,,pizza,-0.8954939,41.6445241,-99686,4635868,domino's,267
POINT (-0.8945215 41.6417025),Café Universal,,cafe,,,,,Paseo de Fernando El Católico,32,,,,,-0.8945215,41.6417025,-99578,4635554,café universal,227
POINT (-0.895268 41.6444244),La PaPa Arrugá,,restaurant,,,,,,,,,,,-0.895268,41.6444244,-99661,4635857,la papa arrugá,267
