param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_bakery,shop_rel_hairdresser,shop_rel_greengrocer,shop_rel_convenience,shop_rel_hardware,shop_rel_supermarket,shop_rel_butcher,shop_rel_bicycle,shop_rel_kiosk,shop_rel_travel_agency,shop_rel_florist,shop_rel_alcohol,shop_rel_seafood,shop_rel_computer,shop_rel_optician,shop_rel_jewelry,shop_rel_laundry,amenity_rel_pub,amenity_rel_bar,amenity_rel_restaurant,amenity_rel_bank,amenity_rel_post_box,amenity_rel_cafe,amenity_rel_pharmacy,amenity_rel_school,amenity_rel_community_centre,amenity_rel_fast_food,amenity_rel_dentist,amenity_rel_post_office,amenity_rel_veterinary,amenity_rel_library,amenity_rel_clinic,shop_rel_tobacco,shop_rel_repair,amenity_rel_theatre,amenity_rel_arts_centre,shop_rel_clothes,amenity_rel_college,amenity_rel_university,shop_rel_car_repair,shop_rel_beauty,shop_rel_storage_rental,amenity_rel_charging_station,amenity_rel_taxi,shop_rel_car,shop_rel_pet,shop_rel_variety_store,shop_rel_curtain,shop_rel_furniture,shop_rel_kitchen,amenity_rel_atm,shop_rel_interior_decoration,shop_rel_motorcycle,shop_rel_motorcycle_repair,shop_rel_yes,shop_rel_medical_supply,shop_rel_carpet,shop_rel_lighting,shop_rel_fabric,shop_rel_confectionery,shop_rel_newsagent,shop_rel_copyshop,shop_rel_video,amenity_rel_car_rental,shop_rel_sports,amenity_rel_hospital,shop_rel_video_games,shop_rel_massage,shop_rel_electronics,shop_rel_books,shop_rel_herbalist,amenity_rel_language_school,shop_rel_hearing_aids,shop_rel_farm,shop_rel_lottery,shop_rel_tyres,shop_rel_sewing,amenity_rel_doctors,shop_rel_shoes,shop_rel_cosmetics,shop_rel_mobile_phone,shop_rel_printer_ink,amenity_rel_biergarten,shop_rel_nutrition_supplements,shop_rel_locksmith,shop_rel_pawnbroker,shop_rel_erotic,shop_rel_mall,shop_rel_chemist,shop_rel_gift,shop_rel_ice_cream,shop_rel_wine,shop_rel_houseware,shop_rel_estate_agent,shop_rel_photo,shop_rel_hifi,shop_rel_frame,shop_rel_bathroom_furnishing,shop_rel_health_food,shop_rel_stationery,shop_rel_baby_goods,shop_rel_vacant,shop_rel_toys,shop_rel_tattoo,shop_rel_appliance,amenity_rel_parcel_locker,shop_rel_deli,shop_rel_paint,shop_rel_music,shop_rel_pastry,shop_rel_outdoor,shop_rel_second_hand,shop_rel_bag,shop_rel_craft,shop_rel_fashion_accessories,shop_rel_garden_centre,shop_rel_bed,shop_rel_tea,shop_rel_art,shop_rel_party,shop_rel_model,shop_rel_catalogue,shop_rel_wool,shop_rel_department_store,shop_rel_wigs,shop_rel_dry_cleaning,shop_rel_bookmaker,shop_rel_leather,shop_rel_skate,shop_rel_musical_instrument,shop_rel_cheese,shop_rel_antiques,shop_rel_esoteric,amenity_rel_ice_cream,shop_rel_pet_grooming,shop_rel_collector,shop_rel_tiles,amenity_rel_money_transfer,shop_rel_funeral_directors,shop_rel_tailor,shop_rel_perfumery,shop_rel_charity,shop_rel_printing,amenity_rel_bureau_de_change,shop_rel_spy,shop_rel_rental,shop_rel_hairdresser_supply,amenity_rel_bicycle_rental,shop_rel_food,shop_rel_shoe_repair,shop_rel_russian,shop_rel_car_parts
Bilbao_hdbscan_5_5,10,9,-2.9037006329230195,43.248919571018746,-2.9035497,43.2485853,9.282431379904927e-06,969573.5558555975,0.0012202102198370143,0.0019291827157429824,0.0007510754212005791,0.0010816646118976966,Yes,,,,,,0.111,,,,,,,,,,,,,,,,,,0.111,,,0.111,,,,,,,,,,,,,,,0.111,0.222,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,11,10,-2.92248589,43.25071348,-2.92242185,43.2507686,2.0825999999979516e-06,4801690.194953345,0.0005492860628624533,0.0010761175244809538,0.0004645495440746922,0.0004237110897765927,Yes,,0.2,,0.1,,,,,,,,,,,,,,0.2,,,,,0.1,0.1,,,,,,,,,,,,,,,,0.1,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,12,13,-2.959115507490949,43.28062289552976,-2.9592692,43.2806881,3.2911243199936666e-06,3950017.907565709,0.000779561245523133,0.0014657054874153712,0.0004701672129203143,0.0007248045162542874,Yes,,,,,,,0.077,,,,,,,,,,,,0.231,,,0.077,,,,,,,,,,,,,,,,,,0.231,,,,,,,0.077,0.077,0.077,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,13,6,-2.9375207397149716,43.27093458527499,-2.93745375,43.2709679,1.6168264114053577e-06,3710973.520518356,0.0005325093083606514,0.0013002994610726761,0.0006806271196403939,0.0002406879100618149,No,,,,,,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,14,7,-2.9583709714285717,43.274193471428575,-2.9584185,43.2742221,3.5964683999892384e-07,19463538.175452746,0.000209695841986221,0.0006258087705895856,0.0002971351290203482,9.914777879906391e-05,Yes,0.143,,,0.143,,0.143,,,,0.143,,,,,,,,,,,,,0.286,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,15,13,-2.9568614166550047,43.2753736500633,-2.9567878,43.275320150822914,8.288431199997824e-07,15684512.166793896,0.0004011408661106234,0.0007153305117924598,0.00022306961346454606,0.0003770969301987964,Yes,0.077,0.154,,,,,,,0.077,,,,,,,,,0.077,0.077,0.077,,,0.385,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,16,14,-2.9573370785714284,43.27660398571428,-2.95729915,43.2766521,1.7660112000039767e-06,7927469.542644166,0.0007067028591171326,0.0011845349892082792,0.0007398178242731878,0.00021913276750856457,Yes,0.071,0.071,,,,0.071,,,,,,,,,,,,0.071,,0.214,0.143,,0.286,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,17,5,-2.947035356882311,43.27433516379124,-2.947036,43.2745288,1.1385689087233944e-06,4391477.724089784,0.0005344457794171522,0.0008567321987746552,0.0003343039415132786,0.000464166642282799,No,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,18,8,-2.9618736875000002,43.276421524999996,-2.9619658,43.2764728,5.242962399966145e-07,15258549.250804579,0.00034114574789298046,0.0005995801037207576,0.00028308267978412454,0.00022378308554107257,Yes,,,0.125,0.25,,0.125,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilbao_hdbscan_5_5,19,8,-2.96276295,43.280967525,-2.9627644,43.28096945,7.006564199971795e-07,11417864.40782517,0.0003015017159702435,0.0006440803157386735,0.00020089227834839963,0.00030100052636887004,Yes,,,0.125,,,,,,,,,,,,,,,,0.125,,0.125,,0.25,,,,,,,,0.125,,,,,,0.125,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
