geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Bilbao_hdbscan_5_5
POINT (-2.961419 43.2786031),Pampim,yes,,,,,,,,,,,,-2.961419,43.2786031,-329665,4817774,pampim,24
POINT (-2.9613966 43.2785611),Politena,,cafe,,,,,,,,,,,-2.9613966,43.2785611,-329663,4817769,politena,24
POINT (-2.9613705 43.2785121),El Rincón de la flor,florist,,,,,,,,,,,,-2.9613705,43.2785121,-329660,4817764,el rincón de la flor,24
POINT (-2.9613363 43.2784479),avenida155,,,,,estate_agent,,,,,,,,-2.9613363,43.2784479,-329656,4817757,avenida155,24
POINT (-2.9612841 43.2783499),Modas Women,clothes,,,,,,,,,,,,-2.9612841,43.2783499,-329650,4817746,modas women,24
POINT (-2.9612653 43.2783147),Cocinas Orixe,kitchen,,,,,,,,,,,,-2.9612653,43.2783147,-329648,4817742,cocinas orixe,24
POINT (-2.9612365 43.2782606),Vanaan,clothes,,,,,,,,,,,,-2.9612365,43.2782606,-329645,4817736,vanaan,24
POINT (-2.9612186 43.2782269),Agencia,travel_agency,,,,,,,,,,,,-2.9612186,43.2782269,-329643,4817732,agencia,24
POINT (-2.9614749 43.2778165),Clinica Dental,,clinic,,clinic,,,,,,,,,-2.9614749,43.2778165,-329671,4817687,clinica dental,-1
POINT (-2.9609895 43.2777945),Kutxabank,,bank,,,,,,,,Kutxabank,,,-2.9609895,43.2777945,-329617,4817684,kutxabank,25
POINT (-2.9609532 43.2776831),Kutxabank,,atm,,,,,,,,Kutxabank,Kutxabank,,-2.9609532,43.2776831,-329613,4817672,kutxabank,25
POINT (-2.9608898 43.2775661),Óptica Avenida,optician,,,,,,Avenida Lehendakari Aguirre / Agirre lehendakariaren etorbidea,,48015.0,,,,-2.9608898,43.2775661,-329606,4817659,óptica avenida,25
POINT (-2.960865 43.2775194),Tic-tac,jewelry,,,,,,Avenida Lehendakari Aguirre / Agirre lehendakariaren etorbidea,,48015.0,,,,-2.960865,43.2775194,-329603,4817653,tic-tac,25
POINT (-2.9608289 43.2774715),Retoque,fabric,,,,,,Avenida Lehendakari Aguirre / Agirre lehendakariaren etorbidea,,48015.0,,,,-2.9608289,43.2774715,-329599,4817648,retoque,25
POINT (-2.9607923 43.2774165),Golosina,confectionery,,,,,,Avenida Lehendakari Aguirre / Agirre lehendakariaren etorbidea,,48015.0,,,,-2.9607923,43.2774165,-329595,4817642,golosina,25
POINT (-2.9607335 43.2772713),Cafetería Bertiz,,cafe,,,,,Avenida Lehendakari Aguirre / Agirre lehendakariaren etorbidea,145,48015.0,,,,-2.9607335,43.2772713,-329589,4817626,cafetería bertiz,25
POINT (-2.9598119 43.2773958),bar kanpion,,bar,,,,,,,,,,,-2.9598119,43.2773958,-329486,4817640,bar kanpion,26
POINT (-2.9596962 43.2771846),,,bar,,,,,,,,,,,-2.9596962,43.2771846,-329473,4817616,,26
POINT (-2.959661 43.2771533),,,bar,,,,,,,,,,,-2.959661,43.2771533,-329469,4817613,,26
POINT (-2.9584845 43.280126),Geltoki,,bar,,,,,,,,,,,-2.9584845,43.280126,-329338,4817944,geltoki,12
POINT (-2.9592692 43.2808748),Cocinas y baños,kitchen,,,,,,,,,,,,-2.9592692,43.2808748,-329426,4818027,cocinas y baños,12
POINT (-2.9595701 43.2813935),Bar Degustación Orixe,butcher,,,,,,,,,,,,-2.9595701,43.2813935,-329459,4818085,bar degustación orixe,12
POINT (-2.9346981 43.2659607),Mac-Line,computer,,,,,,Calle Juan Ajuriaguerra / Juan Ajuriaguerra kalea,19,48009.0,,,,-2.9346981,43.2659607,-326691,4816367,mac-line,-1
POINT (-2.9113017 43.2680166),,,,viewpoint,,,,,,,,,,-2.9113017,43.2680166,-324086,4816596,,-1
POINT (-2.915583 43.2538902),Eco Laundry,laundry,,,,,,"Bolivar Elorduy Julian Kalea, 48004 Bilbao, Bizkaia, Spain",,,,,,-2.915583,43.2538902,-324563,4815023,eco laundry,63
POINT (-2.9108905 43.2478534),Eroski,supermarket,,,,,,,,,Eroski,,,-2.9108905,43.2478534,-324040,4814351,eroski,20
POINT (-2.9091093 43.2506004),Artagan 2,,bar,,,,,,,,,,,-2.9091093,43.2506004,-323842,4814657,artagan 2,-1
POINT (-2.9095826 43.2504544),BM,supermarket,,,,,,,,,BM,,,-2.9095826,43.2504544,-323895,4814641,bm,-1
POINT (-2.914515 43.251661),estanco,tobacco,,,,,,Juan de la Cosa Kalea,,,,,,-2.914515,43.251661,-324444,4814775,estanco,-1
POINT (-2.9122401 43.2501086),libreria bortoki,books,,,,,,Santa Luzía kalea,,48004.0,,,,-2.9122401,43.2501086,-324191,4814602,libreria bortoki,41
POINT (-2.9115716 43.2512439),Locutorio,copyshop,,,,,,Juan de la Cosa Kalea,,,,,,-2.9115716,43.2512439,-324116,4814728,locutorio,41
POINT (-2.9128225 43.2504917),,bakery,,,,,,Luis Luciano Bonaparte kalea,,,,,,-2.9128225,43.2504917,-324255,4814645,,41
POINT (-2.9124308 43.249403),herbolario,herbalist,,,,,,Calle Pintor Losada,,,,,,-2.9124308,43.249403,-324212,4814524,herbolario,41
POINT (-2.9142465 43.2516593),panaderia lemona,confectionery,,,,,,Juan de la Cosa Kalea,,,,,,-2.9142465,43.2516593,-324414,4814775,panaderia lemona,-1
POINT (-2.914362 43.2594537),Cafeteria Josune,,cafe,,,,,Begoñako Andra Mari kalea,47,48006.0,,,,-2.914362,43.2594537,-324427,4815642,cafeteria josune,36
POINT (-2.9119293 43.2564682),Sarima,,bar,,,,,Zumalakarregi etorbidea,52,48007.0,,,,-2.9119293,43.2564682,-324156,4815310,sarima,58
POINT (-2.9117603 43.2563022),Estanco Amann,tobacco,,,,,,,,,,,,-2.9117603,43.2563022,-324137,4815292,estanco amann,58
POINT (-2.9270815 43.2609574),Kutxabank,,atm,,,,,,,,Kutxabank,Kutxabank,,-2.9270815,43.2609574,-325843,4815810,kutxabank,93
POINT (-2.9225418 43.2578617),LimaLimón,confectionery,,,,,,,,,,,,-2.9225418,43.2578617,-325337,4815465,limalimón,81
POINT (-2.9240731 43.2569886),Eroski Viajes,,,,,travel_agent,,,,,Eroski,,,-2.9240731,43.2569886,-325508,4815368,eroski viajes,81
POINT (-2.9225059 43.2576879),Zubia,,pharmacy,,pharmacy,,,,,,,,,-2.9225059,43.2576879,-325333,4815446,zubia,81
POINT (-2.9241385 43.2570382),Halcon Bidaiak,,,,,travel_agent,,,,,,,,-2.9241385,43.2570382,-325515,4815373,halcon bidaiak,81
POINT (-2.924276 43.2571043),Piseno Plata Caricaturas,yes,,,,,,,,,,,,-2.924276,43.2571043,-325530,4815381,piseno plata caricaturas,81
POINT (-2.9362004 43.2604756),Ribs Bilbao,,restaurant,,,,,,,,,,,-2.9362004,43.2604756,-326858,4815756,ribs bilbao,-1
POINT (-2.9240993 43.2568153),Isipil,,cafe,,,,,,,,,,,-2.9240993,43.2568153,-325511,4815349,isipil,81
POINT (-2.9222804 43.2581672),Entertainment Exchange,second_hand,,,,,,,,,,,,-2.9222804,43.2581672,-325308,4815499,entertainment exchange,81
POINT (-2.9470118 43.2685167),Ciclos Deusto,bicycle,,,,,,,,,,,,-2.9470118,43.2685167,-328061,4816651,ciclos deusto,42
POINT (-2.9466711 43.2686001),Pizzería Toto,,fast_food,,,,,,,,,,pizza,-2.9466711,43.2686001,-328023,4816661,pizzería toto,42
POINT (-2.9459035 43.2688386),Centro Médico Quirón Salud,,clinic,,clinic,,,,,,,,,-2.9459035,43.2688386,-327938,4816687,centro médico quirón salud,-1
POINT (-2.9453854 43.2690141),Centro Médico Quirón Salud,,clinic,,clinic,,,,,,,,,-2.9453854,43.2690141,-327880,4816707,centro médico quirón salud,-1
POINT (-2.9460706 43.2687907),Need Sport,nutrition_supplements,,,,,,,,,,,,-2.9460706,43.2687907,-327957,4816682,need sport,-1
POINT (-2.9462919 43.2687272),Praxis,,clinic,,clinic,,,,,,,,,-2.9462919,43.2687272,-327981,4816675,praxis,-1
POINT (-2.9494622 43.2686591),Artebi,,arts_centre,,,,,,,,,,,-2.9494622,43.2686591,-328334,4816667,artebi,35
POINT (-2.9497475 43.268632),Deusto Motocenter,motorcycle,,,,,,,,,,,,-2.9497475,43.268632,-328366,4816664,deusto motocenter,35
POINT (-2.9496771 43.2698227),Biok Kioskoa,kiosk,,,,,,,,,,,,-2.9496771,43.2698227,-328358,4816797,biok kioskoa,46
POINT (-2.9497929 43.2700018),Zelaia,greengrocer,,,,,,,,,,,,-2.9497929,43.2700018,-328371,4816817,zelaia,46
POINT (-2.9488553 43.2697807),Fotokopiak etxekopi,copyshop,,,,,,,,,,,,-2.9488553,43.2697807,-328267,4816792,fotokopiak etxekopi,-1
POINT (-2.947198 43.2699397),JH,hairdresser,,,,,,Calle Blas de Otero / Blas de Otero kalea,23,48014.0,,,,-2.947198,43.2699397,-328082,4816810,jh,-1
POINT (-2.9468377 43.269959),Masajes Joaquin,,clinic,,clinic,,,,,,,,,-2.9468377,43.269959,-328042,4816812,masajes joaquin,48
POINT (-2.9467506 43.2699636),Fruteria Rosa,greengrocer,,,,,,,,,,,,-2.9467506,43.2699636,-328032,4816812,fruteria rosa,48
POINT (-2.948761 43.2705827),Kiloz Tejidos,fabric,,,,,,,,,,,,-2.948761,43.2705827,-328256,4816881,kiloz tejidos,-1
POINT (-2.9496778 43.2709181),Bertiz,bakery,,,,,,,,,,,,-2.9496778,43.2709181,-328358,4816919,bertiz,-1
POINT (-2.9496159 43.2707756),Createlo Abalorios,clothes,,,,,,,,,,,,-2.9496159,43.2707756,-328351,4816903,createlo abalorios,-1
POINT (-2.9496108 43.2707285),Kutxabank,,bank,,,,,,,,Kutxabank,,,-2.9496108,43.2707285,-328351,4816897,kutxabank,-1
POINT (-2.9495944 43.2706229),modas begoña,clothes,,,,,,,,,,,,-2.9495944,43.2706229,-328349,4816886,modas begoña,-1
POINT (-2.9495805 43.2705289),BBVA,,bank,,,,,,,,BBVA,BBVA,,-2.9495805,43.2705289,-328347,4816875,bbva,-1
POINT (-2.9495618 43.270407),El Dorado,clothes,,,,,,,,,,,,-2.9495618,43.270407,-328345,4816862,el dorado,-1
POINT (-2.9453962 43.2711909),Golf Barri,,biergarten,,,,,Avenida Madariaga / Madariaga etorbidea,,,,,,-2.9453962,43.2711909,-327882,4816949,golf barri,50
POINT (-2.9463494 43.2711701),Ganar Star,variety_store,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9463494,43.2711701,-327988,4816947,ganar star,51
POINT (-2.9464056 43.2711749),Laura Casat,hairdresser,,,,,,,,48014.0,,,,-2.9464056,43.2711749,-327994,4816947,laura casat,51
POINT (-2.9461672 43.2711743),Akeita Gozo,,biergarten,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9461672,43.2711743,-327967,4816947,akeita gozo,51
POINT (-2.9487731 43.270821),Madariagako 33 Etxea,,bar,,,,,Calle Araba / Araba kalea,,48014.0,,,,-2.9487731,43.270821,-328257,4816908,madariagako 33 etxea,53
POINT (-2.9477149 43.2709539),Animalit,pet,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9477149,43.2709539,-328140,4816923,animalit,52
POINT (-2.9477393 43.2709527),Dietética Aldea,nutrition_supplements,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9477393,43.2709527,-328142,4816922,dietética aldea,52
POINT (-2.9478076 43.2709509),Fragancias,cosmetics,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9478076,43.2709509,-328150,4816922,fragancias,52
POINT (-2.947834 43.2709502),Centro Dietético,nutrition_supplements,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.947834,43.2709502,-328153,4816922,centro dietético,52
POINT (-2.9479294 43.2709479),Stilo 21,hairdresser,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9479294,43.2709479,-328164,4816922,stilo 21,52
POINT (-2.9481583 43.2709426),Izargi Bidaiak,travel_agency,,,,,,Avenida Madariaga / Madariaga etorbidea,,48014.0,,,,-2.9481583,43.2709426,-328189,4816921,izargi bidaiak,52
