param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_kiosk,shop_rel_furniture,shop_rel_hairdresser,shop_rel_sports,shop_rel_mall,amenity_rel_restaurant,amenity_rel_fast_food,amenity_rel_bar,amenity_rel_cinema,amenity_rel_pharmacy,amenity_rel_bank,amenity_rel_taxi,amenity_rel_cafe,amenity_rel_clinic,amenity_rel_school,min_dist_to_other_cluster,shop_rel_beauty,shop_rel_clothes,shop_rel_vacant,shop_rel_supermarket,shop_rel_wigs,shop_rel_deli,shop_rel_antiques,amenity_rel_doctors,amenity_rel_pub,shop_rel_bakery,shop_rel_convenience,shop_rel_art,shop_rel_lottery,shop_rel_watches,shop_rel_food,shop_rel_estate_agent,shop_rel_pottery,shop_rel_music,shop_rel_books,shop_rel_shoe_repair,shop_rel_electronics,shop_rel_massage,shop_rel_greengrocer,shop_rel_pet,shop_rel_variety_store,shop_rel_tobacco,shop_rel_photo,shop_rel_jewelry,shop_rel_hardware,shop_rel_mobile_phone,shop_rel_copyshop,amenity_rel_theatre,amenity_rel_community_centre,amenity_rel_dentist,shop_rel_toys,shop_rel_optician,shop_rel_cosmetics,shop_rel_butcher,shop_rel_travel_agency,shop_rel_interior_decoration,shop_rel_perfumery,shop_rel_tailor,shop_rel_fabric,shop_rel_herbalist,shop_rel_electrical,shop_rel_spices,shop_rel_confectionery,shop_rel_gift,shop_rel_sewing,shop_rel_computer,shop_rel_tea,shop_rel_tattoo,shop_rel_car_repair,shop_rel_kitchen,shop_rel_shoes,amenity_rel_atm,amenity_rel_post_office,amenity_rel_post_box,amenity_rel_parking,shop_rel_stationery,shop_rel_florist,shop_rel_pastry,amenity_rel_veterinary,shop_rel_health_food,shop_rel_windows,shop_rel_wine,shop_rel_alcohol,shop_rel_dairy,shop_rel_wedding,amenity_rel_bureau_de_change,shop_rel_charity,shop_rel_cheese,shop_rel_cannabis,amenity_rel_arts_centre,amenity_rel_language_school,shop_rel_pet_grooming,shop_rel_medical_supply,shop_rel_frame,shop_rel_bathroom_furnishing,shop_rel_laundry,shop_rel_paint,shop_rel_car,shop_rel_hairdesser,amenity_rel_events_venue,amenity_rel_university,shop_rel_chocolate,shop_rel_bag,amenity_rel_marketplace,shop_rel_frozen_food,shop_rel_newsagent,shop_rel_dry_cleaning,shop_rel_nails,shop_rel_general,shop_rel_carpet,amenity_rel_music_venue,amenity_rel_money_transfer,shop_rel_bicycle,shop_rel_doityourself,amenity_rel_library,amenity_rel_charging_station,amenity_rel_hospital,shop_rel_bookmaker,shop_rel_chemist,shop_rel_bed,shop_rel_motorcycle,shop_rel_coffee,shop_rel_ice_cream,shop_rel_hifi,shop_rel_printing,shop_rel_telecommunication,shop_rel_houseware,shop_rel_religion,shop_rel_outdoor,shop_rel_hearing_aids,shop_rel_hairdresser_supply,shop_rel_household_linen,shop_rel_orthopaedics,shop_rel_locksmith,shop_rel_esoteric,shop_rel_motorcycle_repair,amenity_rel_casino,amenity_rel_ice_cream,amenity_rel_gambling,shop_rel_games,shop_rel_glaziery,shop_rel_seafood,shop_rel_e-cigarette,shop_rel_musical_instrument,shop_rel_beverages,amenity_rel_college,shop_rel_department_store,shop_rel_second_hand,shop_rel_pawnbroker,shop_rel_nuts,shop_rel_wholesale,shop_rel_accessories,shop_rel_mobile_phone_accessories,shop_rel_fashion_accessories,shop_rel_erotic,shop_rel_yes,shop_rel_printer_ink,amenity_rel_parcel_locker,shop_rel_garden_centre,shop_rel_party,shop_rel_video_games,shop_rel_curtain,amenity_rel_biergarten,amenity_rel_fountain,amenity_rel_workshop,shop_rel_doors,amenity_rel_bicycle_repair_station,shop_rel_repair,shop_rel_indian_food,shop_rel_leather,shop_rel_appliance,shop_rel_money_lender,shop_rel_nutrition_supplements,shop_rel_window_blind,shop_rel_video,shop_rel_trade,shop_rel_storage_rental,shop_rel_tyres,shop_rel_agrarian,shop_rel_farm,shop_rel_hairdresser;pet,shop_rel_boutique,shop_rel_car_parts,shop_rel_ticket,amenity_rel_car_sharing,amenity_rel_car_rental,shop_rel_craft,shop_rel_baby_goods,amenity_rel_retail,amenity_rel_bicycle_rental,shop_rel_optician;hearing_aids,shop_rel_shutters,shop_rel_doityourself;sewing,shop_rel_spy,amenity_rel_student_accommodation,shop_rel_flooring,amenity_rel_social_facility,amenity_rel_exhibition_centre,shop_rel_energy,amenity_rel_post_depot,shop_rel_weapons,amenity_rel_driving_school,shop_rel_variety,amenity_rel_car_wash,shop_rel_radiotechnics,shop_rel_CCG,amenity_rel_place_of_worship,shop_rel_plant_shop,shop_rel_grocery,shop_rel_lighting,shop_rel_collector,shop_rel_eggs,shop_rel_gold_buyer,shop_rel_fuel,amenity_rel_studio,amenity_rel_conference_centre,shop_rel_clothes;secondhand,shop_rel_gas,amenity_rel_sop,shop_rel_tiles,shop_rel_kitchen;bathroom_furnishing,shop_rel_hair extensions,shop_rel_signs,shop_rel_haberdashery,amenity_rel_coworking_space,shop_rel_fireplace,shop_rel_outpost,shop_rel_rental,amenity_rel_prep_school,shop_rel_fishing,shop_rel_camera,shop_rel_model
hdbscan_5_5_merged,530,12,-3.701055616666667,40.43741825833334,-3.7010262,40.4373568,2.905516199993258e-07,41300750.62058799,0.0002669359518277711,0.0006018665760283134,8.476893921449082e-05,0.00030594233786244605,Yes,,,,,,,,0.083,,0.083,,,,,,0.001184165459919931,,,0.167,0.083,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,531,5,-3.64906704,40.43095124,-3.6490577,40.4307691,4.280477400006376e-07,11680940.074564002,0.0003928082786942984,0.0006431895375404109,0.00014235134843066508,0.00039655704053761056,Yes,,,,,,,,,,0.2,,,,,,0.0031638047696994722,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,895,91,-3.710536674725275,40.438918185714286,-3.7103691,40.4390279,9.130443520008452e-06,9966657.12904117,0.0008928646718343189,0.0022593500603085145,0.0007684035286018596,0.0006221160770407922,Yes,,,0.088,,,0.11,0.033,0.044,,0.022,0.022,,0.011,0.022,,0.0015558908298084176,0.044,0.044,0.033,0.011,,,0.011,0.022,,0.011,0.033,,0.022,,,,,,0.022,,,,0.022,,,0.011,,,,0.011,,0.022,,,,0.022,,,,0.011,,,,0.011,,,0.011,,,,,,0.011,,,,,0.011,,,,0.022,0.011,,,,,,,,,,,,0.022,,0.011,,,,,0.022,,,,,,,,,,,,,,,,0.011,,,,,,,0.011,,,,,,,,,0.011,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,532,30,-3.7071744733333336,40.43391900666667,-3.70732,40.43390515,1.0794937199993498e-06,27790805.48983469,0.0007037237933620408,0.001192641766032929,0.0007626200622124469,0.00010383949452045603,Yes,,,0.033,,,0.267,,,,0.067,,,,,,0.0017515929602250396,0.033,0.067,0.1,,,,,0.033,0.033,,,,0.033,,,,,,,,,,0.033,,0.033,,,,,0.033,,,,,0.033,0.033,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,533,15,-3.6215738893783977,40.4264963079387,-3.621494,40.4264912,8.687721314288477e-06,1726574.7205000552,0.0008990576754188888,0.0019102148644655926,0.0007635799043845919,0.0007650900525661465,Yes,,,,,,0.067,0.133,,,0.067,,0.067,,0.067,,0.0040238614615468946,,,,,,,,,0.133,,0.067,,,,,,,,,,,,0.067,,,,,,,,,,0.067,,,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,534,12,-3.6424122916666666,40.427461375,-3.64218835,40.427184350000005,9.028486999996308e-06,1329126.353065016,0.0010738987897068975,0.002825547709566331,0.000770952946530407,0.0010259290319224674,Yes,,,,,,,,0.167,,0.083,0.083,,,,,0.004168045631737852,,,,0.167,,,,,,,,,0.083,,,,,,,,,,0.083,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,535,5,-3.6379430173106435,40.42489894151282,-3.6379589,40.4247334,3.894025211828829e-06,1284018.394336936,0.0008488887205967301,0.0015036187869572478,0.0008249150456445199,0.0005676880972935011,Yes,,,,,,,,,,0.2,,,,,,0.005151745203871792,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,536,5,-3.600538978507052,40.42566713153647,-3.6005503,40.425738357682384,3.5742787536529562e-06,1398883.6194966438,0.0007849781069314068,0.001418076730870878,0.00044056267936905404,0.0008328924519212988,Yes,,,,,,,,,,0.2,,,0.2,,,0.0051524342000436405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,537,11,-3.6530156203435924,40.429175443151074,-3.6525323261288425,40.4293508,9.036130506658953e-06,1217335.2290445366,0.001081967731499428,0.0023656877806832563,0.001081178538642198,0.0005792412107929732,Yes,,,,,,0.091,,0.182,,0.182,,,,,0.182,0.003990356256937594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182,,,,,,,,,,,,,,,,,,,,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hdbscan_5_5_merged,538,7,-3.6678354428571427,40.428679900000006,-3.6677876,40.4287397,3.385571800002139e-07,20675975.621003155,0.0002759525821413771,0.0005040143907832541,0.00011274863137779541,0.00029541925171849473,Yes,,,,,,,0.143,,,0.143,0.286,,,,,0.002199881506002219,,0.143,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
