param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_cafe,amenity_rel_school,amenity_rel_doctors,shop_rel_supermarket,shop_rel_convenience,shop_rel_sports,shop_rel_bakery,shop_rel_greengrocer,shop_rel_variety_store,shop_rel_clothes,shop_rel_laundry,amenity_rel_restaurant,amenity_rel_bar,amenity_rel_bank,amenity_rel_pharmacy,amenity_rel_dentist,amenity_rel_post_office,amenity_rel_veterinary,shop_rel_butcher,amenity_rel_pub,amenity_rel_clinic,amenity_rel_community_centre,shop_rel_car_repair,shop_rel_hardware,amenity_rel_post_box,shop_rel_florist,shop_rel_department_store,amenity_rel_fast_food,shop_rel_car,shop_rel_bicycle,shop_rel_garden_centre,shop_rel_furniture,amenity_rel_college,amenity_rel_events_venue,shop_rel_newsagent,amenity_rel_library,shop_rel_agrarian,shop_rel_charity,amenity_rel_atm,shop_rel_confectionery,shop_rel_stationery,shop_rel_seafood,shop_rel_beauty,shop_rel_optician,shop_rel_funeral_directors,shop_rel_shoes,shop_rel_tobacco,shop_rel_doityourself,shop_rel_books,shop_rel_hairdresser,shop_rel_curtain,amenity_rel_theatre,shop_rel_medical_supply,shop_rel_electronics,shop_rel_toys,shop_rel_video_games,shop_rel_interior_decoration,shop_rel_mall,amenity_rel_charging_station,amenity_rel_cinema,shop_rel_outdoor,shop_rel_pet,shop_rel_lottery,shop_rel_boutique,amenity_rel_biergarten,shop_rel_pastry,shop_rel_telecommunication,amenity_rel_parcel_locker,shop_rel_jewelry,amenity_rel_university,shop_rel_appliance,shop_rel_health_food,shop_rel_bookmaker,shop_rel_craft,shop_rel_computer,shop_rel_art,shop_rel_antiques,shop_rel_perfumery,shop_rel_copyshop,shop_rel_cosmetics,shop_rel_car_parts,amenity_rel_car_rental,shop_rel_yes,shop_rel_lighting,shop_rel_doors,shop_rel_second_hand,shop_rel_dry_cleaning,shop_rel_tyres,shop_rel_mobile_phone,shop_rel_chemist,shop_rel_gun,shop_rel_frame,shop_rel_alcohol,shop_rel_photo,shop_rel_pawnbroker,shop_rel_kiosk,shop_rel_musical_instrument,amenity_rel_hospital,shop_rel_motorcycle,shop_rel_printing,shop_rel_bathroom_furnishing,shop_rel_nutrition_supplements,amenity_rel_taxi,amenity_rel_language_school,shop_rel_car;car_repair,shop_rel_herbalist,shop_rel_vacant,amenity_rel_arts_centre,shop_rel_deli,shop_rel_pet_grooming,shop_rel_electrical,shop_rel_travel_agency,amenity_rel_bureau_de_change,shop_rel_cannabis,shop_rel_watches,shop_rel_houseware,amenity_rel_music_venue,shop_rel_nuts,shop_rel_grocery,shop_rel_bag,shop_rel_fashion_accessories,shop_rel_gift,shop_rel_fabric,shop_rel_tattoo,shop_rel_wine,shop_rel_bed
Murcia_hdbscan_5_5,33,8,-1.189116419273035,37.99697115582874,-1.18896005,37.997381,1.6185584730924055e-05,494266.9747800499,0.0015267396204054339,0.003272463150181828,0.0015011003195634543,0.00104773354634447,Yes,,,,0.125,,0.125,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,34,40,-1.1777824227548503,37.998200903140024,-1.177308632369647,37.99789454694219,9.296888599528961e-05,430251.47146569716,0.0033796731565475984,0.006412408447134299,0.003244993420785857,0.0020143743697934105,Yes,,0.025,,0.025,,,,,,,,,0.025,,,,,,,,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,35,20,-1.1850929726327002,37.991336621900196,-1.1849224149758075,37.991247896417235,6.618938014469976e-06,3021632.7689241157,0.0008503663063841961,0.0025243004054209825,0.0008034915728950578,0.000566229141606756,No,0.05,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,36,8,-1.1459680765406839,38.0296742139066,-1.145835867082117,38.02941706312708,6.1015112999916e-06,1311150.566911351,0.0010512677558599318,0.0021793073156174177,0.0007301052093735233,0.0009215207587033045,Yes,,,,0.125,0.125,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,0.125,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,37,12,-1.14907183623748,38.031973796731045,-1.1490859,38.0319479,3.6708244400042244e-06,3269020.4056683765,0.0006369314777026842,0.0012650046469691648,0.000502743029126093,0.0005263709401396817,Yes,,,,0.083,,0.083,,,,,,0.167,,,,,,,,,,,,,,,,0.333,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,0.083,0.083,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,38,7,-1.1514394216998132,37.95641056015888,-1.1511719454906304,37.955677806950824,2.6630968648719192e-05,262851.8734085425,0.002385786102835844,0.0033577036200939307,0.0018089769463319142,0.0017836337622927874,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,39,7,-1.1224188566373055,38.023549294813634,-1.1222535,38.02340881775429,8.908632099140387e-06,785754.7513580053,0.0013370609993757457,0.002381829664493449,0.001394339815231885,0.0006314577908366166,Yes,,0.143,,,,,,,,,,,,0.143,,,0.143,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,40,14,-1.1304300360789037,38.025923735917715,-1.1306804242448538,38.02595864052546,2.4710651786158597e-05,566557.2936381204,0.00196792802760381,0.003956245573164493,0.0017129277761381858,0.0013126503950074394,Yes,,0.214,,0.071,0.071,,,,,,,0.071,0.071,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,41,22,-1.1371370659641058,38.02274132276859,-1.1364393716803414,38.02210644175649,6.115799615865364e-05,359724.0161847108,0.002549277291640876,0.0058025889063512,0.0020234724997749017,0.0019007499151649802,Yes,,0.045,,0.091,0.045,,,,,,,0.045,,0.091,,,,,,0.045,0.045,,,0.045,,,,0.136,0.045,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,42,6,-1.1184405632964938,37.93784384532618,-1.1182942,37.9379828,5.969306831429536e-06,1005141.8312774372,0.0009400182741526303,0.002095354579048891,0.0008036285221634154,0.0008205457524054323,No,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,43,15,-1.1145704322707413,37.943005912415856,-1.1148639999999999,37.9426117,3.678510374909345e-05,407773.7581580062,0.0021109098943354375,0.004197009891665488,0.0017345973564362282,0.0015434111036051901,Yes,,0.067,,0.067,,,,,,,,,,,,,,,,,0.067,,,,,,,,,0.067,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,44,11,-1.129414145173454,37.96249158721021,-1.1285788,37.96192416113119,3.1072743582246425e-05,354008.0061126275,0.002878976786546873,0.004138445253845115,0.002570711801484299,0.0014956433501670226,Yes,,0.182,,0.091,,0.091,,,,,,0.091,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,45,9,-1.1250938097543588,37.949747839864,-1.1246759283056815,37.95014699686779,1.2601846366168336e-05,714181.0603374704,0.0015426378994034772,0.002461767826396405,0.001347991808249871,0.0009975162850865828,Yes,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,46,10,-1.1606353171463897,37.927386648838755,-1.160147760638245,37.92714205681709,9.051709273848513e-06,1104763.7189244702,0.0012191343510792024,0.002448398433740299,0.0008722993313082363,0.0011070676722318594,No,,0.4,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,47,20,-1.102086305171158,37.995461592701254,-1.1024008084083103,37.995178180580425,2.248289212059449e-05,889565.270016123,0.0018836142536308603,0.003365462263217206,0.0019074893332957927,0.0008503707771740431,Yes,,0.05,,,,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,0.05,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,48,7,-1.1012571137279876,37.99184824300783,-1.1013734695479744,37.991778928380334,7.734497465619665e-06,905036.1747631888,0.0011805875321127923,0.0022589389597721145,0.001304574988944714,0.0006103430818532383,Yes,,0.143,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,49,19,-1.1311591559435836,37.942346219317464,-1.1313069,37.9424528,2.1525368071250092e-05,882679.4476688625,0.0015488069935984659,0.003297906805448624,0.0011926948258194632,0.0012621799449982986,Yes,0.105,0.053,,0.053,0.105,,,,,,,0.053,,0.053,0.053,,,,,,0.053,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,50,7,-1.1199512349261234,37.96509351091431,-1.12004119750657,37.9646672,1.2936697011787813e-05,541096.3860111786,0.0015960400013097676,0.002732956921645102,0.0013934439289897103,0.0010560534911983248,Yes,,0.429,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murcia_hdbscan_5_5,51,18,-1.140256276268326,37.94131804981125,-1.14024755,37.9413998,2.879692633050361e-05,625066.7100166593,0.0014639584456794552,0.0037184238361712726,0.0014518026287688932,0.0011467821128045537,Yes,,0.056,,,0.056,,,,,,,0.056,,0.167,0.056,,0.056,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
