param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_restaurant,shop_rel_clothes,shop_rel_confectionery,amenity_rel_atm,amenity_rel_post_box,shop_rel_convenience,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_clinic,shop_rel_agrarian,amenity_rel_cafe,amenity_rel_pub,amenity_rel_bar,shop_rel_toys,shop_rel_gas,shop_rel_truck,amenity_rel_hospital,amenity_rel_charging_station,shop_rel_vacant,shop_rel_bakery,amenity_rel_doctors,amenity_rel_taxi,amenity_rel_biergarten,shop_rel_hairdresser,shop_rel_paint,shop_rel_variety_store,shop_rel_lottery,shop_rel_tobacco,shop_rel_furniture,shop_rel_butcher,amenity_rel_library,amenity_rel_bank,amenity_rel_fast_food,shop_rel_car,shop_rel_computer,shop_rel_motorcycle,shop_rel_pet,shop_rel_beauty,shop_rel_hifi,shop_rel_electronics,shop_rel_doityourself,shop_rel_supermarket,shop_rel_grocery,shop_rel_ticket,shop_rel_hardware,amenity_rel_dentist,shop_rel_wholesale,shop_rel_kitchen,shop_rel_sports,shop_rel_car_repair,amenity_rel_veterinary,shop_rel_ice_cream,shop_rel_dry_cleaning,shop_rel_interior_decoration,shop_rel_newsagent,amenity_rel_cinema,shop_rel_florist,shop_rel_video,shop_rel_chemist,shop_rel_kiosk,shop_rel_tea,shop_rel_mobile_phone,shop_rel_shoes,shop_rel_estate_agent,shop_rel_beverages,shop_rel_pet_grooming,shop_rel_gift,shop_rel_greengrocer,shop_rel_mall,shop_rel_bicycle,shop_rel_optician,shop_rel_appliance,shop_rel_yes,shop_rel_stationery,shop_rel_books,shop_rel_cosmetics,shop_rel_outdoor,shop_rel_funeral_directors,shop_rel_bed,shop_rel_herbalist,shop_rel_general,shop_rel_travel_agency,shop_rel_fabric,amenity_rel_post_office,shop_rel_lighting,shop_rel_jetski,shop_rel_copyshop,shop_rel_second_hand,shop_rel_nutrition_supplements,amenity_rel_community_centre,shop_rel_perfumery,shop_rel_laundry,amenity_rel_college,shop_rel_car_parts,amenity_rel_parcel_locker,shop_rel_radiotechnics,shop_rel_musical_instrument,amenity_rel_language_school,shop_rel_video_games,shop_rel_jewelry,shop_rel_massage,shop_rel_games,shop_rel_sewing,shop_rel_tattoo,shop_rel_alcohol,shop_rel_outdoor;hunting,shop_rel_medical_supply,shop_rel_pawnbroker,shop_rel_tyres,amenity_rel_bureau_de_change,shop_rel_pastry,shop_rel_wine,amenity_rel_car_rental,shop_rel_watches,shop_rel_accessories,shop_rel_bookmaker,shop_rel_deli,shop_rel_erotic,amenity_rel_arts_centre
Alicante_hdbscan_5_5,66,8,-0.48918734292697247,38.358853923809605,-0.4889974,38.35868094523843,3.239157600008288e-06,2469777.9447284476,0.0007934312287995818,0.0017192283926427104,0.000690821280855713,0.0005398881319529677,Yes,,,,,,,,,,,,,0.125,0.125,,,,,,,,,,0.125,,,,,,0.125,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,67,7,-0.4773954070032699,38.34877651855658,-0.4776011,38.3489012,3.380111673295188e-06,2070937.4945520281,0.0007261401741117095,0.001723287837398458,0.0006273194260144464,0.0005791464620159537,Yes,,,,,,,,0.143,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,68,18,-0.47451946998008904,38.34937377845464,-0.4744077,38.348875,7.847949381463848e-06,2293592.7750138636,0.0012406933891214924,0.002521306466450681,0.0005840667259635852,0.0012505055168071113,Yes,0.222,,,,0.056,0.056,,,,,0.056,,0.111,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,69,12,-0.4677352238377257,38.363434686252255,-0.46731849999999997,38.36314095625789,7.83544052090617e-06,1531502.915245434,0.001055258228632053,0.0027768020430320186,0.0008435512288394734,0.0009033638472367008,Yes,0.083,,,,,,,,,,0.083,0.167,,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,0.083,,,,,,,,,,,,,,,,,,,,,,,0.083,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,70,24,-0.4699936726383385,38.36687769971146,-0.46968315,38.36695435,5.511404472081115e-06,4354606.910375708,0.0008115959761395997,0.0017190643336772835,0.0007405376082162302,0.0004760908404074227,Yes,0.125,0.125,,,,,,,,,,,,,,,,,,0.042,,0.042,,0.042,,,,,,,,0.125,0.083,,,,,,,,,0.042,,,,0.083,,,,,,,,,,,,,,,,0.042,,,,,,,0.042,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,0.042,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,71,15,-0.5034017489789158,38.34426496581148,-0.5034768,38.3443837,2.8718773737485585e-06,5223064.235650507,0.0006908470237418578,0.0013352504562885652,0.00040298712277330855,0.0006813000870456789,Yes,,,,,,,,0.067,,,0.2,0.067,,,,,,,,0.133,,,,0.067,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,72,9,-0.4972722268008494,38.34822745951595,-0.4972564,38.3480307,1.6703737425036578e-06,5388015.730246246,0.0004891533599453117,0.0011443283869389841,0.00033610683307972193,0.00044471156680656585,Yes,,,,,,,,0.111,,,0.111,,,,,,,,,0.111,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,73,14,-0.4732347724542417,38.362801687197255,-0.47337415,38.362723450000004,3.418057499103944e-06,4095893.6482695653,0.0006994601299706931,0.0011200664142177077,0.0006332889536788353,0.00047916507382862646,Yes,0.071,,,,,0.071,,0.071,,,0.071,,0.071,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,74,7,-0.47879928571428565,38.35880447142857,-0.479005,38.3588175,7.240630399999248e-07,9667666.505945018,0.0005688846236522267,0.0010382562990178773,0.0006158654941939675,0.00011972446598353142,Yes,0.143,,,,,,,,,,0.143,,,,,,,,,0.143,,0.143,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicante_hdbscan_5_5,75,18,-0.4772209392246444,38.361723251591144,-0.47761410000000004,38.3615118,7.559895763262932e-06,2380985.20980546,0.0011121414345121967,0.002601661110237361,0.001068587841510995,0.0007074285881294457,Yes,0.167,,,,,,,0.056,,,,,0.056,,,,,,,,,,,0.167,,,0.056,,,,,0.056,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,
