geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Cordoba_hdbscan_5_5
POINT (-4.7815666 37.8890041),,greengrocer,,,,,,,,,,,,-4.7815666,37.8890041,-532284,4217804,,73
POINT (-4.7894989 37.8881317),,ticket,,,,,,,,,,,,-4.7894989,37.8881317,-533167,4217707,,41
POINT (-4.7787855 37.8854504),Ana Ruz,pastry,,,,,,,,,,,,-4.7787855,37.8854504,-531974,4217408,ana ruz,-1
POINT (-4.7797817 37.8859236),El Ropero de Carmela,shoes,,,,,,,,,,,,-4.7797817,37.8859236,-532085,4217461,el ropero de carmela,95
POINT (-4.7816378 37.8876347),Piedra,supermarket,,,,,,,,,,,,-4.7816378,37.8876347,-532292,4217651,piedra,-1
POINT (-4.7808811 37.8872356),i am joy,jewelry,,,,,,,,,,,,-4.7808811,37.8872356,-532208,4217607,i am joy,79
POINT (-4.7778523 37.8784332),La Romana,,restaurant,,,,,,,,,,,-4.7778523,37.8784332,-531871,4216627,la romana,-1
POINT (-4.774125 37.8837715),El Patri,,restaurant,,,,,,,,,,,-4.774125,37.8837715,-531456,4217221,el patri,-1
POINT (-4.774854 37.882694),Gda. Beatriz Ortega Montes,,pharmacy,,pharmacy,,,,,,,,,-4.774854,37.882694,-531537,4217101,gda. beatriz ortega montes,-1
POINT (-4.7799786 37.883976),Carrefour Express,convenience,,,,,,,,,,,,-4.7799786,37.883976,-532107,4217244,carrefour express,94
POINT (-4.783033 37.8827917),Apartamentos El balcón de la Trinidad,,,hotel,,,,Plaza de la Trinidad,3,,,,,-4.783033,37.8827917,-532447,4217112,apartamentos el balcón de la trinidad,-1
POINT (-4.7973344 37.8782456),BBVA,,bank,,,,,"Calle Manuel Cano ""El Pireo""",,14005.0,BBVA,,,-4.7973344,37.8782456,-534039,4216606,bbva,59
POINT (-4.7970191 37.8777609),Audiozona,hifi,,,,,,Avenida Guerrita,28,14005.0,,,,-4.7970191,37.8777609,-534004,4216552,audiozona,59
POINT (-4.7767457 37.8790312),La Furgo,,restaurant,,,,,Ronda de Isasa,7,,,,tapas,-4.7767457,37.8790312,-531747,4216694,la furgo,-1
POINT (-4.7838449 37.8858257),La Maceta,,bar,,,,,Plaza del Escudo,1,,,,tapas,-4.7838449,37.8858257,-532538,4217450,la maceta,-1
POINT (-4.7794988 37.899765),Cafetería Paco's cervecería,,fast_food,,,,,,,,,,,-4.7794988,37.899765,-532054,4219002,cafetería paco's cervecería,39
POINT (-4.7795975 37.8995639),Print digital,copyshop,,,,,,,,,,,,-4.7795975,37.8995639,-532065,4218979,print digital,39
POINT (-4.7792687 37.8998415),Car carisma,car_repair,,,,,,,,,,,,-4.7792687,37.8998415,-532028,4219010,car carisma,39
POINT (-4.7789094 37.8997245),Casa pepa,,bar,,,,,,,,,,,-4.7789094,37.8997245,-531988,4218997,casa pepa,39
POINT (-4.7774976 37.8970958),,kiosk,,,,,,,,,,,,-4.7774976,37.8970958,-531831,4218705,,39
POINT (-4.7799725 37.8986816),Aguilera,hairdresser,,,,,,,,,,,,-4.7799725,37.8986816,-532107,4218881,aguilera,39
POINT (-4.7814733 37.8846426),Once,kiosk,,,,,,,,,,,,-4.7814733,37.8846426,-532274,4217318,once,94
POINT (-4.7803934 37.885853),Miramira,clothes,,,,,,,,,,,,-4.7803934,37.885853,-532153,4217453,miramira,87
POINT (-4.7783819 37.8979091),Peluquería caballeros chumila,hairdresser,,,,,,,,,,,,-4.7783819,37.8979091,-531929,4218795,peluquería caballeros chumila,39
POINT (-4.7799102 37.8994517),,hairdresser,,,,,,,,,,,,-4.7799102,37.8994517,-532100,4218967,,39
POINT (-4.9099153 37.8496576),,,library,,,,,,,,,,,-4.9099153,37.8496576,-546572,4213424,,3
POINT (-4.765573 37.8945452),Chuches,confectionery,,,,,,Calle Doctor Manuel Villegas,,14007.0,,,,-4.765573,37.8945452,-530504,4218421,chuches,-1
POINT (-4.7664945 37.8932303),Bar Plácido,,cafe,,,,,Calle Caravaca de la Cruz,,14007.0,,,,-4.7664945,37.8932303,-530606,4218274,bar plácido,-1
POINT (-4.7694484 37.8860822),UNED Córdoba,,university,,,,,,,,,,,-4.7694484,37.8860822,-530935,4217479,uned córdoba,46
POINT (-4.7928083 37.8729358),Clínica Dental Torres,,dentist,,dentist,,,,,,,,,-4.7928083,37.8729358,-533535,4216015,clínica dental torres,26
POINT (-4.793641 37.8727885),Confecciones Santos,clothes,,,,,,,,,,,,-4.793641,37.8727885,-533628,4215999,confecciones santos,26
POINT (-4.7937185 37.8723792),Carmona,butcher,,,,,,,,,,,,-4.7937185,37.8723792,-533637,4215953,carmona,26
