param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_gift,shop_rel_clothes,shop_rel_convenience,shop_rel_confectionery,shop_rel_optician,shop_rel_deli,shop_rel_fashion_accessories,shop_rel_books,amenity_rel_restaurant,amenity_rel_fast_food,amenity_rel_car_rental,amenity_rel_cafe,amenity_rel_post_box,amenity_rel_bar,amenity_rel_atm,amenity_rel_pharmacy,amenity_rel_pub,amenity_rel_college,shop_rel_doors,amenity_rel_hospital,shop_rel_supermarket,shop_rel_hairdresser,shop_rel_bicycle,shop_rel_chemist,shop_rel_motorcycle,shop_rel_car_repair,shop_rel_florist,shop_rel_herbalist,shop_rel_car,shop_rel_variety_store,amenity_rel_community_centre,amenity_rel_school,amenity_rel_bank,amenity_rel_clinic,amenity_rel_veterinary,amenity_rel_dentist,amenity_rel_library,amenity_rel_charging_station,shop_rel_car_parts,amenity_rel_post_office,shop_rel_bakery,shop_rel_kiosk,shop_rel_hardware,shop_rel_seafood,shop_rel_sports,shop_rel_mall,amenity_rel_cinema,shop_rel_greengrocer,shop_rel_mobile_phone,shop_rel_paint,amenity_rel_language_school,shop_rel_butcher,shop_rel_wholesale,shop_rel_doityourself,amenity_rel_theatre,shop_rel_computer,shop_rel_laundry,shop_rel_ticket,amenity_rel_university,amenity_rel_events_venue,amenity_rel_doctors,amenity_rel_conference_centre,shop_rel_e-cigarette,shop_rel_pawnbroker,amenity_rel_taxi,shop_rel_lottery,shop_rel_stationery,shop_rel_shoes,shop_rel_tattoo,shop_rel_dry_cleaning,shop_rel_pet,shop_rel_furniture,shop_rel_electronics,shop_rel_vacant,shop_rel_beauty,shop_rel_sewing,shop_rel_hairdresser_supply,shop_rel_perfumery,shop_rel_toys,shop_rel_grocery,shop_rel_tobacco,shop_rel_bed,shop_rel_photo,shop_rel_musical_instrument,shop_rel_travel_agency,shop_rel_interior_decoration,shop_rel_coffee,shop_rel_fuel,shop_rel_games,shop_rel_kitchen,shop_rel_baby_goods,shop_rel_tyres,shop_rel_pet_grooming,amenity_rel_marketplace,shop_rel_pastry,shop_rel_locksmith,shop_rel_department_store,shop_rel_radiotechnics,shop_rel_motorcycle_repair,shop_rel_jewelry,shop_rel_electrical,shop_rel_party,shop_rel_funeral_directors,shop_rel_tattoo;hairdresser,amenity_rel_biergarten,amenity_rel_post_depot,shop_rel_copyshop,shop_rel_watches,shop_rel_cosmetics,shop_rel_video_games,shop_rel_mobile_phone_accessories,shop_rel_yes,shop_rel_carpet,shop_rel_general,amenity_rel_arts_centre,shop_rel_estate_agent,shop_rel_telecommunication,shop_rel_fabric,shop_rel_tailor,shop_rel_storage_rental,shop_rel_antiques,shop_rel_massage,shop_rel_craft,shop_rel_newsagent,shop_rel_second_hand,shop_rel_lighting,shop_rel_hearing_aids,shop_rel_printer_ink,shop_rel_appliance,shop_rel_glaziery,shop_rel_repair,shop_rel_wine,shop_rel_boutique,shop_rel_windows,shop_rel_farm,shop_rel_medical_supply,shop_rel_fireplace,shop_rel_hifi,shop_rel_bookmaker,shop_rel_houseware,shop_rel_bag,shop_rel_video,amenity_rel_money_transfer,shop_rel_frame,shop_rel_anime,shop_rel_design,shop_rel_flooring,shop_rel_window_blind,shop_rel_psychic,shop_rel_art,shop_rel_hvac,shop_rel_household_linen,shop_rel_spices,shop_rel_health_food,shop_rel_trade,shop_rel_frozen_food,amenity_rel_laundry,shop_rel_ice_cream,shop_rel_alcohol,shop_rel_scooter,shop_rel_charity,amenity_rel_training,"shop_rel_bulk,_ecologic_food",shop_rel_tea,shop_rel_furniture;interior_decoration,shop_rel_music,shop_rel_greengrocer;seafood,shop_rel_leather,shop_rel_garden_centre,shop_rel_religion,amenity_rel_bureau_de_change,shop_rel_chocolate,shop_rel_vacuum_cleaner
Seville_hdbscan_5_5,10,11,-5.995078281614332,37.41606232614979,-5.99454158296651,37.41750960837366,3.761367272338258e-05,292446.8472115417,0.0027717579839571277,0.0052408737333941285,0.0017082987148822222,0.002439881592069705,Yes,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,11,7,-5.918464938524481,37.37977457965294,-5.9188053,37.37954785045804,1.1059285516249724e-05,632952.2815659927,0.001401269108336958,0.002224809511962498,0.0008460201324228426,0.0012842250866521984,Yes,,,,,,,,,,,,0.143,,0.143,,0.143,,,,,0.143,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,12,35,-5.940710059157854,37.377292054959426,-5.9408931,37.3770291,2.490227264180753e-05,1405494.2094417422,0.0015963978138837623,0.00436178597737826,0.0008886542984505995,0.0015338168952850585,Yes,,,0.114,,,,,0.029,0.143,0.029,,0.114,,0.029,,0.057,,,,,0.057,0.057,,,,,0.029,,,,,0.029,0.057,,0.029,,,,,,0.029,,,,,,,0.029,0.029,0.029,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,13,20,-5.901924624319753,37.38376372070029,-5.902807322246593,37.3837146,2.214679404132398e-05,903065.2455918337,0.0018108803586404474,0.002847881394313426,0.0015007349049703971,0.001124749483934571,Yes,,,,,0.05,,,,,,,,,,,0.15,,,,,0.05,,,,,,,,,,0.05,0.25,0.15,,,,0.05,,,,0.05,0.05,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,14,6,-5.912748961058294,37.383014856068115,-5.9124243,37.383167799999995,8.41474156740253e-06,713034.375677456,0.0012851890269636986,0.002480738399390958,0.0013593749700951824,0.0006637911688631675,Yes,,,,,,,,,,,,,0.167,,,0.167,,,,,,0.167,,,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,15,11,-5.910462894674652,37.386007086809,-5.910574308380376,37.3859779,1.7271858139060965e-05,636874.151665424,0.0016230640214627994,0.003101270959059899,0.0017015279039853403,0.0006951743283027297,Yes,,,0.091,,,,,,,0.091,,,,0.091,,0.182,,,,,0.182,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,16,11,-5.970068684703241,37.4335737757826,-5.970047653795942,37.4335952,1.6082073590696606e-05,683991.398121909,0.0013350051575094085,0.003072286291197103,0.0010185423895006664,0.0011574803761792677,Yes,,,,,,,,,,0.091,,,,,,,,,,,0.182,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,0.091,0.091,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,17,13,-5.94675419979156,37.37658091715999,-5.9472911,37.3767907,1.2110872333617162e-05,1073415.658417504,0.0013818438336886106,0.003522309225089596,0.0008110448004666989,0.0013326696800117308,Yes,,,,,,,,,,,,0.154,,0.308,,0.077,,,,,0.308,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,18,8,-5.943133172009233,37.405465856454555,-5.9427242407946,37.405021899999994,2.5608698966871188e-05,312393.84751053684,0.001980682873428698,0.0034714938918516108,0.001515452493816721,0.0016394087582650284,No,,,,,,,,,,,,,0.125,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seville_hdbscan_5_5,19,10,-5.950508498551924,37.395428817884756,-5.95059020845703,37.395316841222595,1.7765929591446486e-05,562875.1340326464,0.0014890150362089861,0.0031506759044080145,0.0013797182187677251,0.0010073270758220205,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
