geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,Malaga_hdbscan_5_5
POINT (-4.377922430961999 36.72568880573242),Colegio Sagrado Corazón,,school,,,,,Calle Los Arcángeles,26,29018.0,,,,-4.377922430961999,36.72568880573242,-487350,4088304,colegio sagrado corazón,-1
POINT (-4.373717391287335 36.72851079118971),Colegio León XIII,,school,,,,,Calle Fernández Shaw,88,29017.0,,,,-4.373717391287335,36.72851079118971,-486882,4088618,colegio león xiii,-1
POINT (-4.374588836228579 36.729213240521936),,,,,,,sports_centre,,,,,,,-4.374588836228579,36.729213240521936,-486979,4088696,,-1
POINT (-4.374990173232921 36.725883531621974),,,,,,,park,,,,,,,-4.374990173232921,36.725883531621974,-487024,4088325,,-1
POINT (-4.459712406156467 36.70597003481777),Palacio de Ferias y Congresos de Málaga,,exhibition_centre,attraction,,,,Avenida José Ortega y Gasset,201,29006.0,,,,-4.459712406156467,36.70597003481777,-496455,4086109,palacio de ferias y congresos de málaga,-1
POINT (-4.482798909026886 36.72352032162618),La Plaza de Dia,supermarket,,,,,,Calle Navarro Ledesma,251,,Dia,,,-4.482798909026886,36.72352032162618,-499025,4088062,la plaza de dia,48
POINT (-4.472372654610369 36.718108561131245),Centro de Investigaciones Médico Sanitarias,,,,,research,,Calle Marqués de Beccaria,3,29010.0,,Universidad de Málaga,,-4.472372654610369,36.718108561131245,-497865,4087460,centro de investigaciones médico sanitarias,-1
POINT (-4.411437875412831 36.720930696725006),,kiosk,,,,,,,,,,,,-4.411437875412831,36.720930696725006,-491081,4087774,,-1
POINT (-4.412408674895792 36.719933766217174),,kiosk,,,,,,,,,,,,-4.412408674895792,36.719933766217174,-491189,4087663,,-1
POINT (-4.419470846332659 36.71873163085066),Quiosco Elvi,kiosk,,,,,,,,,,,,-4.419470846332659,36.71873163085066,-491975,4087529,quiosco elvi,142
