,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,amenity_rel_restaurant,shop_rel_clothes,shop_rel_confectionery,amenity_rel_atm,amenity_rel_post_box,shop_rel_convenience,amenity_rel_school,amenity_rel_pharmacy,amenity_rel_clinic,shop_rel_agrarian,amenity_rel_cafe,amenity_rel_pub,amenity_rel_bar,shop_rel_toys,shop_rel_gas,shop_rel_truck,amenity_rel_hospital,amenity_rel_charging_station,shop_rel_vacant,shop_rel_bakery,amenity_rel_doctors,amenity_rel_taxi,amenity_rel_biergarten,shop_rel_hairdresser,shop_rel_paint,shop_rel_variety_store,shop_rel_lottery,shop_rel_tobacco,shop_rel_furniture,shop_rel_butcher,amenity_rel_library,amenity_rel_bank,amenity_rel_fast_food,shop_rel_car,shop_rel_computer,shop_rel_motorcycle,shop_rel_pet,shop_rel_beauty,shop_rel_hifi,shop_rel_electronics,shop_rel_doityourself,shop_rel_supermarket,shop_rel_grocery,shop_rel_ticket,shop_rel_hardware,amenity_rel_dentist,shop_rel_wholesale,shop_rel_kitchen,shop_rel_sports,shop_rel_car_repair,amenity_rel_veterinary,shop_rel_ice_cream,shop_rel_dry_cleaning,shop_rel_interior_decoration,shop_rel_newsagent,amenity_rel_cinema,shop_rel_florist,shop_rel_video,shop_rel_chemist,shop_rel_kiosk,shop_rel_tea,shop_rel_mobile_phone,shop_rel_shoes,shop_rel_estate_agent,shop_rel_beverages,shop_rel_pet_grooming,shop_rel_gift,shop_rel_greengrocer,shop_rel_mall,shop_rel_bicycle,shop_rel_optician,shop_rel_appliance,shop_rel_yes,shop_rel_stationery,shop_rel_books,shop_rel_cosmetics,shop_rel_outdoor,shop_rel_funeral_directors,shop_rel_bed,shop_rel_herbalist,shop_rel_general,shop_rel_travel_agency,shop_rel_fabric,amenity_rel_post_office,shop_rel_lighting,shop_rel_jetski,shop_rel_copyshop,shop_rel_second_hand,shop_rel_nutrition_supplements,amenity_rel_community_centre,shop_rel_perfumery,shop_rel_laundry,amenity_rel_college,shop_rel_car_parts,amenity_rel_parcel_locker,shop_rel_radiotechnics,shop_rel_musical_instrument,amenity_rel_language_school,shop_rel_video_games,shop_rel_jewelry,shop_rel_massage,shop_rel_games,shop_rel_sewing,shop_rel_tattoo,shop_rel_alcohol,shop_rel_outdoor;hunting,shop_rel_medical_supply,shop_rel_pawnbroker,shop_rel_tyres,amenity_rel_bureau_de_change,shop_rel_pastry,shop_rel_wine,amenity_rel_car_rental,shop_rel_watches,shop_rel_accessories,shop_rel_bookmaker,shop_rel_deli,shop_rel_erotic,amenity_rel_arts_centre,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Mercadona,has_Burger King,has_Carrefour Express,has_McDonald's,has_Vodafone,has_Spar,has_Lidl,has_Carrefour,has_Supercor,has_Telepizza,has_Consum,has_Barclays,has_Zara,has_The Good Burger,has_KFC,has_Phone House,has_Masymas,has_100 Montaditos,has_Vips,has_ALDI,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
22,Alicante_hdbscan_5_5,22,9,-0.4245470117990736,38.360483968674515,-0.4245879553081588,38.36033041751065,4.473360786552531e-06,2011910.156465604,0.0009353733720803,0.0019628547485655,0.000336461929533,0.0010423039746704,No,0.222,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.424587955308159 38.358816161321755, -0.424850774565903 38.36033041751065, -0.424987264475302 38.36239681376627, -0.423737950040049 38.361183059506146, -0.424587955308159 38.358816161321755))",72.0,43.78,19.71,12743.0,93.19,1017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
23,Alicante_hdbscan_5_5,23,11,-0.4168671363636363,38.37058640909091,-0.4168606,38.3705116,1.562241900003512e-07,70411630.87467615,0.0002143294296284,0.0003042780390358,0.0001858613670685,0.0001258931397832,Yes,,,,,,0.273,,0.091,,,,0.091,,,,,,,0.182,,0.091,,,0.091,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4171506 38.3705059, -0.4169836 38.3707875, -0.4168606 38.3707911, -0.4166477 38.3707972, -0.4166143 38.3705127, -0.4169288 38.3705087, -0.4171506 38.3705059))",4.0,43.78,19.71,12743.0,93.19,531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Alicante_hdbscan_5_5,24,10,-0.41394532,38.368371790000005,-0.41395565,38.368449,2.0859962199979873e-06,4793872.541154292,0.0004958900409251,0.0010475707539348,0.0004731815249986,0.0003273718327826,Yes,0.2,,,,,,,,,,,0.2,,,,,,,0.1,,,,,,,0.1,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4140362 38.3677963, -0.4149925 38.3684004, -0.414482 38.369039, -0.4133139 38.3684708, -0.4134635 38.3680565, -0.4140362 38.3677963))",39.0,43.78,19.71,12743.0,93.19,721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25,Alicante_hdbscan_5_5,25,6,-0.4123542166666667,38.37082293333333,-0.4123308,38.3709682,2.823057600002061e-07,21253551.468434863,0.0003049429200336,0.0008470430929905,8.049197510036574e-05,0.0003840848936831,Yes,0.167,,,,,0.167,,,,,,,,,,,,,,,,,,0.167,,,,0.167,,,,,,,,,,,,,,,,,0.167,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4122761 38.3699795, -0.4125287 38.3708714, -0.4123308 38.3710971, -0.4122761 38.3699795))",4.0,43.78,19.71,12743.0,93.19,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
26,Alicante_hdbscan_5_5,26,7,-0.4143050142857142,38.37026614285714,-0.4144339,38.3701775,2.4890976000392266e-07,28122641.71517294,0.0002279441017043,0.0004395325624713,0.0001974283192059,0.0001505031357749,No,0.571,,,,,,,0.143,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4144491 38.37011, -0.4145419 38.3704354, -0.4139587 38.3705368, -0.4141535 38.3701556, -0.4144491 38.37011))",5.0,43.78,19.71,12743.0,93.19,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
27,Alicante_hdbscan_5_5,27,6,-0.4350352166666666,38.36868391666667,-0.43501615,38.3687659,6.143737500047774e-07,9766042.250264345,0.000310212739577,0.0006711817939733,0.0002255754080617,0.0002782744892901,Yes,0.167,,,,,,,,,,,0.167,,,,,,,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4354502 38.3681564, -0.4351289 38.3690009, -0.4347227 38.3685288, -0.4354502 38.3681564))",8.0,43.78,19.71,12743.0,93.19,597.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
28,Alicante_hdbscan_5_5,28,6,-0.4333578666666667,38.36839346666667,-0.4333529499999999,38.36835285,9.511679999920047e-08,63080339.12043335,0.0001295479751361,0.0002887668590528,8.137546040148668e-05,0.0001319966876682,Yes,0.333,,,,,,,,,,,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,,,,0.167,0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.43324 38.3682674, -0.433294 38.3682793, -0.4333301 38.3683233, -0.4333758 38.3683824, -0.4334196 38.368457, -0.4334877 38.3686514, -0.43324 38.3682674))",1.0,43.78,19.71,12743.0,93.19,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
29,Alicante_hdbscan_5_5,29,9,-0.4263447222222222,38.36766224444444,-0.4263188,38.3676726,8.229759999881285e-08,109359203.67215843,0.0001442331681347,0.0002794604389038,0.0001562109739905,5.3166345057996714e-05,Yes,,,,,,,,,,,0.111,,,,,,,,,,,,,0.111,,0.111,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,0.111,0.111,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4266108 38.3675768, -0.426118 38.3677438, -0.4262222 38.3677022, -0.4263834 38.3676425, -0.4265361 38.3675977, -0.4266108 38.3675768))",0.0,43.78,19.71,12743.0,93.19,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
30,Alicante_hdbscan_5_5,30,16,-0.41468473125,38.3709911375,-0.4145819,38.3709973,2.591772899993342e-07,61733803.914845705,0.0002137803980166,0.0004697271148037,0.000203135172726,0.0001276891336163,Yes,0.062,0.125,,,,,,,,,,0.188,,,,,,,,0.062,,,,0.062,,,0.062,,,,,,0.062,,,,,0.062,,,,,,,,0.062,,,,,,,,,,,,,,,,,,0.125,0.062,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4151143 38.3708011, -0.4148912 38.3709706, -0.4145107 38.3712248, -0.4145026 38.3708339, -0.4150297 38.3708018, -0.4151143 38.3708011))",4.0,43.78,19.71,12743.0,93.19,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Alicante_hdbscan_5_5,31,22,-0.4146216187158549,38.371957071174094,-0.41452205,38.37190955,3.54400800000448e-07,62076609.3078012,0.0002833472503851,0.0005162768247892,0.0001380901094977,0.0002756263067609,Yes,0.045,,0.045,,,,,,,,0.091,0.045,0.045,,,,,,0.045,0.045,,,,0.136,,,0.045,0.045,,,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,0.136,0.045,,,0.045,0.045,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-0.4146714 38.3714432, -0.4148782 38.3715959, -0.4148749 38.3717219, -0.414874 38.3717548, -0.4146474 38.3724052, -0.4145308 38.3723985, -0.4145209 38.3723302, -0.4145198 38.3722922, -0.4145098 38.3717727, -0.4146714 38.3714432))",8.0,43.78,19.71,12743.0,93.19,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
