,param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_butcher,shop_rel_car_repair,shop_rel_bakery,shop_rel_supermarket,amenity_rel_restaurant,amenity_rel_post_box,amenity_rel_doctors,amenity_rel_pharmacy,amenity_rel_school,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_atm,amenity_rel_cafe,amenity_rel_clinic,amenity_rel_pub,shop_rel_copyshop,shop_rel_pet,shop_rel_tobacco,shop_rel_garden_centre,amenity_rel_library,shop_rel_hardware,shop_rel_convenience,amenity_rel_post_office,amenity_rel_events_venue,amenity_rel_biergarten,amenity_rel_theatre,shop_rel_furniture,shop_rel_wholesale,shop_rel_sports,shop_rel_electronics,shop_rel_doityourself,amenity_rel_fast_food,shop_rel_car,shop_rel_gift,shop_rel_variety_store,amenity_rel_charging_station,amenity_rel_car_rental,shop_rel_tyres,shop_rel_bathroom_furnishing,shop_rel_funeral_directors,amenity_rel_university,amenity_rel_veterinary,shop_rel_security,shop_rel_optician,shop_rel_clothes,shop_rel_houseware,shop_rel_car_parts,amenity_rel_cinema,shop_rel_stationery,shop_rel_books,shop_rel_sewing,shop_rel_jewelry,shop_rel_beauty,amenity_rel_bank,amenity_rel_dentist,shop_rel_mall,shop_rel_motorcycle,shop_rel_fuel,shop_rel_interior_decoration,amenity_rel_taxi,shop_rel_shoes,shop_rel_household_linen,shop_rel_pastry,shop_rel_hairdresser,shop_rel_bicycle,shop_rel_florist,shop_rel_yes,shop_rel_estate_agent,shop_rel_greengrocer,shop_rel_laundry,amenity_rel_language_school,shop_rel_toys,shop_rel_video_games,shop_rel_dry_cleaning,shop_rel_mobile_phone,shop_rel_kiosk,shop_rel_newsagent,shop_rel_vacant,shop_rel_medical_supply,shop_rel_doors,shop_rel_nutrition_supplements,shop_rel_lottery,shop_rel_perfumery,shop_rel_hearing_aids,shop_rel_confectionery,amenity_rel_college,shop_rel_seafood,shop_rel_boutique,shop_rel_e-cigarette,shop_rel_art,shop_rel_fabric,shop_rel_computer,shop_rel_chemist,shop_rel_appliance,shop_rel_ticket,shop_rel_outdoor,shop_rel_photo_studio,shop_rel_pet_grooming,shop_rel_kitchen,shop_rel_lighting,shop_rel_hifi,shop_rel_wine,shop_rel_erotic,shop_rel_second_hand,shop_rel_weapons,shop_rel_cosmetics,shop_rel_massage,amenity_rel_money_transfer,shop_rel_nuts,amenity_rel_arts_centre,shop_rel_leather,amenity_rel_place_of_worship,shop_rel_deli,shop_rel_fashion_accessories,shop_rel_craft,shop_rel_bag,amenity_rel_music_venue,shop_rel_tea,shop_rel_dairy,shop_rel_antiques,shop_rel_mobile_phone_accessories,geometry,population,av_age,percent_65,pp_income,male_rate,pop_buffer,has_Mercadona,has_Dia,has_Burger King,has_McDonald's,has_Eurostars Hotel Company,has_Lidl,has_100 Montaditos,has_Springfield,has_Telepizza,has_Carrefour Express,has_ALDI,trains_metro,trains_metro_in_buffer,bus,bus_in_buffer
73,Cordoba_hdbscan_5_5,73,13,-4.780591315384616,37.88902515384616,-4.7805019,37.8890532,1.5514710000064683e-06,8379144.695547516,0.0006037688940955,0.0009755118376745,0.0005287608021752,0.0003408070683987,Yes,,,,0.154,0.154,,,,,,,0.077,,,,,,,,,,0.077,,,,,0.077,,,,,,,,0.077,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7799931 37.8885082, -4.7801461 37.8885356, -4.7815666 37.8890041, -4.7812885 37.8894942, -4.7805019 37.8894159, -4.7801248 37.8890532, -4.7800307 37.8887633, -4.7799931 37.8885082))",2.0,44.42,20.73,13148.0,92.17,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0
74,Cordoba_hdbscan_5_5,74,9,-4.782366433333333,37.8882156,-4.7824332,37.8883599,1.2890310300005571e-06,6981988.633738406,0.0006172393130328,0.0011145044823235,0.0001895912562446,0.0006442013194648,No,,,,,0.222,,,,,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7821708 37.8871184, -4.7826735 37.8879293, -4.7825101 37.8890903, -4.7822411 37.8887821, -4.7820198 37.8876715, -4.7821708 37.8871184))",2.0,44.42,20.73,13148.0,92.17,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
75,Cordoba_hdbscan_5_5,75,8,-4.7842575125,37.8793059625,-4.78428975,37.8793154,6.119387999994293e-07,13073202.745123306,0.0002881445350089,0.0006141578820333,0.0002015282575563,0.0002777188638601,No,,,,,0.125,,,0.125,,,0.125,,0.125,,0.25,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7841991 37.8788604, -4.7843925 37.8790006, -4.7845157 37.8796281, -4.7838029 37.8797189, -4.7841991 37.8788604))",1.0,44.42,20.73,13148.0,92.17,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
76,Cordoba_hdbscan_5_5,76,7,-4.776049559931441,37.88131598993921,-4.7760452,37.8813119,2.690699595947882e-07,26015538.89754845,0.000201888307485,0.0004114506048116,0.0002046599638022,0.0001214181477924,Yes,,,,0.143,0.286,,,,,,0.143,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,"POLYGON ((-4.77630469107832 37.88107929868795, -4.776267928441767 37.88141243088652, -4.7760452 37.881486, -4.7756431 37.8812521, -4.77630469107832 37.88107929868795))",0.0,44.42,20.73,13148.0,92.17,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
77,Cordoba_hdbscan_5_5,77,7,-4.7759211285714285,37.88556651428571,-4.7759259,37.8855785,5.328637200020119e-07,13136567.075674752,0.0002948783468452,0.0006457577351082,0.0001875831907965,0.0002967365374432,Yes,,,,0.143,0.286,,,,,,,,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7759959 37.8849251, -4.7761913 37.8858709, -4.7756279 37.885815, -4.7759959 37.8849251))",1.0,44.42,20.73,13148.0,92.17,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
78,Cordoba_hdbscan_5_5,78,7,-4.7810405000000005,37.888178614285714,-4.7810093,37.8881591,1.419863199995559e-07,49300524.163327105,0.0001610891137084,0.0003769953242278,8.195378488603338e-05,0.0001736949989286,Yes,,,,,,,,0.143,,,,0.143,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,0.143,,,,,,,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7809042 37.8879856, -4.7810978 37.8880227, -4.781154 37.8881591, -4.7810057 37.888554, -4.7809042 37.8879856))",0.0,44.42,20.73,13148.0,92.17,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
79,Cordoba_hdbscan_5_5,79,5,-4.7807202,37.88730736,-4.780729,37.8874252,1.50112830000143e-07,33308278.845953654,0.0001875658409494,0.0003595135875033,0.0001009864743419,0.0001809634946617,Yes,,,,,,,,,,,,,,,0.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7805662 37.8869825, -4.7808811 37.8872356, -4.7807367 37.8874592, -4.780688 37.8874252, -4.7805662 37.8869825))",0.0,44.42,20.73,13148.0,92.17,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
80,Cordoba_hdbscan_5_5,80,5,-4.782399582088096,37.87754572991398,-4.7824795538723075,37.877589316903745,2.746560999789737e-07,18204583.842786577,0.0002559433520051,0.0003879392715594,0.0002369869452057,0.00014823707698,No,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.78249 37.8773431, -4.7827376 37.8777361, -4.782038729516597 37.8776529096928, -4.782252027051578 37.87740722297335, -4.78249 37.8773431))",0.0,44.42,20.73,13148.0,92.17,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
81,Cordoba_hdbscan_5_5,81,10,-4.78327074,37.88467415000001,-4.7832951999999995,37.88472315,4.423584000024197e-07,22606104.00965665,0.0002750827720176,0.0004530813482121,0.0002550293363517,0.0001566536322593,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,0.3,,,,,0.1,,,,0.1,,,,,,,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7834637 37.884299, -4.7837119 37.8847774, -4.7834743 37.884827, -4.7831258 37.8848073, -4.7829059 37.8847596, -4.7828741 37.8846322, -4.7834637 37.884299))",1.0,44.42,20.73,13148.0,92.17,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
82,Cordoba_hdbscan_5_5,82,10,-4.77447641,37.88061127,-4.7744155500000005,37.8805368,9.35508419993713e-07,10689374.661178574,0.0003973266207303,0.0008803294275443,0.0003306161292193,0.0002987335603839,No,,,,,0.5,,,0.1,,,,,,,0.1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"POLYGON ((-4.7744543 37.8802998, -4.7748716 37.8806183, -4.7750292 37.8812964, -4.7741714 37.8807151, -4.7740905 37.8803528, -4.7744543 37.8802998))",1.0,44.42,20.73,13148.0,92.17,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
