param_config,cluster_label,num_points,avg_lon,avg_lat,median_lon,median_lat,bounding_box_area,density,radius_avg,radius_max,std_lon,std_lat,has_shop,shop_rel_butcher,shop_rel_car_repair,shop_rel_bakery,shop_rel_supermarket,amenity_rel_restaurant,amenity_rel_post_box,amenity_rel_doctors,amenity_rel_pharmacy,amenity_rel_school,amenity_rel_community_centre,amenity_rel_bar,amenity_rel_atm,amenity_rel_cafe,amenity_rel_clinic,amenity_rel_pub,shop_rel_copyshop,shop_rel_pet,shop_rel_tobacco,shop_rel_garden_centre,amenity_rel_library,shop_rel_hardware,shop_rel_convenience,amenity_rel_post_office,amenity_rel_events_venue,amenity_rel_biergarten,amenity_rel_theatre,shop_rel_furniture,shop_rel_wholesale,shop_rel_sports,shop_rel_electronics,shop_rel_doityourself,amenity_rel_fast_food,shop_rel_car,shop_rel_gift,shop_rel_variety_store,amenity_rel_charging_station,amenity_rel_car_rental,shop_rel_tyres,shop_rel_bathroom_furnishing,shop_rel_funeral_directors,amenity_rel_university,amenity_rel_veterinary,shop_rel_security,shop_rel_optician,shop_rel_clothes,shop_rel_houseware,shop_rel_car_parts,amenity_rel_cinema,shop_rel_stationery,shop_rel_books,shop_rel_sewing,shop_rel_jewelry,shop_rel_beauty,amenity_rel_bank,amenity_rel_dentist,shop_rel_mall,shop_rel_motorcycle,shop_rel_fuel,shop_rel_interior_decoration,amenity_rel_taxi,shop_rel_shoes,shop_rel_household_linen,shop_rel_pastry,shop_rel_hairdresser,shop_rel_bicycle,shop_rel_florist,shop_rel_yes,shop_rel_estate_agent,shop_rel_greengrocer,shop_rel_laundry,amenity_rel_language_school,shop_rel_toys,shop_rel_video_games,shop_rel_dry_cleaning,shop_rel_mobile_phone,shop_rel_kiosk,shop_rel_newsagent,shop_rel_vacant,shop_rel_medical_supply,shop_rel_doors,shop_rel_nutrition_supplements,shop_rel_lottery,shop_rel_perfumery,shop_rel_hearing_aids,shop_rel_confectionery,amenity_rel_college,shop_rel_seafood,shop_rel_boutique,shop_rel_e-cigarette,shop_rel_art,shop_rel_fabric,shop_rel_computer,shop_rel_chemist,shop_rel_appliance,shop_rel_ticket,shop_rel_outdoor,shop_rel_photo_studio,shop_rel_pet_grooming,shop_rel_kitchen,shop_rel_lighting,shop_rel_hifi,shop_rel_wine,shop_rel_erotic,shop_rel_second_hand,shop_rel_weapons,shop_rel_cosmetics,shop_rel_massage,amenity_rel_money_transfer,shop_rel_nuts,amenity_rel_arts_centre,shop_rel_leather,amenity_rel_place_of_worship,shop_rel_deli,shop_rel_fashion_accessories,shop_rel_craft,shop_rel_bag,amenity_rel_music_venue,shop_rel_tea,shop_rel_dairy,shop_rel_antiques,shop_rel_mobile_phone_accessories
Cordoba_hdbscan_5_5,61,16,-4.7983617692888885,37.88052547224995,-4.7984016,37.8804556,3.4087472161130097e-06,4693806.546982612,0.0006011003572154855,0.0011792465369399269,0.0004601216426798617,0.0005042843613417977,Yes,,,,0.062,0.188,,,0.062,,,,,,,,,,,,,,0.062,,,,0.062,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,0.062,,,,,,,,,,,,,,,,,0.062,,,,0.062,,,,,0.062,,,,,,,,,,,,,,,,,,,,,0.062,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,62,10,-4.7783935690765755,37.89130633827415,-4.77840053945303,37.89145945,4.232384400713802e-06,2362734.3485892904,0.0009166765955984831,0.0012712710905329423,0.0007453496713567818,0.0005900188709012338,Yes,,,,,,,,0.1,0.1,,0.1,,,,,0.1,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,63,10,-4.78344500647107,37.89231041204102,-4.7836101,37.89233925,3.0790289222495602e-06,3247777.22214247,0.0006929364682080294,0.0015047992836461847,0.0006849630224322334,0.0003667675893193892,No,,,,,0.5,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,64,29,-4.788522317683039,37.877993391476316,-4.7885542,37.8780479,1.2240473320201893e-05,2369189.429312173,0.0014177982819105653,0.002521697396412408,0.0007208084661160654,0.0013408248551055042,Yes,,,,,0.103,,,,0.034,,0.103,,0.034,,0.034,0.069,0.034,,,,,0.034,0.034,,,,,,,,,,,,,,,,0.034,,,0.034,,0.034,0.034,,,,,,,,,0.103,,,,,,,,,,,0.034,,,,,,0.034,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,65,19,-4.791088793366761,37.88544504387278,-4.7911252,37.8853587,4.0489882356268e-06,4692530.304933999,0.0006886052892255961,0.0014534543968137425,0.0004603425057922178,0.0006048296218049818,Yes,0.053,,,0.105,0.053,,,0.053,,,,,,,,,,,0.053,,,,0.158,,,,,,,,,,,,,,,,,,,,,,0.053,,,,,,0.053,,,0.105,,,,,,0.053,,,,,,,,,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,66,8,-4.7878328,37.881364524999995,-4.78773025,37.88149945,5.323448100031834e-07,15027853.845240194,0.0003290203893921962,0.000563621451530885,0.00028259821743955037,0.0002315927824335836,Yes,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,0.125,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,67,45,-4.790075937777777,37.88141339111111,-4.7902091,37.8814604,2.7726206900019925e-06,16230132.077665359,0.00048337625337189187,0.0011963667685280647,0.00047000572634281446,0.0002836955205244123,Yes,0.022,,,0.022,0.044,,,,,,0.067,,0.067,,0.022,,0.022,,,,,0.022,,,,,,,,,,0.022,,,,,,,,,,,,,0.044,,,,0.022,,,,0.022,0.067,,,,,,0.022,,,,0.044,,,,0.022,0.022,0.022,,,,,,0.022,,0.156,,,,,,,,,0.022,,,,,,,,,,,,,,,,,,,0.022,0.022,0.022,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,68,11,-4.772963186830882,37.883323949887064,-4.7730056,37.8831548,1.6200506254846988e-06,6789911.270031415,0.0004274255080981161,0.0009237977092636137,0.0002905185267080678,0.00041229057688414386,Yes,,,0.091,,0.182,,,0.091,,,,,,,,,,,,,0.091,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,,,,,,,,,,,,
Cordoba_hdbscan_5_5,69,9,-4.771841644444444,37.88658848888889,-4.7718363,37.8866089,2.661469999992364e-07,33815898.73275228,0.00022214384570486058,0.00036885066820258267,0.00022934453030384113,0.00010752844010836329,Yes,,,0.111,0.111,0.333,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.111,,,,,,,,,,0.111,,,,,,,,,,,,0.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cordoba_hdbscan_5_5,70,5,-4.78439062,37.87811822,-4.7844314,37.8780024,3.5619461999808056e-07,14037269.84991223,0.0003129406888796596,0.0005687488204814342,0.0001950435582120005,0.00027733929688969223,Yes,,,,0.2,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
