geometry,name,shop,amenity,tourism,healthcare,office,leisure,addr:street,addr:housenumber,addr:postcode,brand,operator,cuisine,lon,lat,lon_rnd,lat_rnd,name_norm,madrid_hdbscan_5_5
POINT (-3.6935961 40.4056151),Multiópticas,optician,,,,,,Paseo de las Delicias,22,28045,Multiópticas,,,-3.6935961,40.4056151,-411171,4497953,multiópticas,966
POINT (-3.6935415 40.4060697),Ulloa óptico,optician,,,,,,Paseo de las Delicias,16,28045,,,,-3.6935415,40.4060697,-411165,4498004,ulloa óptico,966
POINT (-3.5986733 40.366834),,,taxi,,,,,Avenida de las Suertes,,28051,,Ayuntamiento de Madrid,,-3.5986733,40.366834,-400604,4493636,,67
POINT (-3.709887 40.4376578),Clínica de Prada,,,,clinic,,,Calle de Galileo,88,28015,,,,-3.709887,40.4376578,-412985,4501520,clínica de prada,981
POINT (-3.6935105 40.4038801),,,taxi,,,,,Paseo de las Delicias,35,28045,,Ayuntamiento de Madrid,,-3.6935105,40.4038801,-411162,4497760,,966
POINT (-3.637719 40.4380494),,,taxi,,,,,Calle de Alcalá,,,,Ayuntamiento de Madrid,,-3.637719,40.4380494,-404951,4501564,,458
POINT (-3.7156572 40.4314094),Librería Gaztambide,books,,,,,,Calle de Gaztambide,6,28015,,,,-3.7156572,40.4314094,-413627,4500824,librería gaztambide,1002
POINT (-3.6615815 40.4255468),Teatro Tribueñe,,theatre,,,,,,,,,,,-3.6615815,40.4255468,-407607,4500172,teatro tribueñe,570
POINT (-3.6616653 40.426213),Arte 4 Estudio de actores,,school,,,,,,,,,,,-3.6616653,40.426213,-407617,4500246,arte 4 estudio de actores,570
POINT (-3.6379335 40.4381488),La Lanzada,,restaurant,,,,,Calle de Arturo Soria,2,,,,,-3.6379335,40.4381488,-404975,4501575,la lanzada,458
POINT (-3.6751493 40.4294404),Pastelería Luzón,pastry,,,,,,Calle del Conde de Peñalver,42,,,,,-3.6751493,40.4294404,-409118,4500605,pastelería luzón,908
POINT (-3.693501 40.4064013),Equivalenza,perfumery,,,,,,,,,Equivalenza,,,-3.693501,40.4064013,-411161,4498041,equivalenza,966
POINT (-3.7108976 40.4395599),La Biblioteca,books,,,,,,Calle de Blasco de Garay,100,,,,,-3.7108976,40.4395599,-413097,4501732,la biblioteca,981
POINT (-3.5978918 40.368188),Zapatos Geox,shoes,,,,,,,,,,,,-3.5978918,40.368188,-400517,4493787,zapatos geox,67
POINT (-3.5979228 40.3682488),Intimissimi,clothes,,,,,,,,,Intimissimi,,,-3.5979228,40.3682488,-400521,4493793,intimissimi,67
POINT (-3.59785 40.3681112),Oro Vivo,jewelry,,,,,,,,,,,,-3.59785,40.3681112,-400513,4493778,oro vivo,67
POINT (-3.598007 40.3684165),Solovisión,optician,,,,,,,,,,,,-3.598007,40.3684165,-400530,4493812,solovisión,67
POINT (-3.5977054 40.3683106),United Colors of Benetton,clothes,,,,,,,,,United Colors of Benetton,,,-3.5977054,40.3683106,-400497,4493800,united colors of benetton,67
POINT (-3.5971271 40.3682724),Jack & Jones,clothes,,,,,,,,,Jack & Jones,,,-3.5971271,40.3682724,-400432,4493796,jack & jones,67
POINT (-3.5967839 40.3687997),Banco Santander,,atm,,,,,,,,Banco Santander,Banco Santander,,-3.5967839,40.3687997,-400394,4493855,banco santander,67
